,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.3595933870016,0,0.374071431275171,0,0,0,0,0.00846370179831325,0.0221810979532756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912960580989375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158425753322207,0,0,0.0631762633640365,0,0,0,0
X601318.CH.EQUITY,0.128553582204723,0,0,0,0,0,0,0,0.19771404390013,0,0,0,0,0,0,0,0.263839789670513,0.0396234940340047,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625313657426143,0.145731645919754,0,0,0.112987155437363,0,0,0,0,0,0,0,0,0,0.0818861223255692,0.0604242277822256,0,0,0.0778342942043112,0,0,0,0
X601939.CH.EQUITY,0.13851019905978,0,0,0.273632437692851,0,0,0,0,0,0,0,0,0,0.434590509995035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119463080609495,0,0,0,0.0504264867381752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.303396941361748,0,0.0965520235013359,0,0,0.355127249264199,0,0,0,0,0,8.67361737988404e-19,0,0,0.0288860662451319,0,0,0,0,0,0,-8.67361737988404e-19,-0.000981607412060576,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514335685679302,0,0,0.0606094860266651,0,0,0,0.102838064606311,0.00987911791122963,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455558204473423,0,0,0,0,0,0,0,0,0,0.0762545564826966,0.0446913227202007,0,0,0.687766289690675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.376362243056714,0,0.000245643959432546,0,0,0,0,0,0,0,0,0.0965960533874144,0,0,0,6.93889390390723e-18,0,0.0254956726422069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161120981147686,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.29760950233711,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.388216135000923,0,0,0,0,0.225776257749455,0,0,0,0,0,0,0,0,0,0,0,0.0525651503102187,0,0,0.070626529730678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996915466093579,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0767044253300973,0,0,0.339528051641971,0,0,0.197426750215943,0,0.125014065204967,0,0,0,0,0,0,0,0,0.195088997991957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.237188542224918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787668490094677,0,0,0,0.0334327108779365,0,0,0,0,0.134029359103655,0.277002977976233,0,0,0,0,0.0571847052404902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400940587733239,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.0940746175663867,0,-0.115091003532826,-0.440830026565502,0,0,0,0,0,0,0,0,0,0,0,-0.0414089379994761,0.157322641458742,0,0,0,0,0,0,0,0,0,0,0,-0.6069674132663,0,0,0,0,0.285403680761366,1.27602085542106,0,-0.214094786452876,-0.109514299128149,0,0,-0.436093244652912
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640201226535025,0,0,0,0,0,0,0,0.0363730191000972,0,0,0,0.0361799173023662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235389728613978,0,0,0,0,0,0.0282099992733956,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0433413699560033,0,0.239798226723352,0,0,0,0,0,0,0,0,0,0.222046863656456,0,0,0,0,0,0,0,0.0722573145080598,0,0,0,0,0.246362204411,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0392255634849513,0,0,0.127118558322853,0,0,0,0,0,0
X000002.CH.EQUITY,0.151245934195926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228372847709414,0,0.0496801905259977,0,0,0,0,0,0,0,0,0,0,0.0261672614459218,0.501071827563885,0.0136622832533654,0,0,0,0,0,0,0.222744700646263,0,0,0,0,0,0,-0.153415299352431,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0.0371497813001025,0,0.48446090738743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305427462950483,0,0,0,0.0693433641855798,0.13421651460685,0,0,0,0.0182868148493508
X388.HK.EQUITY,0,0,0,0,0.0106257829051072,0,0,0.0937610115177503,0,0,0,0,0,0,0,0.141168170183887,0,0,0,0,0,0.310573996626035,0.0763468257018469,0,0,0,0.0356232035936783,0,0.0255781698647553,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0479670839800352,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0829655491871362,0,-0.111364446205181,0,0,0,0,0.0933851689050986,0,0,0.0630081038583466,0,0,0,0.175648867639565,0,0,0,0,0,0,0,0,0,0.065280321124748,0.155381164437406,0,-0.0627499398562862,0.191177848409327,0,0,0,0,0,0,0.0771823258079675,0,0,0,0,0,0.202935775877934,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,1.38777878078145e-17,0.182640667988611,0,0,0,0,0,0,0,0.0536692519180615,0,0,0,0,0,0.117574825546308,0,0,0,0,0.156596704570131,0,0,0,0.261085702002263,0,0,0,0,0.167532233857126,0,0.062096989515466,0,0.0119327313861486,0,0,0.0258947420996035,0,0,0,0.0365012717556426,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.147681672716058,0,0,0,0,0,0,0.0827537637284028,0.0521564940830576,0,0,0,-8.67361737988404e-19,0,0.453349584911007,0,0,0,0,0,0.0234309981278301,0,0,0,0,0,0,-0.0247248996281142,-1.73472347597681e-18,0,0,0,0,0,0,0.150117204673036,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.112686144302587,0.399446063712401,0,0,0.156471821879648,0,0,0.0786834682353413,0,0,0,0,0,0,0,0,0,0,0,0.0648567275524424,0,0,0,0,0,0,0,0,0,0,0,0.197848055586565,0.0362339799678635,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.0334481356881977
X688.HK.EQUITY,0,0,0,0.081943990372467,0,0,0,0,0.172024583539313,0,0.0113264612676556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584378392687462,0,0.0868825161490039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179918803512082,0,0,0,0,0,0,0,0,0,0,0.192982363200593,0,0,0,0,0,0.141508300916533,0,0,0,0,0,0,0.39278519072355,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.0254850947203138,0.170443508552995,-3.46944695195361e-18,0,0,0,0,0,0,0,0.025326004950015,0,0.0615760066537384,0,0.30720850862922,0,0,0,0,0,0,0.124045993426778,0,0,0,0.11117868963561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801729657669585,0,0,0,0,0,0.102588797760098,0,0,0,0
X600030.CH.EQUITY,0,0.0645882765448389,0,0,0,0,0.0214688489683242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187901421302842,0,0,0.11135263008512,0.266863210770381,0,0,0,0,0,0,0,0.242363823332886,0,0.0352216952556642,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0041602610252158,0,0,0,0,0,0,0,0.659177171712946,0.0381170267070125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752562678504861,0,0,0,0,0,0,0,0.20314032455338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0787591649464851,0,0,0,0,0,0,0,0.0750528912589662,0,0.237066641603043,0,0,0,0,0,0,0.300541444624996,0,0,0.11220418698424,0,0,0,0.0984239762869816,0,0,0,0,0,0,0.0507330040089741,0,0.00028356918525389,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.0800319216854299,0,0,0,-0.0393627536532904,0.0881548260606649,0,0,0,0,0,0,0,0,-0.0225432487133417,0,0,0,0.105946400691622,0,0,0,0.0592937639122064,0,0.109135810467713,-0.0290689368117331,0,0,0,0,0,0,-3.46944695195361e-18,0.0988438023242974,0,0.178883379805576,0,-0.0375945032330436,0,0,0,0.432471809990398,0,-0.0247154342914296,0,0.0378889795806731,-0.0288280646920183,0
