,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.127838393412876,0,0.231831471190926,0.0435753011128701,0.0206277487346426,0,0,0,0,0,0,0,0,0,0,0,0.354075972340219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120023999668262,0,0.0629677170918323,0,0,0,0,0.110533248238955,0.0557637096775678,0,0,6.93889390390723e-18
X601318.CH.EQUITY,0,0,0,0.0669070281770964,0,0,0,0,0.128060295804219,0,0,0.0835974776209024,0.109737439950843,0,0,0,0,0,0.110383858645378,0,0.233036229402613,0,0.0521917730914225,0,0,0,0,0,0.0370829278496359,0,0.102723833572264,0,0,0,0,0.0197671098988746,0,0,0,0,0,0,0,0,0.0722709534544473,0,0,0,0,0,0,0.107804001418364,0
X601939.CH.EQUITY,0.0110019452545059,0,0,0,0.367946386353264,0,0,0,0,0,0,0.219221514305224,0,0.00320832264360553,0,0,0,0.120778577607429,0,0.0786840312791363,0,0,-0.0868179197382112,0.235282312481587,0.244076518533083,-0.0668952034487764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505760295100349,0.0116592981774301
X600036.CH.EQUITY,0,0.159501334494404,0,0,0,0.0480746286924705,0.0986331730866288,0.101067070685565,0,0,0,0,0.161205856133311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35581799281614,0.0450814143634801,0.0618090131847423,0,0,0,0,0,0,0,0,0,0.0416809306422354,0,0.0684723830681549,0,0,0,0,0,0,0,0,0,0,0.0511978845555217,0
X601288.CH.EQUITY,0.0794591888636285,0,0.133222250265046,0,0,0.105942158225562,-0.00470774746753901,0.357378174602441,0,0,0,0.0467057380618799,0,-0.0592735618021001,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849430453797781,0,0,0,0,0,0,0,0,0,0,0,0.00428507849213352,0,0,0.190599750462954,0,0,0.116439418202169,0,0,-0.0520663738359226,-0.0685470381289009,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0627935443006341,0,0,0,0,0,-0.0210323393547393,0.224353974884238,0,0,0,0,0,0.132360485164742,0,0,-0.0231474193540652,-0.0731565080064155,0,0,0,0,0.0814838963193358,0,0,0.657761600682952,0,0,0,0,0,-0.0404658683432631,0.213216478620244,0,0,0,0,0,0,0,0,0,0.084924285503161,-0.0931442461711782
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0359089282702288,0,0.277659574951761,0,0,0,0,0,0.106977431036961,0,0,0,0,0,0,0,0,0,0.00997743774984024,0,0,0,0,0,0,0,0,0,0.0563904355631215,0.00385835749610982,0,0.118780154578164,0,0.184435336400166,0.167741899926614,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0200906855201847,0.0945931203331253,0.216567177338737,0.107252132464303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305255536220261,-3.46944695195361e-18,0,0,0,0.0214980347448219,0,0.229913313597745,0.0933628950010633,0,0,0,0.162051028711682,-0.129623269463972,0,0,0,0,0,0,0,0.0748432409401589,0,0,0,0,0.0147336311741749,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.114529196319864,0,0.0808590648687012,0,0,-0.0402507485526518,0,0,0,0,0,0,0,0,0,0.0909166864725235,0.127467021710415,0,0,0,0.197017874046624,0,0,0.0151558209906019,0,0,0,0,0,0,0.0277450822762224,0,0,0.322827388422846,-0.0501042979334851,0,0,0,0.134267901852957,0,0,0,0.0885851148220568,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.111320596698841,-0.0411132465027079,0,-0.186303800998577,0.179086523635968,0,0,0,0,0,0,0,0,0,0,0.00698103518179473,0,0,0,0,0.530791905292533,0,0,0.0805222318717152,0,0,0,0,0,0.134322988119611,0,0,0,0,0,0,0,0.149214607763612,0,0,0,0,0,0.0709541854807169,0,0,0,0,-0.00189840242513305,0,-0.0270739405736302
X601166.CH.EQUITY,0,0,0,0.0899224807697233,0,0,0,0,0,0,0,0.114229975533149,0.131779448085138,0,0,0,0.02141582653756,0,0,0,0,0,0,0,0,0,0.148359283618061,0,0,0.384508308614818,0,0,0,0,0.0264187239147087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186293553407009,0,0,0.107277297901121
X601658.CH.Equity,0.176931195110617,0,0,0.151754029107519,0.0693439621584237,0,0,0,0,-0.0726887414722514,0.423480699004043,0,0,0.0905448272068137,0,0,0,0,0,-0.0173611148641504,0,0,0,0,0,0,0,0,0.0918722573470673,0.0998781545774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118783215318406,0,0,0.0821828926492127,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0.644124143618206,0,0.0486313966177658,0,0.0587622834231309,0,0.100694860272821,0,0,0,0,0.0271722259436265,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.134349293480568,0,0,0,-0.24584924200583,0,-0.150353918513352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312131186271259,0,0,0,0
X000002.CH.EQUITY,0,-0.000504256341991951,0,0.134385987671316,-0.0157511968492513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.650644574832226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405089148812912,0,0,0,0,0.00846548466626603,-0.0969534117986899
X600030.CH.EQUITY,0,0,0,0,0,0,-0.00295724555445191,0,0.0222152294341249,0.0297203322353749,0,0,0,0,0,0,0,0.476284299202332,0,0,0.199343848144027,0,0.0089392915203006,0,0,0,0,0,0,0,0,0,0,0.0417921558588535,0,0,0.014415978041927,0,0,0,0,0,0.20678281921195,0,0,0.110867445874913,0,0,0,-6.93889390390723e-18,0,-0.0464561824205437,0
X601328.CH.EQUITY,0.0603857550930082,0,0,0,0,0,0.0527809226254676,0,0,0,0,0,0,0,0,0,0,0,0.410454886235798,0,0,0,0,0,0.139576527193222,0,0,0,0.16653686637211,0,0,0,0.0264071563016415,0,0,0.0487135101675449,0.0063456003826828,0.0493205373129394,0,0,0,0,0,0,0.0603666890200439,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.284044618566773,0,0,0.00461859360548117,0.117501785346596,0,0.0577249638605681,0.0596776251004478,-0.0727918418729723,-0.0150101776786874,0,0,0,0,0,0,0,0,0,0.524772482969878,0.153524578540605,5.08145919448991e-05,0,0,0,0.109835249554939,0,0,0,-0.06094892661358,0,0,0,0,0,0,0,0,-0.0442592885896543,0,0,0,0,0,0,0,0,0,0,0,0.0751933176251072,0
X601066.CH.EQUITY,0,0,0.0879400977854213,0,0,0,0,0,0,0,0,0,0,0,0.236533538670643,0,0,0,0,0,0,0,0,0,0,-0.0611369941987465,0,0,-0.0104947472857403,0,0,0.176215227329139,0,0.0129415917264177,0,0,0,0,0,0.260179847650105,0,0,0,0,0,0.0259315006201131,0,0,0,0.242200806593093,0,0.0418667872078586,0
X600000.CH.EQUITY,0,0.199529142979894,0,0,0,0,0,0,0,0,0,0.00234817768289861,0,0.0251748678851054,0,0.403148447754598,0,0,0,0,0,0.0546948823577798,0,0.0215663701146987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748071964706355,0,0,0,0,0.0704063365440188,0.0188071912695614,0,6.93889390390723e-18,0,0,0.00765216073803429,0
X16.HK.EQUITY,0,0,0,0,0,0.100866413303268,0,0.0105350766028457,0,0,0,0,0,-0.0737212255684144,0,0.132199702319425,0,0,0,0,0,0,0,0,0,0,0,0.16820764755975,-0.109313638118694,0,0,0,0.102586591565937,0,0,0,0,0,0,0,0.298498418231116,0,0,0.272226496533983,0.0027755458082181,-0.620120812812771,0,-0.0670558154565171,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.142205742799407,0,0,0.107387588250254,0,0,0,0,0,0,0,0,0,0,-0.0204179344957188,0,0.179844613041632,0,0,-0.0520148889580142,-0.0233189271899516,0,0.324101223245216,0,0,0,0,-0.0623677763691088,-0.173092501600957,0,0,0,0,0,0.132891554648727,-0.0447280273372339,0,0,0,0,0.0548947279460815
X2388.HK.EQUITY,0.104474360097795,0,0,0,0,0,0,0,0.193096290331055,0.0836345485972868,0,0.0218776805704429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993342403807054,0,0,0,0.381982110954617,0,0,0,0,-0.350620965424602,0.0870522627001897,0,0,0,0,0,0.015261407595567,0,0,0,0,0,0.0271508569870128,0,0,0,-0.0716359271679893,-0.0683439103783923
X300059.CH.EQUITY,0,0.0404578205733866,0,0,0,0.0857301044028031,0,0,0,0.0808611920751466,0,0,0,0,0.229204995283436,-0.0987792000240992,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0578490741123331,0,0.0505170562276446,0,0,0.0265189042996415,0,0,0,0,-0.0420176760120316,0.063677010856665,0,0,0.20280522055523,0,8.67361737988404e-19,0,0.299777868510588,0,0,-0.000128363150895972
X601998.CH.EQUITY,-8.67361737988404e-19,0,0.0106092522150203,0,0.293146102216238,0,0,0,0,0,0,0,0,0.0317928398109169,0,0.172839636966046,0,0.299506063693463,0,0,0,0,0,0,0.0391098995768449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521702101983379,0,0,0,0.210427711614488,0,0,0,0,0.0189898880314538,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0112144689160264,0,0,0,0,0,0,0.145585890507639,0,0,0,0.350558528427138,0,-0.0573196477037643,0.07014302139932,0.0604389321351074,0.0793756125156209,0,0.0795808462988437,0,0,0.79520863485739,0,0,0,-0.0966509418733102,0,0,0,0,-0.522492269370467,0,0.113451759373697,0,0,0,0,0,-0.101718313331478,0,0
X11.HK.EQUITY,0,0,-0.0110175925164743,0,0.290666764088625,0,0,0.0752096432061515,0.0623745787254137,0.0466756423368899,0,0,0,0,0,0,0,0,0,0,0,0.545749235069244,0,0,0,0,-0.0247922470251616,0.0185625243021227,0,0,0,0,0.155635122979307,0,0,0,0,0,0,0,0,0,0,0,-0.0247950718485771,0,0,0,0,0,0.211094865575912,0,0
X002142.CH.EQUITY,0,0,0,0.403703021666447,-0.0383505000955386,0,-0.220762006134182,0,0,0,0,0,0,0,0,0,0.0120615845658445,0,0.11110914349603,0,0,0,0,0,0,0,0,0,0,0.0203338654217892,3.46944695195361e-18,0,-0.0238858761731363,0,0.219938651096157,0,0,0,0,0.161040489787272,0,-0.0303147908962701,0,0,0,0,0,0,0,0,0.0478932817087061,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0687421763570847,0,0,0.128002603616141,0,0,0.243622132885698,0,0.0507503101096764,0,0,0,0,0.0623107998675764,0,0,0,0,0,0.272877327653956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600494434425362,0,0
X600048.CH.EQUITY,0.0375691964288207,0,0,0.126417556329324,0,0,0,0,0,0.146572059505837,0,0,0,0.40262589707188,0,0,0,0,0,0,0,0,0,0,0,0,0.0477837809972383,0,0,0,0.0808962984432517,0,0,0,0,0.223382380428597,0,0,0,0,0,0,0,0.0436994186217201,0.0271207796939285,0,0,0,0,0,0,-0.0336827399738283,0.314080091145975
X601818.CH.EQUITY,0,0.0623042236962562,0,0,0.143384175666267,0,0,0,0,0,0.187145613191912,0.100829555589702,0,0,0,0,0,0,0,0,0,-0.0123035757672284,0,0,0.0970528759005004,0,0.155530896247436,0.0368112543598524,0,0,0.0126741131014482,0.050538365795976,0.0706892123488823,0,0,0,0,-0.0363484788325342,0,0,0,0,0,0,0.144551411566242,0,0.160132800356451,0,0,0,0,-0.179041129090787,0
X2007.HK.EQUITY,0,0.0351894545761508,0,0,0,0,0,0.120673531511635,0,0,0,0,0,0,0,-0.573142104393577,0,0,0,-0.0108602960537202,0,0.103659723463885,0,0,0,0,0,0,0.102111758752818,0,0,0,0.262381375502352,0,0,0.357930904598706,0,0,0,0,0,0,0,-0.106904644704833,0.287051812389495,0,0,0,0,-0.0529184242585987,0,0.0821172951510929,0
X600999.CH.EQUITY,0,0,0,0,0,0.137430534467415,0.201182308197438,0,0,0.0772014831580622,0.188239875636483,0,0,0,0.266451095221004,0,0,0.0559842509752895,0,0,0,0,0,0,0,0,0,0.0268220837874497,0,0,0,0,0,0.0544460037948332,0,0,0,0.0806562559836183,0,0,0,0,0,0,0,0,0.00290102512882368,-0.134299939525995,0,0.237935351866635,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267495789249636,0,0,0,0,-0.236180905142108,0.140215041540601,0.198244947770979,0.615575856934419,-0.1520554948614,0,0.382574689682989,0,0,0,0,0,0,0,0,0,0,-0.0288758074585106,-0.0868790813372658,-0.155138417033057,0,0,0,0,0.0339947911021157,-0.113344595735024,0,0,0
X601688.CH.EQUITY,0,0,0,-0.0672427439299299,0,0,0,0,0,0,0,-0.0138800365791163,0,0,0.216743516032127,0,0,0.0191210297171507,0,0,0,0,0,0,0.325166360126314,0,0,0,0,0,0,0,0,0,0.135780422172453,0,0.354636609970553,0,0,0,0,-0.0972137499853018,0,0,0,0,0,0,0,0,0,0,0.0465687870064565
X601336.CH.EQUITY,0,0,0,0,0,0.509720053434311,0,0,0,0,0,0,0,0,0.0916490545977745,0,0.157173389965982,0,0,0,0.189826458827849,0,0,0,0,0,0,-0.125734926246908,0,0,0,0,-0.0783967194156927,0,0,0,0,0,0,0,0,0,0.0259183832093631,0,0.140160756881556,0,0,0,0,0,0.169393734512014,0,-0.0404219100249738
X267.HK.EQUITY,0.222024094756453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280451133329148,0,0,0,0,0,0,0.165396064967082,0,0,0.101815325386096,0,0.0909136043927294,-0.120513671981971,0.0517348279039353,0,0.0657267063572346,0,0,0,0.135356805607517,0,0.121942317203841,0,0,0.0732849220903141,-6.93889390390723e-18,0,0,0.204419633517052,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.16050432168648,0,0,0.0420010836228034,0,0,0.0557017799943461,0,0,0,0,0.179798658303348,0.0324458195809912,0,0,0,0,0.0435392633129382,0,0,0,0.0616541651659357,0,0,0.0860036364649557,0.028467878914257,0,0,0,0,0.292813881897039,0,0,0,0,0,0,0,0,0.093909581109701,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.111142888260582,0.0837544257767337,0,0,0,0,0,0,0,0.00583634352289431,0,0,0,0,0,0,0,0,0,0,0,0,-0.00674640787706706,0,0,0,0,0,0.298698608781929,0.1551529156997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110335833965183,0.111114153791062,0,-0.0236613372931885,0
X1113.HK.EQUITY,0,0,0,0,0,0,0.218940248808796,0,0.173356107699827,0,0,0,0,0,1.73472347597681e-18,0,-0.177002737531312,0,0,0.10460732822402,0,0.203201932745473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166206824122394,0.0786176918905541,0.0384796758578411,0,0.10609618654316,0,0,0,0,0,0,0,0,0
