,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.281985927155155,0.0354653057490679,0,0,0,0.311583676915224,0,0,0,0.0794865707694977,0,0,0.0355650277293812,0,0,0,0,0,0,0,0,0.157620982284031,0,0,0.0092677298082749,0,0,0,0,0,0,0,0,0,0,0.120708458556445,0,0,0,0,0,0,0,0,0,0,0,-0.0274760690245945,0,0,0
X601318.CH.EQUITY,0,0,0.297970850475456,0,0,0,0,0,0.079008844422684,0,0,0,0.00308901332842412,0,0,0.204393322495063,0,0,0,0,0.0207648441444649,0,0,0,0,0,0,0,0,0.0818485344489024,0,0,0,0,0,0.0703782735341768,0,0,0,0,0,0.0406224287830412,0,0.0863844082049586,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.36654333657831,0.206446729004373,0,0,0,0,0,0.289764501296071,0,0,0,0,0,0,0,0,0.0778050046186234,0.055604616865633,0,-0.119634633277592,0,0,0,0,0,0,0,0,-0.0791709549378366,0.135134709943231,0,0,0.199654734959617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589039833956167,0.0528875156160025,0
X600036.CH.EQUITY,0,0.0112133146506537,0,0,0,0.270317424207726,0,0,0.0162309755184551,0,0,0,0.157843196671212,0,0.0379298015707904,0,0,0.222927262339911,0,0,0,0,0.0284492106728488,0,0.422753101743504,0,0,0,0,0.0292894590921819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249893194969221,-0.0290713861154984
X601288.CH.EQUITY,0,0,0.0114390741362436,0,0,0,0.00764618418455201,0.493604530018829,0,-0.0836359054214406,0,0.0910240560620433,0,0,0,0,0,0,0,0,0,0,0.0752290786689524,0.119775446970316,0,0,0,0,0,0.0930854310066062,0,0,0.0393588497052708,0,0,0,0,0,0,0,0,0,0,0,0,0.0475847527168232,0,0,0,0.00884723440277687,0,0,0
X1299.HK.EQUITY,0,0,-0.047604519132828,0,0,0,0,0,0,0.110951651725109,0,0,0,0,0,0,0,0,0,0,0,0.0370298638243487,0.133435200703253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136978646794741,0,0.230533896296571,0.155709835186353,0.0795721606141182,0,0,0,0,0,0,0.23984664138509,0,0,0
X601628.CH.EQUITY,0.145360455735473,0,0,-0.00857001362904412,0,0,0,0,0,0,0,0,-0.0266138716370061,0,-0.19426306922043,0,0,0,0,0.140004625336439,0,0,0,0,0,0,-0.108803800341076,0,0,0,0,0,0,0,0.590768969347442,0,0,0,0.0011571838061249,0,0,0,0,0,0,0,0,0,0,0,0,0.0798722635334032,0
X601988.CH.EQUITY,0,0,0.0581959250921713,0.0218048194354987,0.47795354503529,0,0,0,0,0.0168128057256023,0,0,0.0803151613502542,0,0,0,0.209753126426935,0,0,0,0,0,0,0,0,0,0.0359519846184293,0.013740253959968,0.0615170776351096,0,0,0,0,0,0,0,0.00131871302509932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.217989051486532,0,0,0,0,0,0,0,-0.000850629360548898,0,0.0259438524825332,0,-0.076269010808815,0,0,0,0,0,-0.159224680386877,0,0,0.222244448283549,0,0,0.11139827369537,0.103422095624013,0,0,0,0,0,0.125338804168238,0,0,0,0,0,0,0,0,0.113292767322608,0.107821640951422,0,0,0,0,0,0,0,0,-0.147882335198977,0
X388.HK.EQUITY,0,0,0,-0.247925301033115,0,0.171094235289372,-0.0246201368961329,0,0,0,0.0755122899934215,0,0,0,0.123189982462481,-0.0285993625329752,0,0,0.115251630695029,0.525559173595349,0,-0.0283496265019335,0,0,0,0,0,0.00868552633646334,0,0,0,0,-0.0301686716955941,0,0,0,0,0,0,0.234402075800917,0,0,0,0,0,0,-0.370632975562695,0.0643353015357614,0,0.053964719591558,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0470325292779124,0.172179158603795,0,0.129549207784927,0,0,0,0,0,0,0,0,0,0,0.00919835908166652,0.203488088449772,0,0,0.393037585061287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127428067517329,0,-0.00838956771128677,0,0,0,-0.0479679859775078,0
X601658.CH.Equity,0,0,0,-0.273195154735762,0.149857210247648,0,0.0451639976708593,0.262029115105562,0,0,0.33082086140614,0,0,0,0.0389573842101015,0,0.382294097746986,0,0,0.233807751861327,0,0,0,0.0235358125169516,0,0,0,0,0,0,0,-0.355244088450964,0,0,0,0,0,0.12940247704767,0,0,0,0,0,0,0,0,0,0,-0.0395928661307217,0,0,0,-0.0447737335033849
X000001.CH.EQUITY,0,0.127887922990623,0,0.121495218282886,0,0,0,0.197808464719589,0,0,0.309567560268429,0,0,0,-0.0419134824965076,0.10884413069912,0,0,0,0,0,0,0.219195794998575,0,0,0,0.173898784163689,0,-3.46944695195361e-18,0,0,0,-0.295304680285379,0,0,0,0,-0.124905894192131,0,0,0,0,0,0,0,-0.0699018968085768,0,0,0,0,0.0735188308362622,0,-0.068853432462239
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0322779927982655,0,0,0,-0.0169122423300179,0,0,0,0.183244656646033,0.191908323757544,0,0,0,0,0,0,0,0,0,0,0,0.0792514378225896,0,0.286561584720607,0.0609821924724723,0,0,0.0603310989877927,-0.0196482785886329,0,0,0,0,0,0.298303109922778,0,0,0,0.00998750945565504,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,-0.0536064397951758,0,0,-0.142858138151596,0,0.0781163767378869,0,0,0,0,0,0,0,0,0,0,0,0.278254160782441,-0.0112274147330793,-0.0403395229885303,0,0.0848446725036201,0,0,0.362632013740683,-0.163476205495913,0.0701573446022864,0,0,0,0,0,0,0,0,0,0,0,0.255003552184726,0.0418442917758682,0,0,0,0,0.0099821505809387,0,0
X601601.CH.EQUITY,0,0.547345379134627,0.0204016640984548,0,0,0,0,0.160521516533881,0,0,0,0,0.212076519999214,0,0,0,0,0,0,0,0.155264098356361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601378375452974,0,0,-0.0659709373116276,0,0,0,0,0,0,0,0,0,0,0,0,0.0122938322044189
X601328.CH.EQUITY,0,0,0.0487117438850882,0,0,0,0,0.0278721264857883,0,0,0,0.189997840942875,0,0,0,0,0,0.232155194522984,0,0,0,0,0,0.065420746811886,0.140690862225409,0,0,0,0,0,0,0,0,0,0,0.0805642358599017,0,0.147204120184609,0,0,0,0,0,0,0.0516567459466009,0,0,0,0,0,-0.0140145544205801,0,-0.00154807834036305
X600000.CH.EQUITY,0,0,0,0.10919452306782,0,0,0,0,0,0,0,0,0,0,0,0,0.434893376200723,0,0,0,0,0,0,0.0844760186102406,0,0,0,0,0.0240826310263037,0,0.0453614795709936,0,0,0,0,0,0,0,0,0.0619731547307467,0,0,0,0,0,0,0.0329062097124584,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0730285710362074,0,0,0,0,0,0,0,0,0.0381766651480921,0,0.58377547245641,0,-0.059164059225445,0,0,0,0,0,0,-0.0948120390495693,0.0690405601160069,0,-0.169413740719027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181982765184229,0,0,0,0,0,0,0.0853013654855205,0,-0.0761839754166447,0,-0.179682656420334,0.0308957684111205,0
X300059.CH.EQUITY,0,0,0,-0.0209615374192268,0,0,0,0,0,0.0773481860491805,0,0.0568194600641508,0,0.151237663375004,0,0.075698073422307,0,0,0.108192708582535,0,0,0,-0.108101248415004,0,0,0,0,-0.0489949807299671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261285550504821,0.193830350364808,0,0,0.20144442152364,0,0.100389259801522,0,0,0.0309921104064205
X601319.CH.EQUITY,0,0.0587709912959187,0.214911106872284,0.00113311009448071,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.229312925857218,0,0,0,0.0698929079371112,0,0,0,0,0,0,0,0,0,0,0,0,0.00982224313280935,0,0,0,0.149239173929159,0.018596524201661,0,0,0,0,0,0,0,0,0.0337425188105915,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0.011195947303578,0,0,0,0,0,0,0,0,0,0,0,-0.046451533234791,0,0,0,0,0,0,0.123487253607685,0.0820820580256237,0,0,0.0380487109552961,0,0,0,0,0,0,0,0,0,0,0,0.0938102547081166,0.252758710812671,0.505402526915275,0,0,-0.0621159517036875,0,-0.504765700373791,0,0.126631068292622,0,0,0
X11.HK.EQUITY,0,0,-0.161077212203992,0,0,-1.73472347597681e-18,0.0483461125832391,0.060961498395028,0.760358141979763,0,0,-0.0583178271664634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100597468806659,0,0.0190336056217692,0,0,0,0,0.144178380192843,0,0,0,0,0.192311627071537,0,0,0,0,0,0,0,0,0,0,0,-0.0325574072732419,0.0038052655996261,0,0
X601998.CH.EQUITY,0,0,0,0,0.354465943831857,0.263394991007809,0,0.0796426454645903,0,0,-0.159114988309811,0,0,0,0.0852709883846396,0,0,0.188883851823627,0.0170922397317437,0,0,0,0,0,0,0,0,0.0655243144942066,0,0.376075465007586,0,0,0,0,0,0.017772133221297,0,0,0,0,0,-0.060178212410402,0,0,0,0.0623912053997971,0,0,-0.162880006079323,0,0,0,0
X600016.CH.EQUITY,0,0,0.052366794002927,0,0,0,0.114073816764967,0,0,0,0,-0.0567968281827185,0,0,0,0,0,0.295253903768983,0,0,0.201777875975672,0,0,0,0,0,0,0,0,0,0.113660128119571,0,0,0.319400499910166,0,0,0,0,0,0,0,0,0,0,-0.213609383607988,-0.0903117635132301,0,0,0.181961061682386,0,-0.139788368132545,0,-0.0991051772731165
X2388.HK.EQUITY,0,0,0,0.0307478810425114,0,0,0,0,0.0610101123218665,0,0,0,0.106144139603097,0,0,0,0,0,0,0,0,0.177481060023969,0.4154115880953,-0.0461780340892347,0,0,0,0,0.104845415684584,0,0.0589919151724312,0,0,0,0,0,0,0,0,0,0,0.108941357637606,0,-0.0146216490231637,0,-0.0987358495647235,0,0,0.154766811416699,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.138193013834625,0,0,0,0,0,0,0,0,0.0458330258179262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148226904965555,0,0,0.206019532902899,0,0,0,0,0,0,-0.0515770403415449,0,0,0.00054150760043656,0,0.067310946145901,0,0,0,0.0526776676771859,0,0
