,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.155377457356108,0,0.0949402121091819,0,0.0376301203672999,0,-0.0910419329085048,0,0,0,0.419745648698285,0,0,0,-0.119609070509977,0,0,0,0,0,0,0,0,0,0,0,0,0.106397753348273,-1.73472347597681e-18,0,0,0,0,0,0,0,0.135117765652567,0,0,0,0,0,0.170007343949635,0,0,0.0390193825575702,0,0,0,0,0.0368684541525219,-0.0487175635186232
X601318.CH.EQUITY,0,0,0,0,0,0,0.00255091284019427,0,0.103702075595264,0,0.0152227318226145,0,0,-0.155903891648827,0,0.0794144948410486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218927086980223,0,0,0,0,-0.251825054344469,0,0.433661412180735,0.109207742401945,0.0340028445327985,0,0,0,0,0,0.180761825438723,0,0,0
X601939.CH.EQUITY,0.138274538908025,8.67361737988404e-19,0,0.363775035674506,0,0.071853018070738,0,-0.0783906972392425,0,0,0,0,0,0,0.0889833969472489,0,0,0,0,-0.0197950154411704,0,0.10221588614161,0,0,0,-0.0883288204147787,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154246773883331,0.491689976139419,0,0,0,0,0,0,0,0,0,0.00175284111248684,0,0,0
X601288.CH.EQUITY,0.458754568504717,0,0.17723523840654,0,0.0771476721552546,0.123694271521476,0,0,0,0,0,0,0,0,-0.0603913965818371,-0.0412810013223519,0.0251441869927681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105518518786944,0,0,0,0,8.67361737988404e-19,0.181933125929216,0,0,0,0,0,0,0,0,0.105184456041666,0,0,-0.0119762479993788,0.109914272190852
X5.HK.EQUITY,0,-0.0682796349149425,0.019824433219724,0.292317217190313,0,-6.93889390390723e-18,0,-0.182133280642064,0,0,0,0,0.13806725650483,0,0,0,0,0,0,0,0.604667114127289,0,0,0,0,0.180101262316022,0,-0.0423725812896979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209683119517991,0,-0.102758243227491,0,0,0,-0.0217414175427677
X601988.CH.EQUITY,0.177721186005255,0,0.122292369208864,0.120988542447878,0,0,0,0,0.0953106968840388,0,0.0971525019867255,0,0,-0.271842676373914,0,0,0,0,0,0,0,0,0.0767301470997294,0.270232887768839,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.132136559679927,0,0,0,0,0,0,0,0,0.0249285104983047,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0807977067084397,0,0,0,0,0.00696907398663987,0,0.291949082353069,0.223826821497166,0,0.0365819920847992,0,0,0.0830459039268855,0,0.000661429171455275,0,0,0,0,0,0,0,0,0.0792222539259594,0,0,0.0369235346465035,0,0,0,0,0,0,0,0,0,0,0,0,0.11783655371956,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0335407915237949,0.069596110251616,0,0,0,0.138506548032749,0,0,0,-0.145104102394962,0,0,0,0.370197773717338,0,0.251917214724963,0,0.042471457272191,0,0,0,0,0.103123984227326,0,0,-0.00418224922148407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0131758187557626,0.404004175062241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052751853882387,0.0594810676887707,0.0436979819787038,0,-0.0436230712417689,0,0,0,0,0,0,0,0,0,0.0505270366699579,0,0,0,0,0,0,-0.178294143155347,0,0,0,0,0,0.160513797745126,0,0,0.216414120055526,0,0,0,0,0.055912312143592,0.155503159732146
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.0249403380838418,0,0,0,0,-0.0136077056179788,0,-0.0323854987987716,0,0.0745538165434672,0,0,0,0,0,2.36089676973212e-05,0,-0.135504654278031,0,-0.0266570115598323,0,0,-0.137623479848509,0,0,0,1.0842021724855e-19,0,0,0,0,0.0250131390807383,0,0,0,0.0462890122850192,0.0482847838625641,0,0,0,0,0,0,0,-0.0125681439871917
