,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,6.93889390390723e-18,0.141565031930934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139428042571241,0,0.0177614267866924,0.417767051136094,0,0.454655284133931,-0.220360574559175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603841956407943,0
X601318.CH.EQUITY,0,0,0,0.0160237261461781,0,0,0,0,0,-0.0184478643750136,0,0,0.0184391689748458,0,0.0289785259380249,0,0,0,0.520695026005113,0,0,0,0,0,0,0,0,0,0.125892978672027,0,0,0,0,0,0,0.0689854670231589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0595518203837869,0,0.788130386136582,0,0,0,0.0117836942292094,0,0.0532391795615733,0.0522322281088068,-0.0185021532942335,-0.0474209648946009,0.0121716756533216,0,0,0.0782142335259065,0,0,0,0,0,0,0,0.0258483943447269,0,0,0,0,0,0,0,0,0,0,0,0,0.102014413457619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00546100919906622
X601288.CH.EQUITY,0,0,0.971129133825778,0,-0.0184503487558881,0,0,-0.0867151286402291,0,0.0368155575329735,0,0,0,0,0,0.0207735333233758,0,0,0,0,0,0,0,0,0.0754274607358298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210222449484619,0,-0.0740809128402926,0,0,0,0,0.0197920100870299,0,0,0,0,-0.107194177953382,-0.0239429990932991,0
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0280766366177142,0.304540422952406,0,0.268612383408703,0,0,0,0,0,0,0.438043533819488,0,0,-1.73472347597681e-18,0,0,-0.0748042574550909,0,0,0,0,0,0,0,0,0,0,0,0,0.035637965678654,0,0,0,0,0,0,0,0.129146357583576,0,0,0,0,0,1.73472347597681e-18,0
X600036.CH.EQUITY,0,0,0,0.3307032121847,0,0,0,0,0.0476154599149596,0,0,0,0,0,0,0,0.0680484347476945,0.110228661491869,0,0,0,0,0,0,0.0737393349781527,0,0,0,0.144489056899373,0.120393255629863,0,0,0.0161562355769112,0,0,0,0,0,0,0,0,0,0,0,0.0512037780638954,0,0,0.0356097466847274,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0683061956545009,0,0,0,0,-0.0528531966303531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710682042584764,0,0,0,0,0.00185918103953127,0,0,0,0,-0.0220133301087291,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.133613081887752,0,0.998802964798839,1.73472347597681e-18,0,0.000568417011970172,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.028327750365854,0.201364098994478,0,0,0,0,0,0,0,0,0,0,0,0,0.295041480534637,0,0,0,0,0.0609953040456772,0,0,0,0,0.135543718713837,0,0,0,0.0311865991993095,0,0.152135560947817,0,0,0.0230654009715253,0,0.0594609486172988,0,-0.0234290473435964,0,0,0,0.169164155346243,0,0,-0.0526640276951554
X5.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,-0.0264231562002254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185969760088982,0,0.364483577011175,-0.0938323151254432,0,0,0,0,0,0,0,0,0,0.0202179390096201,0,0,0,0,0.279573118245265,-1.73472347597681e-18,0,0,0,0,-0.319861160328654,0.213643544946681,-0.0155452474447556,0.053084827264659
X388.HK.EQUITY,0,0,0,0,0.220948690482885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126850294258821,0,0.254873444436628,0,0,0,0.114365269199585,-0.00868360841662754,0,0,0,0,0.129348844107367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181344985862183,0,0,0,0.283870972523715,0
X601658.CH.Equity,0,0.0241134683582513,0.279196363776722,0,0,0.0614773007920157,0,0,0,0,0,0,0,0,0,0,0.0850771120428519,0.0120067384048786,0.190566687071038,0,0,0,0,0,0,0,0,0,0.0400711903805274,0,0,0,0,0,0,0,0,0.0242436603841554,-0.0638237036354561,0,0,0,0.0734929347121757,0,0.0405174227067081,0,0.0302803330319657,0.0307869348056715,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0543416495237134,0,0,0,0,0.0624382129772287,0,0,0.379705283520129,0,0,0,0,0,0,0,-0.0335154531617449,0,0,0,0,0,0.0235092856590619,0,0,0,0,0,0,-3.46944695195361e-18,0,0.129525576188451,0,0,0,0.18493088755273,0,2.16840434497101e-19,0,0.0701856870159926,0,0,0,0,0,0.143508439631157,0,0,0.0919436725646671
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0233267098682874,0,0,0,0.717494868413749,0,0,0.0428001521217075,0,0,0,-0.0618664554016056,0,0,0,0,0,0,0,0,0,-0.0262258719163578,0,0.00295491642354794,0,0,0,0.0441193659018889,0,0,0,0,0.0680815219972966,0,0.0489653059036688,0,0.00475924218628824,0,0,0,0,0,0,-0.0206622962647818,0,0
X601166.CH.EQUITY,0,0,0.0203862967028495,0,0,0,0.333758872266167,0,0,0,0,0,0,0,0,0,0.144313302120459,0.0183792346962963,0.0830010559861523,0,0,0.0618329030669065,0,0.111006641768606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0691066954573854,0,0.210023378936815,0,0,0,0
