,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.108168785110951,0,0,0,0,0,-0.0260037721203688,0,0,0,0,0,0,0,0,0,0,-0.0684581149219658,0,-0.0372081058626341,0.607282709390469,-0.23782468465599,0,0,0.395965201333737,0,0,0,0,0,0,-0.00243664022645843,0,0,0,0,0,0,0,0,0.10195469967158,0,0,0,0,0,0,0.0646192183239666,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0664417015078093,0,1.38777878078145e-17,0,0.0586111661491516,0,0.202935244085799,0,0,0.159694562007086,0.248212219233786,0,0,0,0,0,0,0,0,0,0.0168927760452467,0.122636139647349,0,0,0,0,0.0609384304006933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844344615708968,0
X601939.CH.EQUITY,0,0,0,0.771088424154447,0,0,0,0,0,0,0.101843196005884,0,0,0,0,0.108834950665076,0,0.00690839796125144,0,0,0,0,0,0,0.00825615755422896,0,0,0,0.0658865541124773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00628393412081314
X601288.CH.EQUITY,0,0,0.965707514078194,0,0,0,0,-0.0798113410602268,0,0.0359173284771738,0,0,0,0,0,0,0.0234970217660211,0,0,0,0,0,0,0,0,0,0,0,0.0686167013766649,0,0,0,0,0,0,0,0,0,0.0160710547949743,-0.0171111256640575,-0.0799497082427886,0,0,0,0,0.0302129388491637,0,0,0,0,-0.104236747530548,-0.027329608929719,0
X601628.CH.EQUITY,0,0.110511640736424,0,0,0,0,0,0,-0.0373907116727804,0.281354541032435,0,0.259079343037516,0,0,0,0,0,0,0.280313544562044,0,0,-1.73472347597681e-18,0,0,0.010350238389403,0,0,0,-0.129444954074227,0,0,0,0,0,0,0,0.163864978013253,0,0,0,0,0,0,0,0,0.128848945199502,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.337974433157092,0,0,0,0,0.0683285953673178,0,0,0,0,0,0.0400854488660208,0,0,0.163226066359404,0.0109319889748789,0,0,0,0,0,0,0.186570843403672,0,0,0,0.0449702305892827,0,0,0,0.0391042039341375,0,0,0,0,0,0,0,0,0,0,0.0480539635357011,0,0,0.0423021266541428,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.062701286471373,0,0.013245985660645,0,0,-0.0578190133130278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731588681456656,0,0,0,0,0,-0.0257142198264936,0,0,0,0,0,0,0,0,0,0,0.000462214022986986,-0.134337255721047,0,0.999777472014438,-1.73472347597681e-18,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.147068375639543,0,0,0,0,0,0,0,0,0,0,0,0,0.291644647924705,0,0,0,0.0460177674364647,0,0,0,0,0,0,0.114109487004192,0,0,0,0.069873839752379,0.180266826444377,0,0,0.0241333803536133,0,0.0525677091558637,0,-0.0225982354586738,0,0,0,0.138879306994035,0,0,-0.0517890894658747
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0478271157595763,0,0,0,0,0,0,0,0,0,0,0,0,0.0135782400581104,0,0,0,0,0,0.376149282708564,0.146906783096895,0,-0.0938556899250543,0,0,0,0,0,0,0,0,0.0297657969563644,0,0,0,0,0.230358059321502,0,0,0,0,0,-0.324090788890595,0.243214493813762,0,0.0475337224682434
X388.HK.EQUITY,0,0,0,0,0.179378135165159,0,0,0,0,0,0,0,0,0,0,0,0.0123844810105247,0,0,0,0.264815879894066,0,0.270552812608467,0,0.127511189948906,0,0,0,-0.0595363978277637,0,0,0,0,0.0810999835071536,0,0,0,0,0,0,-0.0233295398212901,0,0,-0.152444751362527,0,-3.46944695195361e-18,0,0,0,0,0,0.312036212531944,0
X601658.CH.Equity,0,0.0320411031052034,0.329365563986364,0,0,0,0,0,0,0,0,0,0,0,0,0.0182897937910357,0,0.0287839661756733,0.159544575341364,0,0,0,0,0,0,0,0,0,0.00464305761110006,0.0941240930621885,0,0,0,0,0.01387880441915,0,0.0332979753380859,0.0348336858629583,-0.088237144266044,0,0,0,0.0876338976399224,0,0.05869274521515,0.0392571921214325,0,0.054602827686649,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0816648155929331,0,0,0,-0.0194044761413047,0.0554902779268933,0,0,0,0.348910536310412,0,0,0,0,0,0,0,0,0,0,0.00445260258235155,0,0,0,0,0,0,0,0.0248746277587877,0,0,0.068928635923868,0,0,0,0.199635131019171,0,-0.0241843053005019,0,0.133137963950077,0,0,0,0,0,0.187530716515305,0,0,0.0734090142845034
