,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.155378264774947,0,0.0949394858789689,0,0.0376316782038233,0,-0.0910371274309001,0,0,0,0.41974325639201,0,0,0,-0.119618198758185,0,0,0,0,0,0,0,0,0,0,0,0,0.106403148600585,0,0,0,0,0,0,0,0,0.135119051234062,0,0,0,0,0,0.169999822101836,0,0,0.0390254242689873,0,0,0,0,0,0.0368735235888936,-0.0487187062311477
X601318.CH.EQUITY,0,0,0,0,0,0,0.00255091284019427,0,0.103702075595264,0,0.0152227318226145,0,0,-0.155903891648827,0,0.0794144948410486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218927086980223,0,0,0,0,-0.251825054344469,0,0.433661412180735,0.109207742401945,0.0340028445327985,0,0,0,0,0,0.180761825438723,0,0,0,0
X601939.CH.EQUITY,0.138287586855205,0,0,0.363761884317865,0,0.0718563216362689,0,-0.0783862963993855,0,0,0,0,0,0,0.0889869808266893,0,0,0,0,-0.0197951008736334,0,0.102210487517993,0,0,0,-0.0883302853156657,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154211059673908,0.491686076021626,0,0,0,0,0,0,0,0,0,0.00175390438429726,0,0,0,0
X601288.CH.EQUITY,0.458803484914533,0,0.177221966530329,0,0.0771026632894202,0.123704112144042,0,0,0,0,0,0,0,0,-0.0604101154555283,-0.0412984852820114,0.0251429480324855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105612638980086,0,0,0,0,0,0.181907730654233,0,0,0,0,0,0,0,0,0.105235137069138,0,0,0,-0.0119621962130024,0.109891321916486
X5.HK.EQUITY,0,-0.0682874676423994,0.0198256965575707,0.292311803100462,0,0,0,-0.182139681031898,0,0,0,0,0.138076222801459,0,0,0,0,0,0,0,0.604658880837078,0,0,0,0,0.180119758006348,0,-0.0423678643807968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20968408172007,0,-0.102750643271712,0,0,0,0,-0.0217442369109811
X601988.CH.EQUITY,0.177738018583544,0,0.122311195015005,0.120949140196714,0,0,0,0,0.0953136963433126,0,0.0971398086148895,0,0,-0.271859938730175,0,0,0,0,0,0,0,0,0.0767528996486367,0.270270678153317,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.132138667926653,0,0,0,0,0,0,0,0,0,0.0249453569090801,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0808021454649041,0,0,0,0,0.00697382230012851,0,0.291946695510123,0.223814287698347,0,0.0365698580523244,0,0,0.0830384871851407,0,0.000670777342778605,0,0,0,0,0,0,0,0,0.0792182640729437,0,0,0.0369451258485147,0,0,0,0,0,0,0,0,0,0,0,0,0.117835884232552,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0335429194999674,0.0695966524600388,0,0,0,0.138510634592992,0,0,0,-0.145106794668278,-6.93889390390723e-18,0,0,0.370199899884489,0,0.251920583318595,0,0.0424665958713022,0,0,0,0,0.103121058493251,0,0,-0.00418313355776368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0131758187557626,0.404004175062241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052751853882387,0.0594810676887707,0.0436979819787038,0,-0.0436230712417689,0,0,0,0,0,0,0,0,0,0.0505270366699579,0,0,0,0,0,0,-0.178294143155347,0,0,0,0,0,0.160513797745126,0,0,0.216414120055526,0,0,0,0,0,0.055912312143592,0.155503159732146
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.0249428855340009,0,0,0,0,-0.0135995815147897,0,-0.032379497424483,0,0.0745554383529058,0,0,0,0,0,4.49961703998455e-05,0,-0.135495861498187,0,-0.026672329031098,0,0,-0.137632800007757,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0250005503568624,0,0,0,0.0462779989449676,0.0482807345694742,0,0,0,0,0,0,0,0,-0.0125578970246704
