,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.266927033623825,0,0,0,0,0,-0.134551256827339,0,0,0,0,0,0,0,0,0,0,0.489842320898682,0,0.502365190752055,0,0,0.173159511812864,0,0,0,-0.00715877698237204,0,-0.147721322710473,0,0,-0.288893761090532,0,0,-0.8300649722796,-0.0673658705906217,-0.00254249951607789,0,0,0,0,0,0,0,0,0,0.0888741189005404,0,0,0
X601939.CH.EQUITY,0,0,0,0.347358929507096,3.46944695195361e-18,0,0,0,0.15443249712675,0,0,0.00889091361042841,0,0,0.0990040241136757,-0.0194090940074176,0,0,0.00466682064362898,0,0,0,0,0.0652556011638351,0,0,-0.0668195828959725,-0.0432474886900053,0,0,0,0,0,0,0,0,0,0,0,-0.0318728212588817,0,0,0,0,0,0,0.0422115956042032,0.410293327133616,0.0214588770322894,4.33680868994202e-19,-0.0975131226252271,0,0.151402145653145,0
X601318.CH.EQUITY,0,0,0,0,0,0.388965203878977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15699737005648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330372910342054,0,0,0.0180019770683655,0,0,0,0.0323738395451904,0,0,0,0,0
X601288.CH.EQUITY,0,0.353858723355426,0,0,0.276145577153169,0,0.0715599792842538,0,0,0,0,0.186039004804321,-1.73472347597681e-18,0,0.0361423325562637,-0.0405759645838639,0,0,0,0,0,0,0.159435344925787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457183400879219,0,0,-0.0959985348164877,0,0,0,0,0,0,0.0200648638163367
X601988.CH.EQUITY,0,0.223552197328626,6.93889390390723e-18,0.235137107559314,0,0,0,0,0,0.0441684528247635,0,0,0,0,0,0,0.121012006073507,0,0.12014482205732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5620057350702,0,0,0,0.153736119042136,0,0,0,0,0,0,0,0,0.263747234282424,-0.0510709246068544
X600036.CH.EQUITY,0,0.0716663466360819,0,0,0,0,0.0810716422817474,0.0388907675339285,0,0,0,0,0.105489202814271,0,-3.46944695195361e-18,0,0,0,0,0.00102398367022016,0.141842649715702,0,0,0,0,0.0161405788036047,0,0,0,0,0,0,0,0.425214182775578,0,0,0.00592946814257354,0,0,0,0,0,0,0,0.0916048049167201,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,3.46944695195361e-18,0,0,0.0494992251420762,0,0,0,0,0,0.138185304431682,0,0,0,0.0610353927936446,0,0,0,0.226181825938262,0,-1.38777878078145e-17,0,-0.0921192294213589,0,0,0,0.0657800443379002,0,0,0.0846841361202119,0,0,0,0,0,0.0513663835533876,0.045934680786575,0,0,0.0560243686462813,0,0,0,0.342795998097162,0,0,-4.33680868994202e-19,0,0,0.0481652459301495,0,0.0905085565496675,0
X601628.CH.EQUITY,0,0,0,0,0,0.365042925088088,0,0,0,0,-0.161717714715264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136949017492415,0,0.063026296260074,0.164257729635777,0,0.0838551818984251,0,0,-0.0859305321026468,0,0.0946937131401552,0,0,0,0.0509027483323722,0,0,0,0.0150405528945014,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323175538634285,0,0,0.00809182276241083,0,0,0.0354967285476724,0.871634051942152,-0.620142670598874,0,0,0.644171433402266,0.120871480764977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122312960920236,0,0,0,0
X601658.CH.Equity,0,0,0,0.101950092807562,0,0,0,0,0,0,0,0,0.144928149228509,0,0,0,0,0.145611610633792,0.219004580391483,-0.343060853837171,0,-0.160386445920215,0.0638778053959206,0,0,0,-0.194766900837292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715209230883487,0,0,0,0,0,0,0,0,0,0,-0.0838582972589988,0,0
X388.HK.EQUITY,0,0,0.167400880182937,0,0.0862501551415678,0,0,0,0,-0.314521369896837,0,0,0,0,0.170412250070854,0,0,0,-2.16840434497101e-19,0.0504349759223637,0,0.340266397907704,0,0,0,0,0,-0.105333780224463,0,0,0,0,0,0,0,0,0.0711403375689973,0,0,0.0961987585749898,0,0,-2.16840434497101e-19,-0.068936030633741,0,0,0,0,0,0,0.0518127625075937,0,0,0
X601328.CH.EQUITY,0.212438106189844,0,0,0.252828691505796,0,0,0,0,0,0,0,0,0,0,0.0482650087628223,0.0680377498476282,0.100242890768663,0,0,0,0,0,0,0.173558288295602,0,0,0,0,-0.00231373651140047,0,0.0556892031088742,0,0,0,0,0,0,0,0,0,0,0,0,0.0308715807094345,0,0,0,0.104369984183565,0,0.0133092798468449,0,0,0,0
X601166.CH.EQUITY,0,0.162581065963284,0,0.130861577203565,0,0,0,0,0,0.0334233464598432,0.0141783589523697,0,0,0,0.296444819075953,0,0,0,0.0268571813637886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638066372890691,0,0,0,0,0,0,0,0.023225407381764,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.00142186436828306,0,0,0,0,0,0,0,0,0,0.235742506357855,0,0,0,0,0,0,0,0,0.0228332336249198,0,0,0,0,0,0.405073422081418,0.0487498163169488,0,0.00494461999196575,0,0,0.026986756849779,0,0,0,0,0,0,0.0304510076145231,0,0,0.0446866572428063,0,0,0.0531786814897929,0,0,0
X600000.CH.EQUITY,0,0,0,0.200708664070972,0,0.0283571036942729,0,0,0.0720186090421124,0,0,4.33680868994202e-19,0.305868122148096,0,0,0,0,0,0,0,0,0,0.0942995374078727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119573663251252,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.0289082240664415,0,0,0,0,0,0,0,0,0.0331791672255565,-0.0229633292753322,0,0,0.0375898017857887,0,0,0,0,-2.16840434497101e-19,0,0,0,0.187980795760379,0,0.112180619978955,0,0,0,0.0605363439736858,0,0,0,0,0,0,0.189501920213748,0,0,0,1.73472347597681e-18,0.0189508704420438,0,0,0,-0.0446573807067349,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,-0.0688787167360934,0.0373992636441891,0,0,0,0,0.519470549989763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138401789301183,0,0,0,-0.129107430839206,0.142417142378796,0,0.0963704363251523,0,0,-0.0237259001035751,0,0,0,0,0,0,0,0,0,0.00185708085309462,0,0,0.00314497792366337,0
X601319.CH.EQUITY,0,0,0,0,0.0737823113954506,0,0,0,0,0,-0.0456119266357872,0,0,0,0,0.0525764606937126,0,0,0,0,0.0295484146436699,0,0,0,0,0,0.0116715656298337,0,0,0,0,0.163131700833848,0,0,1.73472347597681e-18,0,0,0,0.328927896530462,0.194848186298674,0,0,0,0.126870379463225,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.265467726585841,0,0,0.0833088275267739,0,0,0.0336362524809186,0,0,0,0,0,0,0,0,0,0,0,0.156311008838778,0,0,0.118567418637301,0,0,0.103391626859369,0,0,0,0,0,0,0.097480631315338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542957222189293,-0.00889278221361841,0,0
X16.HK.EQUITY,0,0,0,0,0.0574580108815477,0,0.13563103600999,0,0,0,0,0,0,0,0,0,0.0253816665443494,0,0,0,0,0,0.181929262723539,0,0,0.225503788575043,0,0,0,0,0,0,0,0,0,0,0.185765910672945,0,0,0,0.224051068348955,-0.0881804420360541,0,0,0,0,0,0,0,0,-0.00680852199989427,0,0,0
X601601.CH.EQUITY,0,0,0.665605678105048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250236448682539,0,0,0,0,0,0,0,0,-0.0127138483702974,0,0,0,0,0,0,0,0.000194013110300501,0,0,0,0,0.153362296108397,0.259849546617507,-0.323560443275162,0,0,-0.108151826651928,0,0,0,0,0.0200984651720239,0,0
X688.HK.EQUITY,0.0982501384624671,0,0,0,0,0,0.145431087968938,0,0,0,0,0,0,0,0.304049774436947,0,0,0,0,0,0,0,0,0,0,0,0.087193360605108,0.0769018249174004,0.00902060100960826,0,0,0,0,0,0,0,0,0,0,0,0.434170025782171,-0.0950159189550014,0,0,0,0,0,0,0,0,0,-0.162893951277116,0,0
X600016.CH.EQUITY,0,0,0,0.0959450322490008,0.175692759735329,0,0,0,0.00592956741446928,0.0153141259124221,0,0.230078038520081,0,0,0.0186893652114052,0,0,0,0,0.368435373719273,0,0,0,0.130653687795683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138038737526965,0,0,0,0,0,0,0,0,-0.0203641380284648,0,0,0
X601998.CH.EQUITY,0.249071129185957,0.109594077474279,0,0,0.0871945639202009,0,0,0,0.0294644173709998,0,0,0,0.0921180070839466,0,0.103182983639459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00942854715540794,0,0,0,0.0541315858077331,0,0.0174338746491193,0,0,0,0,0,0,0,0,0,0,0,0.0427251787420901,0,0,0,0.0830804806628691,0,0
X11.HK.EQUITY,-0.00230880686910004,0,0,-0.0119558144309602,0,0,0,-1.73472347597681e-18,0.371499840956025,0,-0.132156695626856,0,0,0,0,0,0,0,0,0.120342902595237,0,0,0,-0.0300816221871908,0,0.2783269573332,0,0,0,0,0,0,0,0.0114361948548257,0,0,0,0,0,0,0,0.178375857009904,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0.00816834576834945,0,0,0,0.212570999483675,0,0,0,0.0107489651911292,0,0,0,0,0,0,0.0641268553251374,0,0,0,0,0,0,0.183009827311265,0,0,0,0,-0.0407067983488141,0,0,0,0.0351685561334997,0,0,0.086949104453444,0,0,0,0,0,0,0,0.34753511415137,0,0,0,0,0,0,-0.0230038161292571,0,-0.0139900086688383
X1109.HK.EQUITY,0.0623802404625314,0,0,0.0429773845116059,0,0,0.116390753570061,0,0.0407785734588696,0,0,0,-0.108177564924522,0,0,0,0,0.0907922137819718,0,0,0,0,0,-0.115209352080483,0,0,0,0,0.563117476236559,0,0,0,0,0.213250213792657,0,0,0,0,0,0,0,0,0,0.113526640660512,0,0,0,0,0,0,0,0.103539687723615,-0.231933276928004,0
X2007.HK.EQUITY,0.0235028668723489,0,0,0,0,0.0652195878465879,0.192586019456241,0,0.109895824683853,0,0,0,0,0,0,-0.063514063489143,0,0,0,0,0,0,0,0.0360837920760461,0,0,0.159543864740115,0,0,0,0,0,0.0801852138937632,0,0,0,0.0833307549531779,0,0,0,0,0.00210509901510578,0,0,0.163587553322536,0,0,0,0,0,0,0,0.11305699981941,0
X267.HK.EQUITY,0,0,0.0156475510914878,0,0,0,0,0,0.182093166667219,0,0.187302097679496,0,-0.193332027865985,0,0,0,0.103798241689792,0.0978505524819914,0,0,0.0601806637613315,0.17838286859028,0,0,0,0,0.167948079546552,0,0,0,0,0,0,0.0607038131929332,0,0.0330436845429111,0,0,0,0.0625299424982707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
