,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.326855420244159,0.14115557143263,0.00556293868937065,0,0,0,0,0,0,0,0,0,0,0.212618105692317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142637846558522,0,0.0359926453309865,0,0.00697981202194561,0,0.0222490748007452,0,0.20066650731936,-0.0611275941460136,0.0659287691247766,0.00338734759013214,0
X601318.CH.EQUITY,0,0,0.0377180100034288,0.137348228026382,0,0,0,0,0.12697608215391,0,0,0.0546674387147112,0.0386426775413207,0,0,0.0249443966969375,1.73472347597681e-18,0.130870388423684,0,0.185616695456589,0,0,0.121956538414718,0,0,0,0,0,0.0203547940227123,0,0.0745134138678035,0,0,0,0,0,0.0060131860761826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113141766967492,0
X601939.CH.EQUITY,-6.93889390390723e-18,0,0,0,0.132650942343363,0,-0.00812530014543917,0,0,0,0,0.123033588602721,0,0.0804527549257941,0,0,0,0,0.0413371205599715,0,0,0,-0.103323181220524,-0.0169442940394662,0.582826359765058,0,0.152844832336198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310228659846935,0,0.0359579021237757
X600036.CH.EQUITY,0,0.201073957102411,0,0,0,0,0.134117277763385,0.0967049364386739,0,0,0,0,0.189113659703234,0.0855229598444754,0,0,0,0,0,0,0,0,0,0,0,0.254554640009698,0,0,0,0.0610002505762649,0,0,0,0,0,0,0,0,0,0.0271489578712545,0.01054967985364,0,0,0,0,0,0,0,0,0,0,0,0,0.00291731128832567
X601288.CH.EQUITY,0.117105667988989,0,0.0629554734527694,0,0,0.142621215986354,0,0.337148683871012,0,0,3.46944695195361e-18,0.0830375432110433,0,0,0,0,0.00230853752530122,0,0,0,0,0,0,0,0,0,0,0.134669686581088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513963349889495,0,0,0,0,0.091192257266558,0,0,0,0,-0.0739694271111006,-0.0752660340237151,0
X601628.CH.EQUITY,0,0,0,-0.0280663692376266,0.0331579108253116,0,0,0,0,0,0.0763712776329507,0,0,-0.091184026354367,0,0,0,0,0.0448139004790768,0,-0.0311952994101299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697211337984307,0,0,0,0,0,0,0.115537591447748,0,0,0,0,0.186731234806083,0,0,0,0,0,0.211802377286803,0
X1299.HK.EQUITY,0,0,-0.0792126918686529,0,0,0,0,-0.0453524372082417,0,0,0.14058293746322,0,0,0,0,0,0,0,0,0,0,0,0.0500210940491475,0.108495565776449,0,0,0,-0.243822722688985,0,0,0,0.0189964844896347,0,0,0,0,0,0,0,0.265603285945641,0,0.236707941218207,0.116456713003795,0.225240705115674,0.0273007019935333,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.394148939489447,0.170396444357605,0,0,0,0,0,0,0,0,0,0,0,0,0.200363002368847,0,0,0.0116186133070834,0,0,0.168916782146982,0.135821360187906,0.03972892731433,0,0,0,0,0.0755692185049652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327508236717703
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0321706553227291,0,0,0.0103343794652699,0.0188810022724287,0,0,0,0,0,0,0,0.207672207537823,0,0.0996362109781588,0,0.128290474011608,0,0,0,0,0.0296284433107952,0,0,0,0,0,0,0,0.0128089982530013,0,0.243933971675954,0,-0.0669683953171717,0,0,0.191391342494349,0,0,0,0,0.0830464192362356,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.050288137220611,0.057251828854273,0,0.027617784556444,0,0,0,0,0,0.0193906615880855,0.106097995229586,0.0682123950531394,0,0,0,0,0,0,0,0,0,0,0,0.163805528520917,0,0.368977525000388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.00490688208615759,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-4.33680868994202e-19,-0.110828072862789,0,-0.0781726080093544,0.1489135465065,0,0,0,0,0,0,0,0.452093091856885,-0.145027258933945,0,0,0,0,-0.144903698968668,0,0.183729384953582,0.207258393091025,0,0,0,0,0.0400787969186054,0,0,0,0.189130982903315,0,0,0,0,0,0,-0.0149568276604862,0.00209193717215675,0,0,0,0,-0.208813478289564,-0.00817843855610039,0,-0.0499668152348724,0,0.176528236453769,0,0,0
X601658.CH.Equity,0.254252518675124,0.0864859538844172,0,0,0.0372791434466694,0,0,0,0,0.320165910241897,-0.0341176786213659,0,0,0.175565148577126,0,0.0154210065611515,0,0,0,0,-0.00638985752138204,0,0,0,0,0,0,0.163800895230083,0.0567627459104733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126420467388169,0,0,0,0,0,0,0
