,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.114105605153855,0,0,0,0,0,-0.00170903927678323,0,0,0,0,0,0,0,0,0,0,0,0.134506456590817,0,0.376268606876012,-0.121029577799223,0,0.0668860506664376,0,0,0,0,0.232327501999098,0,0,0,0,0,0,-0.231393814605291,-0.0317540890173335,0,0,0,0,0,0,0,0,-0.132396348154137,0
X601318.CH.EQUITY,0,0,0,0,0.115722124067242,0,0.0659710340836816,0,0,-0.0373565222787864,0,0,0,0.0258553878928998,0,0,0,0,0,0.246001169645542,0,0,0,0,0,0,0,0,0,0.153756357304863,0,0,0,0,0,0,0.499556632538191,0,0,0,0,0,0,0,0,0.0598701952833463,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.820534859163126,0,0.0141668745988939,0.044703140926702,0,0,0,0,0,0.0443927820705929,0,0,0,0.0276620931817898,0,0,0,0,0,0.0112261411897961,0,0,0,0,0,0.00392054436181752,0,0,0,0.0142239542621731,0,0,0,0,0,0,0,0,0,-0.0266402064963626,0.0070605067724426,0,0,0,0,0.0233632522788064,0.0621624697107841
X601288.CH.EQUITY,0,0,0.899472221992036,0,0,-0.0640943046416889,0,0,0,0,0,0,0,0,0,0.0282065427135838,0,0.144767348911698,0,0,0,0,0,0,0,0,-0.0921252907083168,0.0120234144635295,0,0,0.0133151261314822,0,0,0,0,0,0,0,0,-0.12692889262479,0,0,0,0,0,0,0,0,-0.0240410418593982,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.21074696433531,0,0,0,0,0,0,-0.243495633911172,-0.206885517868199,0,0,0.0242803668198479,0,0,0,0,-0.0682606231247225,0,0,-0.059412774596567,0,0,0,0,0,0,0,0,0,0,0,0,0.0351246017890831,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0720064516790982,0.784248805484032,0,0,0,0,0,0,0,0,0,0,0.122294639515662,0,0,0,0,0,0,0,-0.0585536004219674,0,0,0,0,0.0453234303932424,0.247527733711983,0,-0.0863598846578004,0,0,0,0,0.200632584812184,-0.131239704636529,0,0.00919728042455882,0,0,0.0914517065090393
X600036.CH.EQUITY,0,0,0.340643525772132,0,0,-2.71050543121376e-20,0,0,0.0262933932930996,0,0,0,0,0,0,0.168591015546204,0,0,0,0.00106930097566326,0,0,0,0,0,0,0,0.13429990445159,-8.67361737988404e-19,0,0,0.289179293934469,0,0,0,0,0,0,0,0,0,0,0,0,0.0661721995963605,0,0.0329419560646211,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.142846216596993,0.0608175952858656,0,0.115696594009879,0,0,0,0,0,0,0,0,0.0730289129435382,0.082350103216114,0,-0.249823548990636,0,0,0,0,0.0518000709751234,0,0.247520777125709,0,0,0.0643756557071667,0,0,0,0,0,0,0,0.096301551678816,0.00950727750548445,0,0,0,0.466379589943732,0,0,0.0148736905456759
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.087259697926976,0,0,0,0,0,0,0.227724951462779,0,0,0,0,0.178528880638164,0,0,0,0.635165566326335,0.0265351221278388,0,0,0.0749803080684541,0,0,0.0187304279733129,0,0,0,0,-0.385251479590212,0,0,0,0,0,-0.0793063409346188,0.106965493836226,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.052531164592953,0,0,0.433440143368715,0,0,0,0,0,0,0,0,0,0,0.0314073513928909,0,-0.456259609989517,0,0,0.170705269949749,0,0,0,0,0.284746660199345,0,0,0,0,0,0,0,0,0.223848657378426,0,0,0,0,0,0,-0.276455008631018,0,0,0,0,0,0,0
