,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY
X601398.CH.EQUITY,0,0,0.313809233798381,0,0.000437891816703312,0,0,0.354259910100852,0,0,0,0,0,0,0,0.0209625264287998,0,0,0,0,0,0,0,0,0.174000383651389,0,0.0226054706152702,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.105802421916159,0,0,0,0,0,0,0,0,0,0,0,-0.0308060047089499
X601318.CH.EQUITY,0,0,0.123529880293712,0,0.0219130301127684,0,0.162856226779848,0,0.177833280235505,0,0,-3.46944695195361e-18,0.0871981123636409,0,0.128816707989407,0,0,0.0381429524815191,0,0,0.218649467643349,0,0,0,0,0,0,0,0.104858246957872,0,0.104706564874155,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0423057835777265,-0.120891196577698,0,0,0,0,0.0572676885474709,0,-0.0273178535434119
X601939.CH.EQUITY,0.50676222544126,0.256993070416632,0,0,0,0,0,0.124520254501681,0,0,0,0,0,0,0,0,0.0567232628119346,0,0,0,0,-0.106544173220711,0,0,0,0,0,0,0.204216086034249,-0.0326273808935635,0,0,0.127922899121856,0,0,0,0,0,0,-0.172871849470876,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.00346041215032074,0,0.527836773676608,0,0,-0.0785305558061038,0.0630972155933899,0,0,0,0,0,0,0,0,0,0,0.0665959385238105,0,0.152164910523306,0,0,0,0.0993612163642174,0,0,0,0.0419591957723101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452880869028379,0,0.0166878035429091
X600036.CH.EQUITY,0,0,0,0,0,0.10370574260732,0.132863288437596,1.73472347597681e-18,0.0258150999615271,0,-0.104515773140618,-0.201243630596923,0.238979086758153,0,0,0.22892402683023,0,0.191887710843717,0,0,0,0,0,0.318634192025431,0.0774336176020896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0598133666289813,0,0
X601628.CH.EQUITY,0.0939231444027432,0,0,0,0,0,0,0,0,0,0.00793379562343555,0,-0.0396049411255884,0,0,-0.238690432939345,0,0,1.73472347597681e-18,0,-0.0325871951556352,0.184930932300751,0,0.0177667641543777,0,0,-0.120344764404422,0,0,-0.00890494780015051,0,0,0,0,0.630845287110773,0,0,0,0,0,0,0,-0.0148229279881496,0,0,0.080732780915529,0,0,0,0.0622062880335888
X1299.HK.EQUITY,0,0,-0.0198547183598607,0,0,0,0,-0.115196589455191,0,0,0.122773330570421,-0.0356273795248932,0,0,0.0396501324621868,0,0,0,0,0,0,0,0.125538511271764,0,0,0,0,0,0,0,0,0,0.0903360756810857,0,0,0.0103030743044982,0,0.103844460049101,0,0.105716040667779,0.15636383470787,0.0595791175797616,0.120515716981426,0,0,0,0,0,0,0.294977546182878
X601988.CH.EQUITY,0.171918792561237,0,0.0906434729000124,0.378683712543591,0,0,0,0,0,0,0,0,0.244372980779293,0,0,0,0.0704859922598691,0,0,0,0,0,0.0324990285255113,0,0,0,0,0,0,-1.73472347597681e-18,0.119032889385322,0,0,0,0,0,0.0171015336935847,0,0,0,0,0,0.0180989053468884,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.107820818830809,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.122144483925602,0,0,0,0,0,0,0.228553425177842,0,0.183804361097847,0,0,0.134671035717942,0,0,0,0,-0.00979399386710798,0,0.0800671753298591,0,0,0,0,0,-0.0406083143996436,0.0733644308149969,0.22145100708678,-6.93889390390723e-18,0.251978105788696,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0608780833726871,0,0.05269805970513,0.0331568926317372,0,0,0,0,0,0.038057090299658,0.301481432894335,0,0,0.104778468378589,0,0,0,0,0,0,0,0,0,0,0.0850723478292938,0,0.323107331252226,0.108950433159057,0,0,0,0,0.0563384162674862,0,0.0346746499940366,0,0,0.0176770069046552,0,0,0,0,0,0,-0.0238797532927721,0,-0.117092774325932,0
X388.HK.EQUITY,0,0,0,0,-0.260872760531856,0,0.272956668012686,0,0,0,0,0,0,0,-0.0882678015579993,0,0,0,0,-0.218896372961595,0,0.221509756040399,0,0,0,0,0,0.0878747523199932,0,0,0,0,-0.114605423042955,0,0,0,0,0,0.404488112178671,0.0833985010692645,0,0,0,0,0,-0.0365406716779858,0.0423248684529415,0,0,0.235290616128211
X601658.CH.Equity,0,0,0,0.409172834145642,-0.358731105546106,0.087505416820962,0,0.0464644354541803,0,0.252322126969766,0,0,0.110160832450472,0,0,0.0399728441707783,0.312668545965851,0,0,0,0,0.213720274189666,0,0,0.0603930073036125,0,0,0,0,0,0,-0.283822928756338,0,0,0,0,0,0,0,0,0,0,0.050335810855539,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.103548926738511,0,0,0.149798247596668,0,0,0.248105285004317,0,0.291148158744104,0.0487965350778727,0,0,0,0,0,0,0,0,0,0,0,0.184375803380896,0,0,0,0.179423537826585,0,0,0,-0.0934904476790949,0,-0.304969198391271,0,0,0,0,-0.0660114918359084,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0289450797204096,0.0413973624813576,0,0,0,0,0,0,0,0.263801302127209,0,0,0,0,0,0,0,0,0,0,0,0,0.0320470440566116,0,0.033654011108524,0.0369929350286927,0.258148655247061,0.182453861670452,0.0058104589455117,0,0,0,0,0,0.199641235236135,0,0.0529789359392121,0,0,0.0662732820601221,0
X601601.CH.EQUITY,0,0.00252217713603539,0,0,0,0,0,0.0591894609494736,0,0,-0.0151450791306893,0,0.378714922101033,0,0,0,0,-4.33680868994202e-19,0,0,0.161588997070721,0,0,0,0,0,0,0.0609845256039631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053936989035558,0,0,0,0.280465419735225,0,0,0,0
X000002.CH.EQUITY,0,-0.0120968431106699,0,0,0.0461173492640198,0,0,0,0,0,-0.0501747564961073,0.128620716950159,0,0,0,0,0,0,0,0,0,0,0,-0.173325556922864,0.341309998811165,0,0,0.488607747921848,0,0,0.0604950206879895,1.0842021724855e-19,0,0,0,0,0,0,-0.0259161580233218,0,0,0,0,0.0596754218784556,0,0,0,0,0,0.00750985412570863
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.142564778992101,0,0,0,0,0,0.294968254366052,0,0,0,0,0,0.128070181068028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1494603779834,0,0.0199415782640272,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0270222778332736,0,0,0.142525235717291,0,0,0,0,0.00667172881316747,0,0,0,0,0.0193921262266446,0,0.507354210862673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626268257257362,0,0,0,0,0,0,0.0167648314516876,0,0,0,0
X601066.CH.EQUITY,0,0,0.0447632238624601,0,-0.192290071482531,-1.73472347597681e-18,0,0,0,0,0,0,0,0.655932687056332,-0.00936884219954708,0,-0.145123621579056,0,0,0,0,0,-0.0806832620207495,0,0.317891755120575,-0.0241017276568409,0,0,0,0,0,0,0,0,0,0,0,-0.0932592390302668,0.249448993157041,0,0,0,0,0,0,0.0206311664828318,0,0,0,0
