,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,-0.276220008404071,0,0,0,0,0,-0.203373144206458,-0.101268292532569,0,0,0,-0.215522109379125,-0.206087194435475,0,0.195806649603337,0,0.232605733757173,0.983544539125123,0,0,0,0,0,0,0,0,0,0.0325367683524579,0,0,0,0,0,0,0,0,0,0,0.0561105954884128,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.613465378312051,0,0,0,0,0.197815427475708,0,0,0,0,0,0.104923308761545,0,0,0.141460537116763,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0896651045677017,0,0,0,0,0,-0.0341971009227221,0.00465366152120998,0,0,0,0,0.0374419634732645,0,0,0,0,0,0,0,0,0,0.0138082879504205,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.240770548739502,0,0,0,0,0,0,0.117804117532702,0,0,0,0.280316517832004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0927470266497838,-0.149262719156399,0,0,0,-0.0429086823174167,0,-3.46944695195361e-18,0,0,-0.0958199169754241,0,-1.73472347597681e-18,0,0.457753045810516,0,0,0,0.0290967764950132,0.0541162026481432,0,-0.00701842823733587,0,0.225774115576067,0,0,0,-0.125240562348848,0,0,-0.283690260972588,0,0,0,0,0,0,0,0,-0.188126375647845,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.329280215064241,0,0,0,0,0,0,0,0,0,0,0,0,0.151120693146029,0,0.131114359895451,0,0,0,0,0,0.448686797472323,0,0,-0.117571106327049,0,0,0,0,0.00170018327910093,0.023484865848823,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.170244212078712,0.0517197354183992,0,0,0,0,0,0,0.0291664777285123,0,0.308252955829739,0,0,0,0,0,0,0,0,0,0.102621350525955,0,0,0,0,0,0.259939139824301,0.0476819541807973,-0.0485131185220863,0.0706875998910877,0,0,0,0,0,0,-0.0285808301450553,0.0415576349431357,0,-0.123270326456943,0,0,-0.0602155224928961,0,0,0,0.0221471561897695,0,0
X601328.CH.EQUITY,0,0,0,0,-0.180872233208052,0,0,0,0.332907103036229,0,0,0.00893159563856703,0,0,0,0,0,0,0,0,0,0,-0.190583828741016,0,0,0,0,0.111850135055388,0,0,0,0,0,0,0,0,0,0,0,0,0.0376903014731602,-0.0741030904785962,0.0467540465592868,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0154534710459176,0.105813265627877,0,0,0,0.34133082405249,0,0,0,0,0,0.217220570380801,0,0,0,0,8.67361737988404e-19,0.109946996188071,0,0.18894716091527,-0.063198534997817,0,0,0.330883554362928,0,-0.375436798304702,0.0339459751662659,0,0,0.0605213310457792,0,0,0,0,0,0,0,0,0,0,-0.00192895237402686,0,0,0.0879155681313573,0,0,0
X600036.CH.EQUITY,0.0539690554303693,0.173004724837399,0,0,0,0,0.095763721148476,0.155882653397224,0,0,-0.0657032608430546,0,0,0,0,0,0.126258229205628,0,0,0,0,0,0,0.105261967143279,0,0.198920781581753,0,0,0,0,0,0.117637203255592,0,0,0,0.27623179829526,0,0,0,0,-0.0397834695995335,0,0.104719584645965,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.128324214432271,0,-0.0211392035843241,0.324025355095749,0.22560516406554,0,0,0,0.363951397480624,0,0,0.133106299250709,0,0.0790132606450654,0,0,0,0,0,0.131639438582292,0,-0.00068426523625147,0,0,0,0,0,0,0.127131918349126,0,0,0,0,0,0.0230094469380849,0,-0.0535923446408176,0,0.0809144621930308,0,-0.188570184427275,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.0156427752382886,0,0,0,0,0,0,0,0,0,0,0.368560180204508,0,0,0,0,-0.227344385098175,0,0.0263567236804258,0,0.0158767988477046,0,0,0,0,0,0,0.13096138406031,0,0,0.316118212429275,-0.0747365532319006,0.159427522079773,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.492343808279558,0,0,0,0,-0.105521738530724,0,0,0.160939319062554,0.360014352867354,0,0,0,0,-0.0876488607661273,0,0,0,0,0,0,0.0456417142726017,0.130127045917363,0,0,0,0.0011836714656801,0,0,0,0,-0.0766731408359012,0,0,0,0,0,0,0,0,0,0,0.279016226811519,0,0
X601998.CH.EQUITY,0,0,0,0,-0.107122428355841,0.0957587407003824,0,0.151850913640253,0,0,0,0.282661933749416,0,0,0.128917684209077,0,0,0,0.151610560435089,0.195937176558441,0,0,0,-0.0417389507839475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370873677129477,0,0.0253217622263932,0,0,0,0,0,0,0
X600016.CH.EQUITY,-0.253309898449892,0,0,0,0,-0.143783347714033,0,0,0,0,0,0.227078700828003,0,0,0,-0.365257941171866,0,0.14265831009096,0.0375716097824542,0,0,0,0,0,0,0,-0.0823014917772479,0.198263689694517,0,0,0,-0.0618433271138062,0,0,0,0,0,0.0718576907313817,0,0,0,0,0.00247282895351288,0,0.381198939689435,0,0,0,-0.390663875549008,0
