,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.371721198279743,0.129176569529611,0,0.0620720811244221,0,0.110193264243519,-0.054069743185068,-0.0600002530002632,0.0171454179093313,0,-0.0174707090894955,0,0,0,0,0,0,0,0,0,0.270741598609625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226456619844221,0,0,0.0952269587959819,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.128426092233372,0,0,0,0,0.155243891416598,0.0503025708648258,0,0,0.057158061416343,0,0,0,0.0293306625740604,0,0,0,0,0.0502708164349999,0,0.051720744266682,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,-1.73472347597681e-18,0.438570935770501,0,0.0909042381356066,0,0,0,0.0265024332266392,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.215265109171807,0,0,0,0,0,0,0,0,0,0,0,0,0.0238749832524726,0.0450028962801494,0,0,0,0,0,0,-0.0379335003254817,0.0633588675431873,0,0,0,0.0438207434167655,0,0,0,-0.0400983961072341,0
X601988.CH.EQUITY,0.0481777191448319,0,0.484171259328496,0,0,0,0,0,0.0365870726873189,0,0,0,0,0,0,0.0731529044830346,0.0764727558994527,-1.38777878078145e-17,0,0,0,0.131350423511186,0,0,0.0366931625519049,0,0,0,0.0702884614680367,0,0,0,0,0,0.0350584265605747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.201081505887191,0,0,0,0,0,0,0,0.115661190844024,0,0,0,0,0,0,0.0428374637877927,-0.142610366873024,0,0,0.560474903073173,0,0,0,0.242751134833184,0,0,0,0,0,0.12864775420073,0,0,-0.245551747034837,0.266608716848386,0,0,0,0,0
X601658.CH.Equity,0,0,0.0432980847162435,0,0,0,0,0.0545416898623078,0,0,0,0,0,0.0329695719124071,0,0,0,0,0,0.24646266743283,0.175528029646585,0,0,0.218662445485258,0,0,0,0.111105421321267,0,-0.00100535317053244,0,0,0,0,0,0.201507092550349,0,0,0,0,0,0,0,-0.185650741443754,0,0,0,0,0,0
X601328.CH.EQUITY,0.0914645190039421,0.011782787192937,0,0.15773047301075,0,0,0,0,0,0,0.165982583311477,0,0,0,0.210182151464434,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297139120656151,0,0,0,0,0,0,0,0,0,-0.0694120016990782,0,0.200537714516254,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490709456895207,0,0,0,0,0,0,0.141780608233343,0.167869725795488,0,0,0,0,0,0,0.0902532932217131,0,0,0.121686786100837,0,0,0,0,0,0,0,0,0,0,0.115076008164531,0,0,0.114905162337555
X600036.CH.EQUITY,0,0.0746930571351972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408039503184741,0,0,0,0,0,0,0.0599037518567643,0,0,-0.0971207191040532,0,0,0,0,0,0,0,0,0,0,0,0,0.343211971062432,0,0,0,0,-0.00776836026928594,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.153641225989354,0,0,0.0127526815123614,0,0.174536953266411,0,0.0563828416405232,0,0,0.153947784361622,0,0,0,0,0,0.162209482112405,0,0,0,0,0,0,0,0,0,-0.257886980605377,0,0.127275974611329,0,0,0,0,0,0,0,0,0.0317271860172156,0
