,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.138262949439014,0,0.0634852420322487,0,0,0,0,0,0,0,0,0.0807245124406101,0,0.10304258784578,0,0,0,0,0,0,0,0,0.0798802826732786,0,3.46944695195361e-18,0,0.0132627734629311,0.0381254474074034,0,0,0.0886194538637451,0.130193032040602,0,0,0,0,0.106084618371232,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.0524329719324558,0,0.079386613313354,0.0670529403925918,0,0,0,0,0.235561088899185,0.162255679319698,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.296684460261774,0,0.0917559900112267,0,0,0,0.0544725128952866,-0.136278316350499,0,0,0,-0.227203247581746,0,0,0,0,0,0,-0.0169009044531454,0.18231562214157,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0280829217066841,0.468771026569363,0,0,0,0.208580419523656,0.00958069491955628,0,0,0,0,0,0,0,6.93889390390723e-18,-0.0722884564825962,0,-0.195044438964388,0,0,-0.0775390852579858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331398683763595,0,0,0,0,0,0,0,0.040402481116799,0,0
X600015.CH.EQUITY,-6.93889390390723e-18,0,-0.23182617394359,0,0,0.402281862310664,0,0.0651340826638137,0,0,0,0.0277760530099784,0,0,0,0.474030700638399,0,0,-0.434560606369311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284804583191517,0,0.109911741494006,0,0,-0.00646993522518258,0,0,0,0,0,0,0
X600016.CH.EQUITY,-2.16840434497101e-19,0,0.214229623469603,0.245500054950394,0,0,2.16840434497101e-19,0,0,0,0,0,0.152006134470376,0,0,0,0,0,0,0,0,0,0,0,0,0.0365787071310823,0,0,0,0,0,0.0750895368724125,0,0,0,0,0.0266836448660022,0,0,0,0,0,0,0,0,0,0,0,-0.0326706803844866,0
X600036.CH.EQUITY,0,0,0,0.230484534357585,0,0,0,0,0,0,0.411082440516082,0,0.148409865583831,0,0,0,0.0555138398968369,0,0,0,-0.00798225929973437,0,-0.158718998641586,0,0,0,0,0,0.30744872904037,0,0,0,0,-0.0608518118814422,0,0,0,-0.180657815950913,0,0,0,0,0,0,0,0,0.292080563165404,0,0,0
X601166.CH.EQUITY,0.0639677961509034,0,0.302234482909969,0,0,0.105227396442078,0,0,0,0.266943484409517,0,0.134562358286475,0,0,0,0,0,0.039939960277105,0,0,0,0,0,0,-0.153993228729197,0,0,0,0,-4.33680868994202e-19,0,0,0.00446920378969734,0,0,0,0,0,0.113624949014714,0,0,0,0,0,0,0,-0.00549343416957895,0,0,0.0581776104294657
X601169.CH.EQUITY,0,0,0,0.919279585284622,0,-0.0731174212925588,0,0,0,0,0,0.00425937310631152,0,0,-0.142844808553156,0.0553155137356838,0,0,0,0,-0.177502277934151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122489875333813,-0.129234004361875,0.688711226724035,0,0,0,0,0,0,0.0980083537921058,0,0,0,0.0948801378923907,0
X601229.CH.EQUITY,0,0.129196083905124,0.0659932469410696,0.122624373894591,0,0.039066997038675,0,0,0,0,0,0.430641405832515,0.130076064873574,0,0,0,0,0,0,0.03297354382161,0.0190035347723353,0,0,0,0,0,0,0,0,0,0,0.094354633781155,0,0,0.126812189495919,0,0,0,0,0,0,0,0,0,0,0,0.0579686162079286,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.264861269552232,0,0,0,0,0,0,0,0,0,-0.0787995299310421,0,-0.0998436829040744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133426790948046,-8.67361737988404e-19,0,0,0.36220212568973,0,0,0,0,0,0,0,0.0127854468661283,0,-0.0906777165423831,0,0,0
