,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.144622388514006,0,0,0,0.201659460322042,0.211498410570742,0,0,0,0,0,0,0,0,0,0.0956176725912202,-0.141268821227055,0,0,0,0,0,0,0,0,0,0.0899950809537219,0,0,0,0.108915839661289,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.136177619956564,0,0,0.0780247246739706,0,0,0,0
X002142.CH.EQUITY,0.290360422788389,0,0,0,0,0,0,0,0.25893335673051,0,-0.025744450655986,0,0,0,0,0,0.228209517248485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810360755037029,0,0,0.122195534075569,0,0,0,0,-0.127552064357523,8.67361737988404e-19,0.119034264550696,0,0,0,0,0,0,0.0277273222464848,0,0,-0.0140831182330111
X600000.CH.EQUITY,0.0434160700069474,0,0,0,0.0597813791564035,0,0,0,0.0759945547253107,0,0,0.182776145815863,0,0.128133022919897,0.0669351100665429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030176985695835,0,0,0.052318864672019,0,-6.93889390390723e-18,0.112307401259539,0.041700712291989,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0612338816841179,0,0,0,0
X600015.CH.EQUITY,0,0.126161672330149,0,0,0,0,0.300356365278239,0.177684373977498,0,0,0,0,0,0.140223903513042,0,0,0,0,0,-0.0269321219673582,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0537251886282475,0,0,0,0,0,0.241755312949343,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.110640373245226,0,0,0,0.264671379675532,0.0533181617173874,0,0.112123551234029,0.167910479859832,0,0,0,0.102763506344496,0,0.0599302230213645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715363674491532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359046446758713,0,0,0,0,0
X600036.CH.EQUITY,0.0876751759540191,0.0696959260811907,0,0,8.67361737988404e-19,0,0.388292458653524,0,0,0,0,0,0.11813030564726,0,0,0,0,0.00733564703975734,0,0.0081431697343337,0.0245146210879013,0,0,0,0,0,0,0,0,0,0,0,0,0.149848755439473,0,0,0,0.0717142517473398,0,0,0,0.0614191865654678,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0486316639532075,0,0.00682032161943576,0.115020364988088,0,0.424409211844365,0,0.0197130429268512,0.0111844477808279,0,0.0551718658910303,0,0.197969317873729,0,0,0,0.0135941764022863,0,0,0,0.0364101643365036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357624818555833,0,0,0,0.000196864365263918,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0587007977101817,0.153061887406562,0,0.489463670956369,0.0680438851382524,0,0,0,0,0,0,0,0,0.0465594986782943,0,0.00738769084958467,0.0601510126677596,0,0,0,0.0169824385502876,0,0,-0.0723966714303521,0,0.256008098199078,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.00893571061222856,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0136539479560225,0,0,0,0,0,0,0,0.0819305768899839,0,0,0,0.159362608717892,0,0,0,0,0,0,0.287645724634783,0,0,0.141868683425116,0,3.46944695195361e-18,0,0,0,0,0,0.182747278602313,0,0,0,0,0.0260135793742379,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.144360151794496,0,0.0721363091975702,0,0,0,0,0,0,0.350471823520089,0,0,0.24482494667984,0,0,0,0,0,0,0,0.00252005206574564,0,0,0,0,0,0,0.123237922882528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
