,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X600606.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.178806133003315,0.136368751701733,0,0.0253604323954329,0.0851357343902028,0,0,0,0,0,0.117041696045787,0,0,0,0,0,0,0,0,0,0.025552420131064,0,0,0,0,0,0,0,0,-0.00869502269418916,0.120230334814779,0,0,0.152793061796979,0,0,0.0508841274812763,0,0.0336750995364791,0,0,0,0,0,0.00528073605554658,0,-0.0150856641990137,0,0.0930908912256398,0
X002142.CH.EQUITY,0.0890489199034467,0,0,0.122598301643557,0.398924844352288,0,0,0,0,0,0,0,0,0,0,0,0.0373757277947037,0,0,-0.120053997518204,0,0,0,0,0,0,0,0,0,0.0450462062397687,0.188562511222903,0,0,0.412652884142398,0,0,0,0,0,0,0.0307693487041583,0,0,0,0,0,0,-0.0809276179340863,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.352613140328433,0,0,0,0,0,0,0,0.312301699250444,0,0,0,0,0,0,0,0,0,0,0,0,0.304376171143028,0,0,-0.0926291710633033,0,-0.00401240685800323,0,0,0,0,0,0,0.0969167012807521,0,0.684453552719205,0,-0.0912739777616691,0,0,0,0,-0.182473373615751,0,0,0,0
X600016.CH.EQUITY,0,0.274324154741006,0,0,0,0.149207976200079,0,0,0,0.120849187693251,0,0.0291699500495103,0,8.67361737988404e-19,0,0,0,0.0808109655599812,-0.000234004514341743,0,0.289701921396419,-0.264974956588575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0740031681803325,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.123094184835063,0.106788623665462,0,0,0,0,0,0,0,0,0,0.408792768371138,0,0,0,0,0.191709763980057,0.0248230589317195,0,0,0,0,0,0,0,0,0,0,0,-0.00639779235403669,0,0,0,0.00488779333019886,0,0,0,0,0,0,0,0,0,0,0.012687406228952,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0561481411652578,0.0737621518264688,0.0701409843145924,0,0.137092690651471,0,-6.93889390390723e-18,0,0,0.0887147803117896,0,0.479244423058161,0,0.0534380009935774,0,0,0,0,0,0,0,0,0,0.0158267591485088,0,0,0,-0.0384565703588705,0,0,0,0.0405828021715576,0,0,0,0,0,0,0,0,0,0.029007264274004,0,0,0,0.00939351881028789,0,0,0
X601169.CH.EQUITY,0,-0.0923172940497485,0,0,0,0,0,0,0,0,0,0,0,0.803069055599381,0.052490084075717,0,0,0,0,0,0,0.0875335538856705,0,0,0,-0.0213781672913545,0,0,0,0,0,0,-0.000470566702096637,0,0,0,0.0216252109978352,0,0.0261650546882693,0,0,0,0,0,0,0.038600817987432,0,0,4.33680868994202e-19,0,-0.0088897735711874
X601229.CH.EQUITY,0,0,0.00990440085603354,0,0,0,0,0,0,0,0.706623838716193,0,0,0,0,0,0,0,0.547253402853353,0,0,0,0,0,0,0,0,0,0.167184497205288,0,0,0,0,0,0,0,0,-0.076557948661642,0,0,0,0,-0.290912334728437,0,0,0,0,-0.0963450464387337,0,0,0.0724227408333361
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0159575658077709,0,0.921399340808101,0,0,0,0,0.0242914551576388,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.134634324780499,0,0,-0.0948857993622573,0,0,0.0392394466464636,-0.0469543267927155,0,-0.0356621853705547,0,0,0,0,0,0,0,0,-0.0508367330221164
X601328.CH.EQUITY,0,0,0.0289279307841347,0.373601896359885,0.112906960679046,0,0,0.242391614794905,0.0463220267136388,0,0,0,0,0.0204750470182298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
