,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.150169795741662,0,0,0.656459256273571,0,0.0429932578636059,0,0,0,0,0,0,0,0,0,0.0658163538675547,0,0,0,0,0,0,0.0517768480176909,0,0,0,0,0,0.0898477994266157,0,4.33680868994202e-19,0,0,0.0829522314978005,0,-0.0389144039165575,0,0,0,0,0,0,0,0,0,-0.277848134745526,0,-0.115125887899498,0,0.00512510515021681
X002142.CH.EQUITY,0,0,0.103926968606686,0,0.555959420259559,0,0,-1.73472347597681e-18,-0.126243007192067,0,0,0.0650579906173113,-0.101846487785348,0,0,-0.0169495619799133,0,0,0,0,0,0.11651361924504,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.253560936718768,0.0446677607405671,0,-0.236924917994792,0,-0.00902451126707775,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.0463517027557294
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.373290123010979,8.67361737988404e-19,0,0,0,0.0417968315500713,0.0157438863653782,0,0.0162110191459289,0,0,0,0,0,0,0,0,0,0,0,0,0.1926140106525,0,0,0,0,0,0,0,0,0,0.0513839544749849,0,0,0.0484117815446274,0,0,0,0.00147024232637816,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.191152847160306,0,0,0,-0.0869198031845633,0,0,-0.348935732274522,0,0,0,0,0,0,0,0,0.750800326287772,0,0,0,0,0,0,0,0,0,0,0.297505723438875,0.0906094726433501,0.0510938601434049,0,0,0.0465014406704117,0,0.0748589808902135,0,0,0,0.0382945407595947
X600036.CH.EQUITY,0.17398347094084,0.290600916503387,0,0,0,0,0,0,0,0,0,0,0,0.111536255071707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116354579973365,0,0,0,0.0628503803219977,0.164726896038703,0,0,0.117214226487143,0,0.00870095036559775,0,0,0.130523654365408,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.183628675424485,0,0,0.169971925029835,0,0,0,0,0,0,0.367256901213983,0.0761377746656597,0,0,0.0960570872795851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600218738406,0,0,-0.0553923990776415,0,0.00244262494943645,0,0,0,0,0,0,0,0,0,0,-0.0229456578357299,0
X601169.CH.EQUITY,0,0,0.00750688730763261,0,0,0.0461268445727076,0,0.276815223566668,0,0.2492568908313,0.0426382214210479,0.0144376183633916,0,0,0.0704516951051642,0.0810072962832766,0,0,0,0.0866083353075337,0,0,0.0281078440370844,0,0,0.0662065270871455,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555884993746467,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.204010688916401,0,0,0,0,0.332279470709593,0,0,0,0,0.335334204237272,0,0,0,0,0,0,0.153099044154753,0,0,0,0,0,0,0.208106066664554,0.14464955256189,0,0,-0.211296558841695,0,0.156395783154171,0,-0.144159150651194,0,0,0,-0.272028203389958,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0438189399654796,0.104145310193165,0,0.111710797934979,0.389150884956707,0,0,0,0,0,0,0,0,0.00250566435397706,0,0,0,0,0,0,0,0,0,0,0,0.0799034946119891,0,0,0,-0.0107265373088077,0.186074152647523,0,0,0,0,0,0,0,0,0,0,0.122258514743746
X601328.CH.EQUITY,0,0,0.443758518686849,0.116356203853751,0,0,0,0,0,0,0.042466883117842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029729392257936,0,0,0.0149834896893568,0,0,0,0,0,0,0,0.0178175790398333,0,0,0,0.0832641659484453,0.116348042923976,0,0,0,0,0,0,0.0913900351841117,0,0,0
X601398.CH.EQUITY,0,0.130053324341524,0.053838797100015,0,0,0,0.23710704766722,0,0.469186695618611,0,0,0,0,0,0,0,0,-0.0594828873992418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814563353650596,0.102950640097226,0.0329633597538514,0.0807849161119291,0,0,0,0.0449305958362674,0,0,0,0.0186745639191108,-0.00457493267328847,0,0,0.00146485700082822,-0.112054171676422
X601818.CH.EQUITY,0,0,0,0.0207871255480279,0,0.169853284006933,0.0901316001300279,0.130831131748303,0,0,0,0,0.0847427453068028,0,0,0.21757735055869,0,0.0104704952550798,0,0,0,0,0,0,0,0,0,0,0.177354554856544,0,0.0813275087857674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195522272530658,0,0,0,0,0
