,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.390882089107152,0,0,0,0,0.0202752379290164,0,-0.22124350968669,0,0,0.0845189949130525,0,0,0,0,0,0,0,0,0,0,0,0.125394292337182,0,0,0,0,0,0.0740439196298007,0,0.104376165199057,0,0,0.00236730449901439,0,-0.0369111246273128,0.144278496515857,1.38777878078145e-17,0,0.106232393640703,0,0,0,0,0,0.139045672426526
X002142.CH.EQUITY,0.0488215105327795,0,0,0,0,0.325581701899888,0,0.0985741672400391,0,0,0,0,0,0,0,0.0297611679588104,0,0,0,0,0.0452916523006388,0,0.202446885668943,0,0,0,0,0,0,0,0.116357926221539,0,0,0,0.0532790412865728,0,0,0,-0.0643893047860871,0.0975890832134216,0,0,0,0.114899580424993,0,0,0,0,0,0,-6.93889390390723e-18
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645758369254234,0,0,0.709114976581842,0.0284823277835412,-0.0748919247811278,0,0.443619011182466,0,0,0.0281789409253175,-0.113019986472584,0,0,0.0292038686792751,0,-0.0110972115498839,0,-0.00843095283331679,0,0.0436199195944408,0,0,0,0,0,0,-0.0267207972012856,8.67361737988404e-19,0,0,0,0,0.040260251953925,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.133760955050656,0,0,0,0,0.0659695434875715,0,0.246852362062005,0,0,0,0,0,0.163537192968678,0,0.0117034386433026,0,0.0339903278171243,0,0,0,0,0,0,0,0,0.031927415845704,0,-0.140691701110132,0,0,0,0,0,0,0,0.869900234749786,0,0,0,0.104784591686329,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0105202826088762,0,0,0,0.176292689725574,0,0.0915066247793978,0.0325303672836292,0.195431616231244,0,0,0,0,0,0,0,0,0,0.0041082771220092,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,-0.164077072605329,0,0,0.45796298909239,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.520560096080104,0,0,0,0,0,0.0156029662599473,0,0,0,0,0,0,0,0,0,0,0,0,0.0070861508687856,0.0206196635549348,0,0.0385610442655529,0.0570132466374463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.194448751623928,0,0.0484623867201328,0,0,0,0,0
X600919.CH.EQUITY,0.127673026222274,0,0,0,0,0,0,0.064469217357502,0,0,0,0,0,0,0,0.0980274057635955,0.0122195300434984,0,0,0,0,0,0,0,0,0.280777931941688,0,0,0,0,-0.101030124364944,0,0,0,0,0,0,-0.196647541576359,0.436876454108267,0,0,0,0,0,0.321591586293737,0,0,0,0,0,-0.0515225623605055
X600926.CH.EQUITY,0.0591517812576516,0.247759790765041,0,0,0,0,0.2859040021756,0,-0.351118821726962,0,0,0,0,0,0,0.197887309779402,0,0.436556118411699,0,0,0,0,0,0,0.0784070899918705,0,-0.190392710643775,0,-0.0856188306077129,0,0,0.130080676849947,0,0,0,0,0,0,0,0.0134249056007787,0,0,0,0,0,0,0,0,-0.0072020360987392,0,0
X601009.CH.EQUITY,0,0,0,0,0.027749623071131,0,0,0,0,0,0,0,0,0,0,0.0175494742882088,0,0.179506069898031,0.0425354758715727,0.103527964438401,0.046784149838432,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0407721188666153,0,0,0,0.116024315538672,0,0.0305913666068486,0,0,0.0911842695368675,0.0548499804088169,0.249059949748657,0,0.0586224080088644,0,0,0,0,0,0
X601166.CH.EQUITY,0.0238636643869814,0,0.0263042506021569,0,0,0.113988391323611,0,0,0.127039761526901,0,0.0109405508575168,0,0,0,0,0.0342538569886096,0,0,0,0,0,0,0,0,0.013192129825687,0,0,0,0,0,0,0,0,0.161541212684158,0,0.0555190278912994,0.0995142637201276,0,0,0,0,0,0.0700200376021824,0.0550392341647305,0.0371466936406784,0,0,0.0213266959892036,0,0,0
X601169.CH.EQUITY,0,0,0,0.0199746719842497,0.256708061938807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125124075965956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142736361345333,0.37247515945037,0.0389530220866943,0,-0.137143399531254,0,0,-0.0526454297114274,0.0611313936900904
X601229.CH.EQUITY,0,0,0,0.117099122460575,0,0,0,0,0,0,0,0,0,0,0.756484460269118,0,0,0,-0.0896224066442041,0,0,0,-0.147934020629951,0,0,0,0,0,0,0,0,0,0,0.0906399977366837,0,0.00390312024239529,0,0,0,0.10815433816038,0.162186561910548,0,0,0,0,0,0,0,0,0,0.0747487598979891
X601288.CH.EQUITY,0,0,0,0,0,0,0.054266971422442,0,0.0440049314331333,0,0,0,0,0,0,0,0,0,0.308168788591573,0.159269336087529,0,0,0.0383885171674343,-0.0918998588781069,0,0,0,0,0,0,0,0,0,0.0523177618800375,0.111553195821298,0.116252101257037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600726100685272
X601328.CH.EQUITY,0,0,0,0,0.200583024902125,0,0,0,0,0.141713913646605,0,0,0.0364260619203087,0,0,0.112728525997643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,1.0318493053626,0,0.017746223276267,0,0.0683957132193432,0,0,0,0.00158541387437399,0,0,0,0.0223413274240488,0,0,0,0,0.0366507240091532,0,0,0,0,0,0,0,-0.0244436793843772,0,0,0,-0.00839013682250979,-0.0974188248472679,0,0,-0.0350937186009462,-0.0883885360964357,0,-0.163049469176585,0,0,-0.0796756377478219
X601577.CH.EQUITY,0.102230701614744,0,0,0,0.00554114400190694,0,0.320712562906416,0.372800480144693,0,0,0,0.323399866860188,0,0.0543557266635084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358817420480498,0,0,0.122290766483914,0,0,-0.243153680661316,0,0,0,0.0272936488847794,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,1.07092895153535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00615886604705617,-0.0189044566307963,0,0,0,1.73472347597681e-18,0,0,0,-0.143300045069699,0,0.0771479813075189,0,0,0,0,0,0,-0.0977595829455585,0,0,0,0,0.0707252407605359
X601838.CH.EQUITY,0,0,0,0,0,0,0.239923517929832,0.172215749218384,0.125519675427622,0,0,0.173716642004385,0.0188064072380119,0,0.253209580901315,0,0,0,0.0612537800434804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126466418429904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0827944539786688
X601939.CH.EQUITY,0,0,0,0.0402356365531232,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.108613189014985,0,0.130926361227287,0,0,0,0,0,0,0,0,0,0.0518303070038988,0,0,0,0.0744492376079464,0.0227301025740218,0,0,0,0,0,0,0,0,-0.259328437358606,-0.28009411159012,0.509494287980467,0,0,-0.201498039432957,0,0
