,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0369355084839953,0,0,0,0,0.481969043416929,0,0,0,0,0,0,0,0.000996427182788898,0,0.0538972101506924,0,0,0,0,0,0,0,0,0,0,0.110110953057832,0,0,0,0,0,0,0,0,0,0,0,0.131557146076241,0,0,0,0.0118130850296957,0,0,3.46944695195361e-18,0,0,0,0
X002142.CH.EQUITY,0.289545115548893,0,0,0,0,0,0,0,0.392093270445187,0,0,0,0,-8.67361737988404e-19,0,0,0.13188923595974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11254131761652,0,0,0,0,0,0,0,-0.0215788504428874,0.00983860890794555,0.08794187819352,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0476408866864469,0,0,0,0.00133676917027662,0,0.0108768532164635,0,0.0367966105123509,0,0,0.303074225868687,0,0.0386923976772066,0.144575423120198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102112810045461,0,0,0.0663601051754045,0.019489922667673,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.111587322667371,0,0,0,0,0.347685764646275,0.10871443550487,0,0,0,0,0.0937744122790019,0.217544140377885,0,0,0,0,0,-0.110389163779831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611914635210117,0,0,0,0,0,0.249725246423809,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.142662175571696,0.0194267179764332,0,0,0.257138683464635,0.0702579974613116,0,0.0933934653200564,0.103839668339642,0,0,0.0218492143701471,0.148742675135278,0,0.0648882349959546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.199178833477994,0.216628559579463,0,0,0,0,0.359497166179686,0,0.0136240688312957,0,0,0,0,0,0,0,0,0.0314243512361221,0,0,0.00565734300145766,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0635994819280714,0,0,0.102591691818914,0,0,0.0476498750264298,0,0,0,0.00811598886251704,0,0,0,0,0,0,0,0.0278349288811761,-0.06603513236671
X601166.CH.EQUITY,0.0246414527906291,0,0.0326653240638107,0.109298939591584,0,0.435530566407106,0,0,0.00551306317217061,0,0,0,0.232694583367393,0,0,0,0,0,0,0,0.0521512682869218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313326574191914,0,0,0,0.0266139658588352,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0468778240963876,0.16836521662413,0,0.445238637048563,0.0917880174101676,0,0,0,0,0,0,0,0,0.0333896586296199,0,0.0417686040396303,0.0881059165199625,0,0,0,0,-0.00978935735463795,0,-0.0566477271025171,0,0.225087435299703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191797904695073,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377431403672111,0,0,0.192039914709989,0,0,0.032666627487476,0,0,0,0,0.194490478170966,0,0,0,0,0.0483972047568898,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.146418542672367,0,0.0916435128320983,0,0,0,0,0,0,0.376207258810725,0,0,0.214629779427407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842625575547204,0,0,0.0341742051402848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0
