,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.120285342110052,0,0,0.326991641868245,0,0,0,0,0,0,0,0,0,0,0,0,0.0291427766574376,0,0,0,0.235073485043074,0,0.0827276796265898,0,0,0,0,0,0,0,0,0,0,0.0495438574760569,0.069212900013655,0,0,0.0670820484220263,0,0.0391382804372904,0,0,0,0,0.0734581658947453,-0.233707923701976,0,0,0,0
X002142.CH.EQUITY,0.22751599446766,0,0,0.140940917946842,0.296439390374303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.305159346363123,0.0893031873085514,0,0,0.146612552135422,0.316283734734979,0,0,0,0.0268905261684004,0,0,0,0,-0.123231497046095
X600000.CH.EQUITY,0,0,0,0,0.149424715462531,0,0,0,0.23062370136658,0,0,0,0.11258305454298,0,0,0,0,0,0,0,0,0,0,0,0,0.290306393884941,0,0,0,0,-0.0243752645693793,0,0.00132157715245227,0,0,0,0,0.0842323026823816,0,0,0.7145094601222,0,-0.0740943677660302,0,0,0,-0.0482371236013069,0,0,0,0
X600016.CH.EQUITY,0,0.0291575368627099,0,0,0,0.0805746727815027,0,0,0.0438355717641343,0.111254178494829,0,0.203099148970655,0,0,0,0,0,0.0704637450520072,0,0,0.0682779240619886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0210110808039754,0,0,0,0
X600036.CH.EQUITY,0.0120390619606694,0.170487156939446,0.172072675249187,0,0,0,0,0.0406049394984754,0.329163496492911,0,0,0,0,0.00603206604008775,0,0,0,0.0363600249880804,0.036973361552812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250919164866267,0,-2.16840434497101e-19,0.0420036201566513,0,0,0,0,0,0,0,0,0.114704168298575,0,0,0,0
X601166.CH.EQUITY,0,0,0.0682160957071926,0.0655782753466267,0.0657398331429562,0,0.347842048160281,0,0,0,0,0.121504539046624,0,0.262716014746383,0.0165315800169508,0.0350196061223197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05324246344925,0,0,0.0500254026175007,0,0,0,0,0,0,0.0161113456124322,0,0,0,0,0,0,0.0377073376424483
X601169.CH.EQUITY,0,-0.0406712681615326,0,0,0,0.0320150282138085,0,0,0,0,0,0,0,0.74584737555732,0.0974979715556765,0,0,0,0,0,0,0.00949449473893214,0.0377373427774704,0,0,-0.0177514235783022,0,0,0,0,0,0,0,0,0,0,0.0589688395123004,0,0,0.0579408779825261,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.854144286358726,0,0,0,0,0,0,-6.93889390390723e-18,0.429006592883198,0,0,0,0,0,0,0,0,0,0.191251078675021,0,0,0,0,0,0,0,0,0,-0.171608416083223,0,0.0363327269259591,0,-0.158895256428785,-0.189638021412156,0,0,0,-0.12076950131943,0,0.12525115721133,0.0179550900099357
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0115961592434364,0,0,0.887934287987339,0,0,0,0,0.0548727141494615,0,0,0,-0.0562600042798406,0,0,0.0232544851157601,0,0,0,0,0.00886398510131782,0,0,0.134017344790189,0,0,-0.0875601379411085,0,0,0,0.0538926863259553,-0.108720296647099,0,-0.0428465662774882,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.084940015120539,0.390492515601108,0,0,0.00560028004929731,0.0785410812843667,0.140482865461912,0,0.108414772923073,0,0,0,0,0,0,0,0,0,0,0.0254320328318449,0,0.0534743842267052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
