,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.204344683301793,0,0.0590248042204012,0,0.56884774704993,0,0,0,0,0.0860596582837688,0,-6.93889390390723e-18,0,0,0,0,0.0825816445446965,0,0,0,0,0,0,0,0,0,0,0,0,0.0259497185796556,0,0,0,0,0,0,0,0,0,0,0,0.00346373453755049,0,0,0,-0.226658988126869,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.187551480248455,0,0.595025400932867,0,0,0,0,0,0,0,-0.00716527141803816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134369580903767,0,0,-0.154167479094345,0,-0.0206886197042381,0,0.0334067625528202,0,0,0,0,0,0,0,-0.0748801205622885,0,0
X600000.CH.EQUITY,0,0,0,0.0342064576317926,0,0,0.0214431972284164,0,0,0,0.383177037448188,0,0.0412291168447549,0,0,0,0.00918264509661918,0,0,0,0,0.0439907669205967,0,0,0,0,0,0,0,0,0,0.190545456537954,0,0,0,0,0,0,0,0,0,0.00755674718035479,0,0,0.0101190883243895,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.230909805563606,0.0555316354855982,0,0,0,0.147045530217379,0.173571952571967,0,0,0.0439042310477742,0.0741667292358238,0,0,0.0563058240387928,0,0,0,0,0,0,0.094320340505744,0,0,0,0,0,0,0,0,0,0,0.0264240217193142,0.053250426181674,0,0,0.0212956220489677,0,0,0,0,0,0,0,0,0.0184087342636895,0,0,0,0.0893563528700164,0
X600016.CH.EQUITY,0,0.141096400057349,0,0,0,0,0,0,0,0,0.251268880279238,0,0,0.174426739192669,0,0,0,0,0,0,-0.502170428864624,0,0,-0.211225006744493,0,0,0,0,0,0.651327146485429,0,0,0,0,0,0,0,0,0,0,0.333951990718656,0.0361534225659975,0.137137335599819,0,0,0.0710316852574312,0.0589357665925085,0,0,0,0
X600036.CH.EQUITY,0.25574632238532,0.291965583036343,0,0,0,0,0,0,0,0,0,0,0,0,0.0829201265247802,0,0,0,0,0,0,0,0.0838278726447707,0,0,0,0,0,0,0,0,0.144572926157807,0,0,0,0.0962384545713173,0.0664720673054476,0,0,0,0,0,0.00585909632604563,0,0,0,0,0,0.0503713038500314,0.0537661558419608,0
X601166.CH.EQUITY,0.0476773002209418,0,0,0.0946750943479813,0,0,0,0,0.329692141948678,0,0,0,0.0539205188954586,0.00863188058916773,0,0,0.0293088117108699,0,0,0,0,0.0899036036388915,0,0.0201268787336661,0,0.0764258083694646,0.0460251805925731,0,0,0,0,0,0,0,0.118669422194042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.107361355104677,0,0,0,0,0.256273646185924,0,0.124231579480922,0,0,0,0,0.228214553117731,0.107328877492921,0,0,0,0.00603079101152257,0.110447613299069,0.0130940227415108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399881734787041,0,0,0,0,0,0,0,-0.0343633032329412,0,0,0,-0.0177373122253543,0
X601229.CH.EQUITY,0,0.0343989790420674,0,0,0,0,0.308021782365416,0.418599664699036,0,0,0,0,0.194367208888099,-0.0425154236015831,0,0,0,0,0,0.260249316857631,0,0,0,0,0,0,0.0808870075967197,0,0,0,-0.064520942399929,0,0.171735479974644,0,-0.153635142969072,0,0,0,-0.355211483731679,0,0,0,0,0,-0.0278064568618457,0,0,0,0,0,0.2209799825981
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.177945963319204,0.357362745315692,0,0,0.0696154131746211,0.0933016530736365,0,0,0,0,0,0,0,0.096609752659298,0,0,0,0,-0.0510827624136436,0,0,0,0,0,0.0675322046407497,0,0,0,0,0,0.123756011890404,0,0,0,0,0,0,0,0,0,0.106827316197295
