,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.296546312660487,0,0,0.123849574125007,0,0,0,0.222602081067343,0,0,0,0,0,0.135184059366459,0,0,-0.0316194757756104,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165929889470931,0,0.0568860878568275,0,0,0,0.118261730894412,0,0,-0.157594039436394,0,0,0,0,0,0,0,-0.0585527588013177,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.269366217658958,0.197490481120008,0,0,0,-0.0197172072929016,0,0,0,0,-0.229128006426757,0,0,0,0.0503832781541034,0,-0.0221313802822733,0,-0.0274158661566028,0,0,0,0,0,0,0,0,0.194827924272823,0,0,0,0,0,0,0.140320181952804,0,0,0,0,0,0,0.170855807712948,0,-0.183127308678036
X600000.CH.EQUITY,0.212495992481107,0,0,0,0.284191175370114,0,0,0,0,0.0179270869206092,0,0,0,0,0,0.185421608234307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556721335268201,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0586288918398313
X600015.CH.EQUITY,0,0,0,0,0,0,0.0689929623642162,0,0,0,0.00178878020501293,0,0,0,0,0.157535550757554,0,0,-0.0231750240259114,0,0.230077618028684,0.0657992722807204,0,0.125690010205154,0.0893845452803724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10751866218822,0,0,0,0
X600016.CH.EQUITY,0,0,0.0556909269690066,0,0,0,0,0,0,0.0730251039776875,0.47478825385137,0,0,0.107885762558846,0.0203870101786489,0,0,0,0.227041291526146,0,0,0,0,0,0,0,0,0.0851318721088325,0,0,0,0,0,-0.00118251451029868,0,0.000571022352768828,0,0,0.0326251062696508,0,0,0,0,0,0,0,-0.0989761430351577,0,0,1.35525271560688e-20,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.14395162828337,0.0607207326713977,-1.73472347597681e-18,0.344538288221827,0.263840402388742,0.00756825678648854,0,0,0,0,0,0.0436436061603341,0,0,0,0,0,0,0,0.0534038709744779,0,0,0,-0.00712247178224958,0,0,0,0,0.024196534023537,0,0,0,0,0,0,0,0.107246532147015,0,0,0,0,0,0,0.0354004107633168,-0.0791846201313287
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.143099870763233,0,0.514479050533581,0,0.313932997536016,0,0,0,0,0,0.118065592463966,0,0,0.110447566367368,0,0.0652196317335806,0,0,0,0,0,0,0,0,0,0,0,0,-0.055124135694986,0,-0.0201084388383022,0,0
X600926.CH.EQUITY,0,0.186004189063979,0,-0.0889779438200975,0,0,0,0,0,0.504193822358844,0,0,0,0,-0.066483289878255,0.166427476714149,0,0,0,0,0,0,0.050907181169193,0,0,-0.151463128180971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00754099420296501,0,0,0
X601009.CH.EQUITY,0,0.0574314979655104,0,0.219333786074306,0,0.112515056565694,0.112686090596306,0,0,0.0581350777263067,0,0.0356526289318698,0,0,0,0,0,0,0,0,0,0.0272680715699903,0,0,0,0,0,0,0,0,0,0.0120413663522612,0,0,0,0,0.0397345093283401,0,-0.0240663077481313,0,0,0,0.194075513423916,0.0333748526326304,0,0,0,0,0,0,-0.117468071223474
X601166.CH.EQUITY,0.482177463435563,0,0,0,0.012451231649118,0.0856407353464243,0,0.301615054668451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460697774448888,0,0,0.0549627556322972,-0.146304064081101,0.177745533974786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465639417302248,0,0.0649497828814386,0.0180783678663078,0,-0.0906664477204854
