,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.120761798709143,0,0,0,0.153220543600955,0,0,0,0,0.0142763976851959,0,0,0,0,0,0,0,0,0,0,0,0.0171586990496726,0,-0.0324074124898174,0,0,0,0,0,0,0,-0.131225648538243,-1.73472347597681e-18,0,0,0.293705058422986,0,0,0.415615639748344,0,0,0.0771342893262176,0,0.031658791110435,0,0,0,0,0,0.0756191927815217
X002142.CH.EQUITY,0,0,0,0,0,0.42054090171814,0,0.152498931137081,0.0980390597604474,0,0,0,0,0,0,0,0,0,0,0,0.00200896326793363,0.120841287734599,0,0,0,-0.13105150734549,0,0,-0.0160737932707489,0,0.0881057402871603,0.151517421297739,0,0,0,0,-0.0434648262303109,0,-0.053471781127481,0,0,0.138841316179699,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.0182697167723197,0,0,0.0992268370266041,0,0,0,0,0,0,0.721721266685788,0,0,0,0,0,0.000575219988408382,0,-0.0324996729555458,0,0,0.0642087925504064,0.0703083643166663,0,0,0.0894265239846069,0.0350940965579621,0,0.0150713320690403,0,0,0,0,0.0714468537307926,0,0,0,0.096559735436997,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.112775145032993,0,0,0.13691002679409,0,0,0,0,0,0.02215120811598,0.214300218337563,-0.0458665672148929,0,0,0,0.0505447092855883,0.133907272855493,0,0,0.0450248846719997,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.077554160090274,-0.133325032744014,-0.319239450197318,0,0,0,0,0,0.929157960098932,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.0163447160324548,0,0.116342356859291,0,0,0,0,0,0,0.120868915407104,0,0.159008606153214,0,0,0,0,0,0,0,0.153287410317226,0,0,0,0,0,0,0,0,0.36722818132188,0,0,-3.46944695195361e-18,-0.257543848702582,0,0,0.140052111407825,0,0,0,-0.0877055141341967,0,0,0,0,0
X600036.CH.EQUITY,0.177294608530956,0.191930832768074,0,0,0,0,0,0,0.233291584842355,0,0,0,0,0.0665140990815932,0,0,0,0,0,0,-0.0839965624413069,0,0.051065411127194,0,0,0.27091873097282,0,0,-0.0185993457469023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40219651506566,0,0,0,-0.0127075706356591,0,-0.00138216163608425,0
X600919.CH.EQUITY,0.2122445924858,0,0,0,0,0,0,0,0,0.082272816353558,0.0196317634052584,0.0554521255371139,0,0,0,0,0,0.293030675305271,0,0,0,0,0,0,0,0,0.0258888867901162,0.197499300042457,0,0,0,0.000807969981582182,0.216682751809725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187509924783648,0.0255443428807819,0,0
X600926.CH.EQUITY,0,0.097428665907066,0,0,0,0,0,0,-0.262478901383122,0,0,0,0,0,0,0.115204594010693,0,0.590679867082361,0,0,0,0,0,0.0887678705820275,0,-0.0455526114423934,0,-0.109985525801624,-0.0923554712068778,-0.177723562492497,0,0,0,0,0,0,0,0,0,0,0.0665674037543764,0,0,0.0340171971688846,0.216462998113334,0,0,-0.0959756681327796,0,0,0
X601009.CH.EQUITY,0,0.148860168958644,0,0,0,0,0,0,0,0,0,0.0459517278159651,0,0,0,0,0,0.125080086966957,0,0.0518728810319456,0.022852184205599,0,0,0,0,0,0.0404932156370676,0,0,0,0,0,0,0.0432127790501896,0,0,0,0,0.00418730838102185,0.168638643730771,0.218900007236417,0,0,0,0,0,0,0.0113966080149464,-0.0407857149549633,0,0
X601166.CH.EQUITY,0.0308264072995311,0,0,0,0,0,0.15021651822998,0,0.0019602423207574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364935921120518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677818646957232,0,0,0.157540107929865,0.0696310887857479,0,0.109861364416632,0,0,0,0,0
X601169.CH.EQUITY,0,-0.036185986278718,0,0.0457300174039986,0.0223718869061033,0,0.174590878471416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293191748657311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259081757318752,0.31537669854074,0,0,0.1482780622764,-0.302502537156616,0,0,0,0,-0.00670007717283721
X601229.CH.EQUITY,0.119662208858608,0,0,0,0,0,0,0,0,0,0,0,0,-0.156242147997255,0.727868514046302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122964618685968,0,0,0.296296386249835,0.0449901738266545,0,0.22602123619211,0,0,0,0,0,0,0,0,0,0.00972146389702397,0.268451376772376,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0306049273292932,0,0,0,0,0,0,0,0,0.163153168539183,0,0,0,0,8.67361737988404e-19,0,0,0,0.166934694133474,0.0617062171726165,0,0.0673626352015348,0,0,0,0,0,0,0.0830279247685848,0,0,0,0,0,0,0,0.101050643784613,0,0,0,0,0,0,0.0459617182415687,0
X601328.CH.EQUITY,0,0,0,0,0.181128910886806,0,0,0,0,0.10819705879556,0,0,0,0,0,0.113908991083496,0,0.0409658037495146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,-0.371596112149723,0,0,0,0,0,0,0.0940127394077488,0,0,0,0.862723888382396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243195373183405,-0.0910316313731401,-0.0878505844407027,0.0776457283172835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759518603750834,0,0,0,0,0,-0.125023447136579,-0.274390894711934
X601577.CH.EQUITY,0,0,0,0,0.0788872425709289,0,0,0.399770718454188,0.0620871209856257,0,0,0,0,0.0145981009216426,0.22115603470437,0,0,0.122309670932778,0,0,0,0,0,0,0,0,0,-0.111187476282566,0,0,0,0.0586872288819156,0.188448756097367,0,-0.0995999151486556,0,0,0,0,0,0,0,0,0,0.0757574344597605,0,0,0,0,0.0648304382749837,0
X601818.CH.EQUITY,0.183094569857744,0,1.07666514606067,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.00394476108068467,-0.176994780914145,0,0,0,0,0,0,0,0,0,0,0,0,0.0284536511140317,0,0,0,-0.0433894967457097,0,0,0,1.73472347597681e-18,0,0.0179517141629878,0,0,0,0,-0.120288692906346,0,0,0,-0.0564849311969558,0,0,0
X601838.CH.EQUITY,0,0,0,0,0,0,0.326962261917919,0.0878946849508937,0.0150744075873185,0,0,0,0,0,0.191749808394444,0.118223742887562,0,0,0.146828459056467,0,0,0.0907582441816729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133026809679444,0,0,0,0.2351840853899,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.0322315734855385,0.0139622757020829,0,0,0,0,0,0,0,0,0,0,0,0,0.00704239305136187,0.15029188541377,0,0,0,-0.0682074405040188,0,0,0,0,0.115820577835332,0,0,0.0166025604914942,0,0,0,0,0,0,0,0,0,0,0,-0.22989673610799,-5.42101086242752e-20,0.221922052654124,0.0297414243350667,0,-0.0350395810088638,-0.147255919252253,0,0,-0.0568248073892869
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.00994478399728215,0,0,0.277765803876738,0.0162244770562746,0.136135591205396,0,0,0,0,0,-0.065396430755177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116162657273939
