,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0244980006673745,0,0,0,0.0337175825200992,-6.93889390390723e-18,0,0,0,0,0,0,-3.46944695195361e-18,0.148054190796815,0,0,0,0.121714606963339,0.0873301203801676,0,0,0,0,0,0,0,0,0,0,0,0.0179999099099081,0,0,0,0,0,0,0,0,0,0,0.107321820391949,0.109322528274595,0.0384753427535335,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.168836735971001,0,0.124708364099882,0,0,0,0,0,0,0,0,0,0.1525625145769,0,0,0,0,0.303835907152656,0.00520966890833753,0,0,0,0,0,0,0,0,0,-0.107500474365084,0,0,0,0,0,0,0,0,0,0,0.146474287477903,0,-0.0569574467069999,0,0,-0.0893215437993132,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0429733650817661,0,0.0186735257787209,0,0,0,0,0,0,0.155076555671803,0,0,0,0.496042165573232,0,0,0,0,0,0,0,0,0,0.16901003490997,0.112849596718402,0,0,0,0,0,0.0400813942765914,0.0178583733741411,0,0,-0.017659824500995,0,0,0,0,0
X600015.CH.EQUITY,0,0.0872919354741642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183037430866312,0.302364083464823,0,0,0.153889838582463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316405579612077,0.159852898064986,0,0,0,0,0,0.0476996744487175,0,0,0,0,0,0,0,0.0702464442533814,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228495023991238,0,0,0,0,0.604238130106325,0,0,-0.0939979381192915,0,-0.00807646913841401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174314632245766,0,0,0,0,0,-0.0246759208980448,0.166360652132776,0
X600036.CH.EQUITY,0.424590914985565,0.10580891134731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264405247584242,0.0250851075851714,0,0,0,0.0129857546458471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659269553949778,0,0,0,0,0,0,-0.118436299442168,0,0,0,0.198603307034323
X600919.CH.EQUITY,0,0.0144325797418469,0,0,0,0.035023499303682,0,0,0.11278791114148,0,0.165374140102502,0,0,0,0,0,0,0.0807385113808423,0.0239439692894651,0,0,0,0.476661736599182,0,0,-0.00325626515276447,0,0,0,0,0,0,0,0,0.0245707469660116,0,0.0577287050951618,0,0,0,0,0,0,0,0,0,0,0,0.0261344806574365,0,0
X600926.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0.314903051862772,0,0,0,0,0,0,0,0,0.0712397534188474,0,0,0.00643368980759769,0,0.0449888315091331,0,0,0.145038325664768,0,0,0,-0.0409507973613773,0,0,0,0,0.250154176169415,0,0,0.109930648445681,0,0.130952914564211,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.0450232247796715,0,0,0,0,0.217983476928348,0.0775378196493,0,0.483546300631291,0,0,0,0,0.0390213073641374,0,0,0,0,0,0,0,0,0,0,0,0,-0.101594532984758,-0.0590352361745319,0,0.214370949438917,-0.0113705915724478,0,0,0,0,0,0,0,0,0,0,0,0,-0.102034200930969,0,0,0,0,0.0640881463730855,-0.0640805594590033
X601166.CH.EQUITY,0.32353403606677,0,0,0,0,0,0,0,0.248286886653863,0,-3.46944695195361e-18,0,0,0,0,0,0.0908469609003231,0.176501226070992,0,0,0,0,0,0,0,0,0,0,0,0,-0.288758840360761,0,0,0,0,0,0,0,0.0375946857575852,0,0,0,0,0,0,0,0,0,0,0.150265216990594,0
