,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.128351247904419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115409845699183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28411558382941,0,0,0,0,0,0,0.0747390813467832,0.10090011348445,0,0.184995733949828,0,0,0,0,0.110586799445199,0.0627139667796682,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.346204311502757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092925021302477,0.15968034119982,0,0.124324163040904,0,0,0,0,0,0.116574470454944,0,0,0,0,0,0,0,0,0,0,0,0,0.0530204392323009
X600000.CH.EQUITY,0,0,0,0,0,0,0.289448308765704,0,0.0245380069561721,0.122189398891497,0,0.143535583086047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497781214627167,0,0,0,0,0.00161910422555939,0,0,0,0,0,0,0,0,0,0.152979449752056,0,0,0,0,0
X600015.CH.EQUITY,6.93889390390723e-18,0.102937498316076,0,0,0,0,0.408110842589331,0.137180817271366,0,0,0,0,0,0.153956818291883,0,0,0,0,0,-0.0712430208051424,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0627350816957234,0,0,0,0,0,0.308242268598427,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.202615197103586,0,0,0,0.0393859613602825,0.0268274716326245,0.0765074312243146,0.0248709721141184,0.233049658550586,0.0226069364414748,0,0.100558039918088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779006503794636,0,0,0,0.269683282019525,0,0,0,0,0,-0.0511802818046997,0
X600036.CH.EQUITY,0,0.278329015278006,0,0,0.00990796465328982,0,0.192291123719873,0,0,0,0,0,0,0.0582499149067843,0,0,0,0,0,0,0.100100861107889,0,0,0,0.0482371200469288,0,0,0,0,0,0,0,0.0691520892358291,0.28197473935268,0,0,0.0176349864360471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0543370173699335,0,0,0.103453908354829,-3.46944695195361e-18,0.423339429844382,0,0,0.0214433618370376,0,0.05485879094047,0,0.233876331264251,0,0,0,0,0,0,0,0.0566283713138774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333062127729202,0,0,0,0.00517105080205921,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.104242497781987,0,0.462113649318569,0.0394303102214352,0,0,0,0,0,0,0,0,0.0795332105775171,0,0,0.14073767819123,0,0,0,0.0439688836382402,0,0,0,0.221055457266465,0,0,0.0530091461746148,0,0,-0.0107723641202742,0,0,0,0,0,0,-0.00950579476288977,0,0,0,0,0,0,0,0,0,0,0,-0.0383029438753939,0,-0.091798137137262
X601229.CH.EQUITY,0,0.0471618319600276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303488808607941,0,0,0.21381870415891,0,0,0,0,0,0,0,0.206452918091929,0,0,0,0,0.00247143576260975,0,0,0.109523581785088,0,0,0,-0.0314653825228733
X601288.CH.EQUITY,0,0,0.189289218102238,0,0.0473841327584467,0,0,0,0.000562976449093377,0,0,0.295757814816401,0,0.094804881229951,0.175318767707424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123166852216193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
