,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0.11557808984825,0.0244933317120127,0,0,0.0194809102910364,0.395247981522735,0,0,0,0,0,0,0,0,0,0,0,0,0.0114652669563951,0,0,0,0,0,0,0,0,0,0.0699579227321659,0,0,0,0,0,0,0,0.0761095228013889,0,0.00514582017368918,0.0555416905039639,0,0,0,0,0.0533813877457029,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.235135872596934,0,0,0,0.31776681590569,0,0,0.0243578508218886,0,0,0,0,0.183678964859392,0,0,0,0.0231220686208853,0,0,0,0,0,0,0,0,0,0,-0.09991088544094,0,0,0,0,0,0,0,0,0,0.238123535354428,0,0.0128756562617834,0.014633846680496,0,0,0.0793659411058089,-0.015903786506514,0.0172579502568995,0
X600000.CH.EQUITY,0,0,0,0,0,0.058612948892766,0.0140782946932712,0,0,0,0,0.380416513184115,0,0.0957905926838153,0.314583534452421,0,0.0365228525798213,0,0.0245199893415961,0,0,0,0,0,0,0,0,0,0,0,0.00865460631280155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843110186680031
X600015.CH.EQUITY,0,0,0,0,0.0439373522085974,0,0,0,0,0,0.125010208760997,0.275691795237174,0,0,0,0,0,0,0.0435381160340027,0,0.105606820452539,0,0,0,0.454379565870225,0,0.0398774254154901,0,0.00782671609139556,0.0672558751181939,0,0,0,0,0,0,0,0,0,0,0,0.047365828456734,0,0,0,0,0,0,0,-0.139423511457038,-0.053604964779304,0
X600016.CH.EQUITY,0.0215279783640092,0,0,0.239744708136384,0,0,0,0,0,0,0,0,0,0,0,0.388922232814505,0,0.0418186699877975,0,0,0,0,0,0.226798107981917,0,0,0,0,0.00530882365885564,0,0.0216821310922755,0,0.030639380181686,0,0,0,0,0,0,0,0.0528088263445555,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.468886775931399,0.103472490433308,0,0,0.0722547445029479,0,0,0,0,0,0,0,0,0,0,0,0.186030229179607,0,0,0,0,0,0,0,0,0,0.111292579873869,-0.0960604817185554,0,0,0.122104947070894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028728116385933,0.0362005602617071,0,0,0,0,0,0.0615683433236914
X600919.CH.EQUITY,0,0,0,0.150877425303669,0,0,0,0.491375931380922,0,0,0,0,0.0177196228535484,0.194717490992932,0,0,0,0,0,0.0241338179164524,0,0,0,0,0,0,0.0159345438264186,-0.164153001988794,0,0,0,-0.0201111858928516,0,0,0,0,0,0,0,0,0,-0.0775951319496316,0,0,0,0,0,0.034066314980107,0.0607066727525842,0,0,0
X600926.CH.EQUITY,0,0.144657588746692,0,0,0,0,0.426771172790978,0,0,0.00367914988014535,0,0,0.104554628584487,0.12579295704199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513457954647511,0,0,0.191728381712011,0,0,0,0,0,0,0,0,0,0,0,0.0119667039234364,-0.202283070617165,0,-1.73472347597681e-18,0,0,0.0613588167449602
X601009.CH.EQUITY,0,0,0,0,-0.145502435543941,0,0.651055719039065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856441404715377,0,-0.0599341457605285,0.135546436463004,0.154509807532778,0,0.050041393546879,0,0,0,0,0,0,0,0,0,0,0.286547640806992,0,0,0,0,-0.14521131780471,0,0,0,-0.0632074485805236,0
X601166.CH.EQUITY,0,0.311137642575969,0.182538704698954,0,0,0.0935679514955973,0,0,0.0546226639145727,0,0,0,0,0,0,0,0,0.0593595984871712,0,0,0.249951536825083,0,0,0,0,0,0,0,0,0.0375953037429107,0,0,0,0,0,0.110855085764204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
