,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.148533222786561,0,0.0890050224647748,0.136625398975449,0.00791697469395237,0,0,0,0,0,0,0,0,0.133899428172762,0,0,0,0,0,0,0,0,0.07886437461972,0,0,0,0.0357961817710431,0.0519853995909899,0,0,0.053871535530553,0.117276761735155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.243033138181698,0,0,0,0,0.211737715042156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229584477521698,-0.205281927994783,0,0,0,0,0.234972147094516,0.0827834250650293,0,0,0,0,0,0,0,0.0123391003466315,-0.0481628715755155,0,0,0,0,0,-0.00269778773487274,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.334251378607359,0,0,0,0.177154514336364,0,0,0.118304225714568,0,0,0,0,0,0,0,0,-0.221098968447751,0,0,-0.139372196356126,-0.0814570440340397,0,0,0,0,0.0827180359467986,0,-1.73472347597681e-18,0,0,0,0,0,0.294844892656401,0,0,0,0,0,0,0.0977430838756248,0.0301221716608467,0,0,-0.0376401131568382
X600015.CH.EQUITY,0,0,-0.351911405909016,0,0,0.121081687924401,0,0,0,0,0,0,0.445319070520617,0.147398914102412,0,0.495031220439226,0,0,-0.0853956607529346,0,0,0,0,0,0.0221388331223039,0.0964113027199118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353075621837884,0.105255179379587,0,0,0,0,0,0,0,0,0,0.164226716765634
X600016.CH.EQUITY,0,0,0.0710363538068448,0.288642934883315,0,0,0,0,0.219595598633342,0,0.330586514480858,0,0.0469002927288376,0,0,0,0,0,0,0,0,0,0,0,-0.00157808929763819,0,0,0,0,0,0,0.0915306553725331,0,0,0,0,0,0.0671206903406291,0,0,0,0,0,0,0,0,0,0,0,-0.0420838812233401,0.00819177229747787
X600036.CH.EQUITY,0.136775905282569,0.0762916206378757,0,0.0795379648896466,0,0,0,0,-0.12971032266108,0,0.438173964687299,0,0,0,0,0,0.00801012365594394,-0.140610365994615,0,0,0,0,0,0,0,0,0,0,0.158471505250153,0,0,0.125012081697029,0,0,0,0,0,0,0,0,0,0.219201663288944,0,0,0,0,0,0,0.0558742616661177,0,0.106464555991968
X601166.CH.EQUITY,0,0.0991330203297221,0.24035346342695,0,-5.42101086242752e-20,0,0,0,0,0.254044743604506,0.081797897710021,0.145142551620832,0,0,0,0,0,0.0473604690273715,0,0,0,0,0,0,0,0,0,0,0,-0.0223864853862958,0,0,0,0,0,0,0,0,0.0296040059475,0,0,0,0,0,0,0,0,0,0,0.0697381697921282,0
X601169.CH.EQUITY,0.0783679693502768,0,0,0,0,0.0499029853642209,0,0,0.236838374465146,0,0,0.0893607854284352,0,0,0,0.210626770201346,0,0,0,0,0,0,0,0,0,0.0882423408906941,0,0,0.0281639234570467,0,0,0,0,0,0,0.0664905183926699,0,0,0,0,0,0,0.0321670413736277,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.321122571542598,0.397323298694634,0,0.0250189054979218,0,0.028508163382653,0,0,0.13038881939012,0,0,0,0,0,0,0,0,0,0,0.112358081474632,0,0,0,0,0,0.0888619518316122,0.0837807804099522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670232216748971,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.995914730706201,0,0,0,0,0,0,0,0,0,-0.0957842594985687,0,0,0,0,0,0,0,0,0.043679720322565,0,0,0,0,0,0,0.0440464962927217,-0.38951054781797,0,0,0,0,0,0,0,0,0,0,0.171412940486931,0,-0.309877157284078,0,0,0,0
X601328.CH.EQUITY,0,0,0.439014800394227,0,0.232829583128407,0.390094626272892,0,0,0,0,0,0,0,0.0987496223325941,0,0,0,0,0,0,0,0,0,0,-0.125518976611333,0,0,0,0,0,0,0,0,0,0,0,0,-0.0937262606011093,0,0,0,0,0,-0.127477164033345,-0.0581880929168971,0,0,0.132962260501564,0,0,0
