,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0.296546312660487,0,0,0.123849574125007,0,0,0,0.222602081067343,0,0,0,0,0,0.135184059366459,0,0,-0.0316194757756104,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165929889470931,0,0.0568860878568276,0,0,0,0.118261730894412,0,0,-0.157594039436394,0,0,0,0,0,0,0,-0.0585527588013177,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.198445120621406,0,0.384176708020155,0,-1.73472347597681e-18,-0.135087821768878,0,0,0,0,0,0,-0.180585159348991,0,1.38777878078145e-17,0,0,0,-0.0369645150330104,0,0,0,0,0,0,0,0,0,0,0.22300049565749,0,0,0,0,0,0,0,0,0.121324094679988,0,0,0,0,0.21884311792666,0,0,0
X600000.CH.EQUITY,0.0531632398600252,0.0803528850913696,0,0,0.0879101860591289,0,0,0,0,0.153679119137612,0,0,0,0,0,0.199603260585153,0,0,0,0,0.0404815950130877,0,0,0,0,0,0.0760767374777717,0,0,0,0,0,0,0,0,0,0,0,0.113376919583035,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.198580034614122,-0.0178507246766017
X600015.CH.EQUITY,0,0,0,0,0,0,0.0689891543504244,0,0,0,0.00179089511656711,0,0,0,0,0.157536607683934,0,0,-0.0231765170005266,0,0.230079297325142,0.0658035490450403,0,0.125691104455112,0.0893812206683266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107519193103559,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0557171239159378,0,0,0,0,0,0,0.0730200755844584,0.474794623493506,0,0,0.107842145008528,0.0203921704632696,0,0,0,0.227056170317185,0,0,0,0,0,0,0,0,0.0851180770213041,0,0,0,0,0,-0.00116471739097142,0,0.000572782537986652,0,0,0.0325865150258628,0,0,0,0,0,0,0,-0.0989897475483863,0,0,0,0,0
X600036.CH.EQUITY,0.0561091579414145,0,0,0,0,0,0.0529114007619801,0.0840071797479878,0,0.376876982011241,0.213914589400184,0.0680764001779264,0,0,0,0,0,0.0896556047975469,0,0,0,0,0,0,0,0.0779687504776717,0.0598835225102143,0,0,0,0,0,0,0,0.0446307843719749,0,0,0,0,0,0,0,0.0975142738134474,0,0,0,0,0,0,0,0.0318313227052966,-0.0223208193586031
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.235366741284395,0,3.3881317890172e-21,0,0,0,0,0,0.473340304269463,0,0.260593523291492,0,0,0,0,0,0.186637909798777,0,0,0.0765878218727237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034194458052737,0,0,0,0,-0.0869201808188354
X600926.CH.EQUITY,0,0.186004189063979,0,-0.0889779438200975,0,0,0,0,0,0.504193822358844,0,0,0,0,-0.066483289878255,0.166427476714149,0,0,0,0,0,0,0.050907181169193,0,0,-0.151463128180971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00754099420296501,0,0,0,0
X601009.CH.EQUITY,0.0938483526894161,0.0833309051233294,0,0.1402707715447,0,0.0643636317796546,0.0468437456447196,0,0,0.0445783569752043,0,0.183750958813447,0,0,0,0,0,0,0,0,0.0192033974189233,-8.67361737988404e-19,0,0,0,0,-0.0306400569898125,0,0,0,0,0.0642638913861078,0,0,0,0,0,0,0,0,0,0,0.18219347689879,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.400375691971114,0,0,0,0.142410903746943,0.0926460930439471,-0.114939756890386,0.296000051416852,0,0,0,-0.00163780580507822,0,0,0,0,0,0.0609359410648718,0,0,0,0,0.110995655781647,0,0,0.00553836189250361,-0.116900686827135,0.0924195722843141,0,0,0,0,0,0,0,0,-0.0343836319232589,0,0,0,0,0,0,0,0,0.114983682372987,0,0,0,0,0,-0.0589851975327185
