,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.0723828214579821,0,0,0,0,0.0593821471561902,0,0,0.0971612627573838,0.150689079068125,0,0.0457926066912225,0,0,0.0563952774736181,0,0,0,0,0,0,0,0,0,0,0,0.00104338439334606,0,0,0,0,0,0,0,0,0,0,0,0.126683033851083,0.0308619685988061,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.207080427003566,0,0,0,0,0,0,0,0,0,0,0,0.164968498118052,0,0,0,0.0830802210020706,0.162354765280172,1.38777878078145e-17,0,0,0,0,0,0,0,-0.0834342025325814,0,0,0,0,0,0,0,0,0,0.0540363414615081,0,0,0.0985576215207783,0,-0.0245020042814393,0,-0.013858590037026,-0.027897087484563,0.124710405945254,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0849832410489774,0,0,0,0.21024762928584,0,0,0,-6.93889390390723e-18,0,0,0,0.0254175561474435,0,0,0,0,0.356484277887769,0,0,0,0,0,0,0,0,0,0.0357786279377209,0.0841137407693877,0,0.0566655191911726,0,0,0,0.130870370368056,0,0.0776446694397629,0,0,0,0,0,0.0125702677816738,-0.0436552704612774,-0.0625511635334976
X600015.CH.EQUITY,0,0.0673161735029573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180810390704043,0.292553024824243,0,0,0.19577838852003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119954593179428,0,0,0,0,0,0.0967499511589533,0,0,0,0,0,0,0,0.0613098272691517,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.244735238292481,0,0,-0.0340886026953592,0.0577252956227882,0.556209405932433,0,0,-0.322318313369265,0,-0.138239840800798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146696613963544,0,0,0,0,0,0,0.305654605106299,0,0
X600036.CH.EQUITY,0.409423693371545,2.16840434497101e-19,0,0,0,0,0,0.0622840147746047,0,0.0360194675613193,0,0,0,0,0,0,0,0.321441246149013,0,0,0,0,0,0,0,-0.0543225601950736,0,0,0,0,0.00655545105237153,0,0,0.059011175741379,0.0871460036718438,0,0,0,0,0,-0.0477046733675705,0,0,0,0,0,-0.128464293094049,0,0,0,0.121921734190006,0
X600919.CH.EQUITY,0,0,0,0.0246011533403538,0,0.0279605195194237,0,-0.0594398304409222,0.285232184525611,0,0.124231474881126,0,0,0,0,0,0,0.2564264290933,0,0.0696102586059234,0,0,0.243614126226985,0,0,-0.0342636766862585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193203029381619,0.0648788413882021,0,0,0.0211745981757358,-0.0191652194122457,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.0312046268667237,0,0.202136009525962,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.155015391980734,0,0,0,-0.043419107570414,0,0,0,0,0.235490647710145,0,0,0.110419566063,0,0.0845717395806992,0,0.173962872983585,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.0354101294601858,0,0,0,0,0.263699792193046,0.0871357590660914,0,0.45140647957644,0,0,0,0,0,0,0,0,0.0737183083674874,0.00855757601057207,0,0,0,0,0,0,0,-0.0856795593388682,-0.166366114821882,0,0.204137216363401,0,0,0,0,0,0,0,0,0,-0.020412986824886,0,0,0,0,0,0,0,0,0.0618348050366289,0,0.0709696979838115
X601166.CH.EQUITY,0.205467738954193,0,0,0,0,0,0,0,0.161253764291578,0,0.030810507803789,0.13469823931677,0,0,0,0,0.0472319362909696,0.128942392458636,0,0,0,0,0,0,0,0,0,0,0,0,-0.268700878876877,0,0,0,0,0,0,0,0.0448131952458965,0,0,0,0,0,0,0,0,0,0,0.15123080705045,0,-0.00996853483107476
