,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.145611545215405,0,0,0,0.200955211827992,0.21082048055031,0,0,0,0,0,0,0,0,0,0.0950635690111131,-0.14026065721844,0,0,0,0,0,0,0,0,0,0.0891831672355578,0,0,0,0.108840082050677,0,0,0,0,0,0,0,0,0,0,0,0.135216928294061,0,0,0.078315579236904,0,0,0,0,0
X002142.CH.EQUITY,0.372743865646006,0,0,0,0,0,0,0,0.365547048667935,0,0,0,0,0,0,0,0.0438672361671934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448698421438389,0,0,0,0,0,0,0,-0.00202563218869604,0,0.110104121138979,0,0,0,0,0,0,0.00473627380284638,0,0,-0.043203303615443,0
X600000.CH.EQUITY,0.0833194650815768,0,0,0,0.030201857531576,0,0,0,0.0558478268415996,0,0,0.210483154148519,0,0.0879183903835067,0.0925048852585958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222561159495439,0,0.0969508514240564,0.0272947811193032,0.010387558614336,0,0,0,0,0,0,0,0,0.0469616279834642,0.0642411423093363,0,0,0,0,0
X600015.CH.EQUITY,0,0.0363615545162119,0,0,0.0161527931879059,0,0.209700997070054,0.262179176537288,0,0,-6.93889390390723e-18,0,0,0.108242341795833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220661578257373,0,0,0,0,0,0,0.139079391690011
X600016.CH.EQUITY,0,0,0.140003447954666,0.0108704174239899,0,0,0.0625367681726627,0.059198132222907,0.127206177034947,0.0958191120594164,0.168938086171751,0,0.15381270325387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14098249616413,0,0,0,0,0,0.103867050068132
X600036.CH.EQUITY,0.0920471572914921,0.0906640809771807,0,0,3.46944695195361e-18,0,0.278306881739022,0,0,0,0,0,0.186830516613042,0,0,0,0,0.0101091002918832,0,0,0.0157206530069896,0,0,0,0,0,0,0,0,0,0,0,0,0.172107556949031,0,0,0,0.105900461068455,0,0,0,0.0433598833036156,0,0,0,0,0,0,0,0.0161002123754638,0,0
X601166.CH.EQUITY,0.0404116795760331,0,0.000614694193059554,0.107363185146993,0,0.430028467664264,0,0.036141087851249,0,0.00208334016150995,0.043192596897895,0,0.214672772987746,0,0,0,0,0,0,0,0.0432422588542181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392952151551634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.116901063715195,0,0.468121124434167,0.0384935811148777,8.67361737988404e-19,0,0,0,0,0,0,0,0.0158732010314975,0,0.0601756915411541,0.0390337158700865,0,0,0,0,0,0,0,0,0.0865956354666296,0,0,0,0.168244747798086,0,0,0,0,0,0,0,0,-0.0160521051099742,0,0.120295981128057,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150385507929222,0,0,0,0.0731578437529193,0,0,1.38777878078145e-17,0,0,0,0.328817196776686,0,0,0.127487573737385,0,-3.46944695195361e-18,0,0,0,0,0,0.190693411793255,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.14579383860072,0,0.0914220262843505,0,0,0,0,0,0,0.37223318109953,0,0,0.215058883351034,0,0,0,0,0,0,0,0.00473456347312514,0,0,0,0,0,0,0.0830280370428289,0,0,0.0312733851416996,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.521878937088065,0,0.0719038878412721,0.219557992806725,0,0,0,-0.11006187961698,0,0,-0.0457528500568105,0.107526963024409,0,0,0,0,0,0,0,0.173962125891068,0,0.019334178345731,0,0,0,0,0,0,0,0,0.0377440000030658,0,0,0,0.0711740438853745,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,-0.0124329142922037,0,0,0,0,0,0,0,0.12135588075198,0,0,0.490818916156555,0,0,-0.0739504057874763,-0.0770746396841697,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.14773634405202,0,0,0,0.136980186428816,0,0.0208465755031557,0,0,0,0,0,0,0,0,0,0,0,0.0906791227143563,0,0.0221412574653865
X601818.CH.EQUITY,0,0,0,0,0,0,0.264510056422692,0,0,0.084906873359407,0.0403713780712522,0,0,0.217729091072456,0,0.0196774443233963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242981068938572,0,0,0,0,-0.0129586046766484,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.3978111108507,0,0,0,0,0,0,0.073944931883274,0,0.600689508921284,0,0,0,0,0.035876959313793,0,0,0,0,0,0,0,0,0,0,-0.0433274549877808,0,0,0,0,0,0,-0.146233296547245,0,-0.0870829927354694,0,0,-0.00820563175723758,0,0,0,0,0,0,0,0,0,0,0,0.0149615110612336
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.510856192701236,0,0,0,-1.38777878078145e-17,0,0,0.231397549716707,0,0,0,0,0,0,0,0.28393603065773,0,6.93889390390723e-18,0,0,0,0,0,0.0459984529502969,0,0,0,0,0,0,0,-0.571937756857103,0.114916632591753,0.0224444151985077,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0538104022280273,0.119258576889093,0,0,0,0,0.413874020373731,0.0459967410714824,0,0.115733090421462,0,0.199516996554357,0.0794087840144759,0.113959616121437,0,0,0,0,3.46944695195361e-18,0,0,0,-0.0458288383153756,0,0,0,0,0,0,0,0,0,0,0,0.0239563962798321,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298302165293351,0,0
X601658.CH.Equity,0,0,0,0.336639094313975,0,0,0,0,0,0.177042228888311,0,0,0,0,0.0576404896384274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601718760168881,0,0,0,0.111046539646779,0,0,0,0.282025957436556,0,0,0,0,0
X11.HK.EQUITY,0.0555104142313731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158711246996946,0,0.250684298189006,0.543692459034786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101092401424535,0,0.0712200030246276,0,0,0,-0.225109808614468,0,0,0,0,0,0,0,0,0,0,-0.219261994680843
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0445858730266028,0,0,0,0.0254910508408945,0,0,0.39926033683638,0,0,1.38777878078145e-17,0.0444709944030213,0,0,0,0,0,0,0,0,0.298120577625006,0,0,0,0,0,0.0778440871146831,0,0,0,0,0,0,0.0468710753623608,0.196164688517463,0,0,0,0,0.0281936474633784,0.0280747385402779,0
X5.HK.EQUITY,-0.311578202465883,0,0.0627772374189981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561601699467746,-0.394104548331799,0,0,0,0,0,0,0,-0.256547981440651,0,0,0,0.220746090339117,0,0,0,0,0,0,0,0.381366222921218,-0.136667855360212,0,0,0,0,0,0,0,0.695303060382007,0,0,-0.0640878106799714,0
X2886.TT.EQUITY,0,0.246251185066812,0,0.19340959162362,0,0,0,0,0,-0.0801788767676646,0,0,0,0,-0.140274134035,0,0.108881814648868,0,0,0,0,0,0,-1.0842021724855e-19,-0.139361996166698,0,-0.00107881823671317,0,-0.0260720022531203,0,0,0,0,0,0,0.214627694721372,0,0.55668963915839,0,0,0,0,0,0,0,0,0,-0.0383285578012401,0,0,0,0
X000166.CH.EQUITY,0,0,-0.0145726979681957,0,0,0,0,0,0,0,0,0,0,-0.0250159151237985,0,0,0,0,0.139337708966478,0,0.0639406123452588,0,0.125184984343823,0,0.444823690747964,0,0.0945724543340926,0,0,0.117269222301028,0,0,0,0,0,0,0,0,0,0,0.0280504492217668,-0.130805637640236,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0.0622421810334791,0,0.00442076163709341,0,0,0,0,0.0409917537360224,0,0,0,0,0,0.201500411206706,0,0,0.11838017401956,0.369606074637138,0,0.0219041565022984,0,0.114710071952093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115527668958705,0,0,0,0
X300059.CH.EQUITY,0,0,0,-0.121271232815686,-0.111454440104283,0,0,0,0,0,0,0,0,0,0,0,-0.0531425525196133,0,0,0,0,0,0,0,0.884487939624765,-0.108143455990445,0,0,-0.161716291777438,0,0,0,0,0.10120443330215,0,0,0,0,0,-0.202119080546837,0,0,0,0,0,0,0.263105949347987,-0.033916387345365,0,-0.084306223740072,0.0821424451210549,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0295473416992306,0,0,0,-0.00232072717959078,0,0,0,0,0.280193653670696,0.134558216421396,0.0814053428644692,0,0,0.116908105410556,0.210496177230131,0.163340883769579,0,0,0,0,0,0,-0.0190456295549677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0673691079154388,0,0,0,0,0,0,0,0.0890993503532093,0,0,0,0,0.0325490332461537,0.438581646714767,0,0,0,0,0.00201536671258501,0,0.422105808597678,0,0,0.113511706967339,1.38777878078145e-17,0,0,0,0,0,0,0.0516685327332838,0,-0.14922906932712,0,0,0,0,0,0,0,0,-0.00258414917255991
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174728810189939,0.120982631725143,0,0,0,0,0,0,0.0664450083459725,0.29582571484047,0,0,0.125816337783181,0,0,0.204279875985984,0.14828882048571,0,0,0,0,0,0,0,0,0,0,-0.0145765605039456,0,0,0.116499827402512,0.0425438979942112,0,0,0,0,0.0146163948513978,0,0
X601066.CH.EQUITY,0,-0.153651724867416,0,0,0,0,0,0,0,-0.130001537659486,0,0,0,0,0,0.0880387301524335,0,0,0,0.0899673232426606,0,0,0,0,0.71618740349142,0,0,0,0,-2.77555756156289e-17,0,0,0.00157795576096807,0,0,0,0,0,0.223354405712982,0,-0.00450068958820611,0,0,0,0,0,0,0,0,0,0,0.0884653335381548
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0074938717502146,0,0,0.183871246070366,0,0,0,0,0,0,0,0,0,0,0,0.546569630964577,0,-6.93889390390723e-18,0,0.0468897182881788,0,0,0.176029562769318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464214833009607,0,0,0,-0.0185714192425279
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0.0859711223393674,0,0,0,0,0,0,0,0,0,0,0,-0.00413505186535652,0,0.367085928580563,0.0519327010011638,0.0839230855811721,0.120167627881719,0.167323347295691,0,0,0,0,0,0,-1.38777878078145e-17,0.0500491884391205,0,0,0,0,0,0,0,0,0,0.0431748688622932,0,0,0,0,0.0354270335454685,0,0.0912298854692072
X388.HK.EQUITY,0,0,0.00407984039706947,0,0.0377497117691899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518399163734138,0,0,0,0,0,0,0,0.0432079134101285,0,0,0,0,0.383320876515917,0,0,0,0,0,0,0,0,0,0,0,0.0728501728702958,0,0.0846890802573168,0,0,0,0,0,0
