,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.453096907772818,0,0,0.00927112706488916,0.195374751457465,0,0,0.0722754647118371,0,0.0302416604047896,0,-0.0299540228078715,0,0,0,0,0,0,0,0.129628093722986,0,-0.0976094183097106,0,0,0.0178314953380067,0,0,0,0.0436037099105765,0,0,0,0.021180627538065,0,0,0,0,0,0,0,0,0.12511455196424,0.066900598616452,0,0,0,0,0,0.105494989718834,0,0
X002142.CH.EQUITY,0.0647538611819828,0,0,0,0,0.690674189922582,0,0.233029174212048,0,0.0373672457893814,0,0,-0.110755928045268,0,0,0,0,0,0,0,0,0,0.0585052906256888,0,0,-0.112693642517223,-0.0349070547309347,0,0,0,0,0,0,0.00336363141175294,0,0,0,0,0,0,0,0,0,-0.0335526169774911,-0.202578514604178,0.14996580437954,0,0,0,0.118988145591854,0,0.0870181817611724
X600000.CH.EQUITY,0,-0.0963605313500629,0,0,0.150154859320028,0,0,0,0.187327735354669,0,0,0.194374258780005,0,0,0,0,0.150875684599006,0,0.0428051967507301,0,0,0.409528991047995,0,0,0,0,0,0,0,0,0,0,-0.0861179055410203,0,0,0,0.140966830007899,0,0,0,0,0,0.116431789090952,0,0,0,0,0,0,0,-0.081005563803161,0.172649055977308
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0.168378671591995,0,0,0,0,0,0,0,0.383602714112258,0.123154970922818,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0804697877386434,0,0,0,0,0,0,0.209411681736471,0,0,0,0,0,0,0,0,0,0,0.0879028869577714,0,0
X600016.CH.EQUITY,0,0,0.0768710280877607,0,0,0,0,0,0,0,0,0,0,0,-0.0569911290475048,0.174648707602419,0.179316605183156,0,0,0,0,0,0,0,0,0.130242530869414,0,0.187245833873702,0,0,0,0,0,0,0.252215951402255,0,0,0.0865064208585043,-0.0961595473656987,0,0,0,0,0,0,-0.367424403571782,0,0,0,0,0.226652641535814,0
X600036.CH.EQUITY,0.179047658759897,0.204972060276138,0,0,0,0,0,0.110784187738049,0,0.159421372700725,0,0,0,0.104228608825434,0,0,0.0708689306261921,0,0,0,0,0,0.215365777364214,0,0.0342494700655452,0,0,0,0,0,0,0,0,0,0,0,0,0.163901404430504,0,0.0388526228582403,0,0.172118088525198,0,0,0,0,0,0,0,-0.0147203233226068,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.147514841137884,0.140401473304364,0,0.00767214450757549,0,0,0,0,-0.0171834874172559,0.17319218590577,0,0,0,0.03569511401101,0,0.271902561375169,0,0,0.207147507741562,0,0,0,0,0,0,-0.186602796754337,0,0,0,-0.00600463824097585,0,0.162715515022893,0,0,0,0,0,0,-0.0555767988703437,0,0,0,0.0447424778063572,-0.0359907134171272
X600926.CH.EQUITY,0.02723867394037,0.16992708462771,0,0,0,0,0,0,-0.101235851030714,0,0,0,0,0,0,0.118021139932078,0,0.632350541954072,0,-0.0467295003179529,0,0,0,0.00479842793251321,0,0,0,0,0,0,0,0,0,0,-0.00462837164672629,0,0,-0.260364926958411,0,0,0,0,0,0,0.0505126058408629,0,0,-0.158993052891064,0,0,0.059178827688934,0.212438755600981
X601009.CH.EQUITY,0,0.130691827304343,0.0758296783278303,0,0,0,0,0,0,0,0,0.26150920633891,0,0,0,0,0,0,0.097978757243828,0.04248309848614,0.142564179430987,0.0546231895520734,0,0,0,0,-0.123106025936956,0,0,0,0,0,0,0,-0.00237780354023272,0,0,0,0,0,0,0,0,0,0.186083715955735,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.270504876702401,0.204752983733919,0.157454428177245,0,0,0.042857463900626,0,0,0,0,0,0.0689287732768576,0,0,0,0,0,0,0,0,0.299745742256497,0,0,0,0,0,0,0,-0.0381708240464616,0,0,0,0,0,0.304417927419006,0,0,0,-0.043637141613597,0,0,0,0,0.048245804956523,-0.0666905353522494,0,-0.0470630894374241,0,0,0,0,-0.118784948819686
