,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.14731595888837,0,0.479784523005542,0,0,0.00964013534427454,0.0391465740336462,0.0620000671184492,0,0,0,0,0,0.0161621725547472,-2.71050543121376e-20,0,0,0,0.0541605473847504,0,0,0,0,0,0,0.0217636523276189,0.00375598550468521,0,0,0,0,0.00139044556325282,0,0,0.0255930690494484,0,0,0.0175842597262979,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19
X002142.CH.EQUITY,0,0,0,0.104577548894069,0,0.15946817860628,0,0,0,0.290849045757182,0,0.228667270602823,0,0,0,0,0,0.0358031391545102,0,0,0.0436429432326799,0.0503991774607042,0,0,0,0,0,0,0,0.0481822182500953,0,0,0,0,0,0,0,0,0,5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0,0,0.120821418423075
X600000.CH.EQUITY,0,0,0,0.0271190176902041,0,0.11760545455855,0,0,0,0.0367261876760919,0,0.152590449830789,0.00350311138292407,0.104312791202262,0.185656050478661,0,0,0.157486998577147,0,0.0626540607488636,0,0.0225763345045573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228708945199597,0,0,0,0,0,0,0.0827661763737796,0,0,0.0852536504227461,0,0,0,0,0.0311829537873867
X600015.CH.EQUITY,0,0.0186049727161733,0,0,0,0,0,0.0526342038851292,0.117958925522553,0,0,0.409357760287622,0,0,0,0.0386316165957428,0,0.0611420861929428,0,0,0.0636242932183568,0,0,0.102477070864253,0,0,0,0,0,0,0,0,-0.14183560647435,0,0.0169769166002365,0,0.0505583184833745,0,0,0,0,0,0,0,0.157613534520574,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.175109754926075,0,0,0,0,0,0.29520058300955,0,0,0,0,0,0,0.385288351921542,0,0,0,0.0660635840407504,0,0,0,0,0,0,0.10888241844342,0,0,0,0,0,0,0,0,0.152815186145049,0,0,0.020466506803665,0,-5.42101086242752e-20,0,6.93889390390723e-18,0,0.0953444139025795
X600036.CH.EQUITY,0.452233032034116,0.0337945265176923,0,0,0.0691623084994657,0,0,0,0,0,0,0,0,0,0,0,0,0.0878536717863397,0,-0.097030783725916,-0.139291125388537,0.316326003326946,0,0,0,0.0709024651096891,0,-0.0234283291286552,0.0712036121719169,0,0,0,0,0,0,0,0,0,-0.0451454930137458,0,0,0,0,0,0,0,0.0217335658392557,0,0,0.0812089667925633,-0.0638589484751162,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.415531124756191,0,0,0,0,0,0,0,0,0,0.234752816729833,0,0,0.134628321856107,0,0,0,0,0,0,0,0.00871967266485661,0,0,0,0,0,0,0.158598175630258,0,0,0,0,0,0,0,-0.117812120862376,-6.93889390390723e-18,0,0,0,0,0,-0.0244869019009782,-0.0833518061226726
X600926.CH.EQUITY,0,0.242732708366608,0,0,0,0,0.438615930578621,0,0.0377613645991194,0,0,0,0,0.0418337945764779,0.0671510786756066,0,0,0.0328011624502537,0,0,0.000463661791703505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133914724959287,0
X601009.CH.EQUITY,0,0,0,-0.122103229140098,-0.340789275430607,0,0,0.485806775369651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674007637871487,0,-0.055219803366014,0,0,0.431934749973777,0,0,0,0,0,0,0,0,0,0,0,0.0478737333126272,0,0,0,0,0,-0.0403329922532609,0,0,-0.184846851247204,0,0
X601166.CH.EQUITY,0.734873324275782,0.0693418624024746,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852627140227955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487161371126557,0,0.0332167380461346,0,0,0,0,0,0,0
