,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601077.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.282369647605141,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,4.33680868994202e-19,0,0,0.00262262011269746,0,0,0,0,0,0,0.108316691655016,0,-0.062552014365806,0,0,-0.0167886589238951,0,0,0,0,0.136657714014763,0,0,0,0,0
X601318.CH.EQUITY,-0.0277800781772157,0,0,0,0,0,0,0,0.0540158769780018,0,0,0.0769329810972266,0,0,0.330365792336078,-0.0733570214060577,0,0,0,0,0,0,0,0,0,0,0,0,-0.154336766060608,0.275394270438636,0.268089089225794,0,0,0,0,0,0,-0.0471901729989935,0.0959127863848926,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.122485569640267,0,0,0.0560630895579802,0,0,0,0.205554530782193,0,0,0,0,0.230040257683962,0,0.0322676789189323,0,0,0,0.0681405694244008,0,0.0269439334924388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333755471056298,0.0758173346698956,0,0
X601288.CH.EQUITY,0.119263972272923,0,0,0,0,0.0591691569325625,0,0,0.102577657203959,0,0.0453057338761944,0,0,0,0,0,0,0,0.0865913194928139,0.118625396198857,0,0,0,0,0,0,0,0,0,0.0794406923234706,0.292204353481901,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.109519452471925,0,0,0,0
X5.HK.EQUITY,-0.13082005762095,-0.105368887682657,0,0.149205794719133,0,0,0,-0.183744257001755,0,0,0,0,-0.06577667606389,0,0,0.168955974541419,-0.0754926914597353,0.340682047727546,-0.0427416612087687,0,0.321752933547906,0,0,0,0,0,0,0,0,0,0,0.439583021800288,0,0,0,-0.0873156417958949,0,0,0,0,0,0,0,-0.0947556369774648,0,0.0274045833784708,0,0
X601988.CH.EQUITY,0.125515401183201,0,0,0.0684870363888042,0,0,0,0,0.0746213248752114,0.181131494289585,0.0719514445585571,0,0,0,0,0,0,0,0,0.458821936484648,0,0,0,0,0,0,0,0,0,0,0.0895166093640807,0,0,0,0.0830583546635372,0,0,0,0,0,0,0,-0.202496814848298,0,0,0,0,0
X600036.CH.EQUITY,0,0.3822829113036,0,0,0,0,0,0,0,0,0,0.319345562975519,0,0,0.00556925088134016,0,0.0224221733398268,0,0,0,0.191383375463372,0,0,0.204813647574878,-0.000178048999846297,0.0213788020820245,3.46944695195361e-18,0,0,0.00647898122676323,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0418629854007151,0,0,6.93889390390723e-18,0,-0.09628283793154,0,0
X1299.HK.EQUITY,0,0.266609903028028,0,0,0,0,0,0,0,-0.0604375322843736,0,0,0,-0.193388965762431,0,0.314735308879129,0.336166810641122,0,0.165544239259719,-0.0217521846978634,0.0403349864163346,0,0,0.0658389712428917,0,-0.0488985189764099,0,0,-0.216864487126553,0,0,0,0,0,0.0163999265713333,0,0,0,0,0,0,0,0,0,0,0.0450983753578629,0,0
X601628.CH.EQUITY,0,0,0.0517548582422883,0,0,0,0,0.0138374454259938,0,0.0538287847785989,0,0,0,0,0.115655621802143,0,0,0,0,0,0.102897272547811,0,0,-0.077173236834398,0.0807835811575328,0,0,0,0,0.320888184311056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.0778136569202327,0.00532772734302329,0,0,0.213576828156089,0,0,0,0,0,0,0,0,0.221442931662271,0,0,0,0,0,0,0,0,0.480685672509165,0.167359877508184,0,0,0,0,0.229081745426154,-0.154017804320795,-0.0384482878790978,0,0,0,0,0,0,0,-0.0707286868911115,0,0,0,0,0,0,0.0399301355443103,0
X601328.CH.EQUITY,0.146994241635245,0,8.67361737988404e-19,0,0.111616537263489,0.425277647901294,0,0,0,0,0,0.0772624805961271,0.0961962683584633,0,0.00019121967510372,0,0,0,0,0.0330684195874098,0,0,0.00888624488571086,0,0,0,0,0,0,0,0.115990403185866,0,0,0,0,0,0.122666410660146,0,0.00379074805820696,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.199795939380415,0,0,0,0.102914737666803,0.268889322512005,0,-0.0867555207780907,0,0.256188162112632,0,0,0,0,0,-0.0466500324505721,0,0,0.176803347826172,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.10463740515096,0,0.0570440819875084,0,0,0,0,0.0209320751591448,0,0,0.0312420758598131,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.184786532695191,0.00724941474404498,0,0,0,0,0,0,0,0,0,0.0563739463128015,0,0,0,0,0,0,0,0,0,0,0,0,0.137875853071552,0,0.129379875271551,0,0.0758586824980174,0,0,0.130154726656693,0.100021605124469,0.218339083180781,0.0736351199461487,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218962463799391,0,0,0,0,0,-0.103708146788131,0,0,0.261421549285105,0,-0.367459390484922,0,0.313781138059045,0.191349040581597,0,0,0,0,0,-0.0292316030052336,0,0.0945974906645177,0,0.224386684952402,0,0,0,0,0.0960974132680738,0,0,0,0
X601601.CH.EQUITY,0,0.174896295371833,0,0,0,0,0,0,0.0771273847594248,-4.33680868994202e-19,0,0,0,0.43363235973687,0,0,0,0,0,0,0,0,0,0,0.0573725026752854,0,0,0,0,0,0,-0.146912440624796,0,0,-0.0285886595933217,0,0,0,0.261049940078809,0,0,0,0,-0.0737487301982349,0,0,0,0
X11.HK.EQUITY,0.373840389550569,0,0,0,0.158822862143601,0,0,0.220073204019553,0,0,0,0,0,0,0,0,-0.0698944080649614,0,0.0136902200632443,0,0.390274845038074,0,-0.21676666561128,0,0,0.0172612374621918,0,0,-0.135337825684695,0,0,-0.131713938678882,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.00190392010183595,0,0,0
X388.HK.EQUITY,0,0,-1.73472347597681e-18,0,0,0,0.145309002646574,0.557487307555502,0,0,0.018345742659165,0,0,0,0.042115912494379,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,-0.483283075282769,0,0,0,-0.182000392365819,0,0,0,0,0.527895696749095,0.18018865421595,0,0,0.0418134237363762,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.0153650685468406,0,0,0,-0.102394822218846,0,0.122331487170485,0,0,0,0,0.044974755598301,0,0,0,0.233032801270945,0.121980813705156,0,0.0920194333332581,0,-0.0636258374057264,0,0,0,0,0,0,0,0.104035618297761,0,0,0,-0.0587397903952872,0,0,0,0,0,0,0,0.0892418476576366,0,0.0116811458137303,0
