,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X2884.TT.EQUITY,X600926.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.190914686942494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578814246125124,0.064615258763995,-0.275696796751962,0,0,0,0.014399724519277,0,-0.173436673403871,0,0,0,0,0,0,0,0.0205961614351203,0,0,0,0.17572860176849,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.184071688584317,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406137155836941,0,0,0.0877339469964202,0,0.207259809827524,0.0249247094130964,0.0593750324646862,0,0,0,0,0.21392295238971,0,0,0,0,0,0,0,0,0,0,0.117895923868432
X601939.CH.EQUITY,0,0,0,0.671402430567023,0,0,1.35525271560688e-20,0,0.0439739469938019,0,0,0,-0.0123125652430624,0,0,0,1.73472347597681e-18,0,0,0,0,0.0165901750335601,0,0,0.054164298641622,0,0,0,0,0,0,0,0,0,0,0.0546432550169238,0,0,0,0,0,0,0,0.0389360488259693,0,0,0.20318600633795,0,-0.0115726602334832,0
X601288.CH.EQUITY,0,0,0.752604020033888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476698303902585,0,0,0,0,0,0,0,0,0.108626943402181,0,0,0.0189288186050747,0,0,0.0765657683126938,0,0,0,0,0,0,0.0750502243372683,-0.212727054989855,0,0
X601628.CH.EQUITY,0.0114972069361639,0,0,0,0,0,0,0,0,0.229740848242889,0.182812380386031,0,0,0,0,0,0,0,0.226722819080349,0,0,0,0,0,-0.12994325281399,0,0,0,0,0,0,0.316604435457403,0,0,0,0,0.295144823382846,0,0,0,0,0,0,0,0,0,0,0.102160389827867,0,0
X600036.CH.EQUITY,0,0.0228661668348507,0,0.364307138758617,0,0,0.0151161549001239,0.0742978544973282,0.113283852571171,-0.0380690055143448,0,0,0,0,0,0.164783714812278,0,0,0.000979180443772203,0,0,0.134686436879334,0,0,0,0,0.0304584381775519,0,0,0,0,0.0321103749223625,0,0,0,0.012266733848517,0,0,0,0,0.0218305961370001,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0309940245348389,0,0,0,0,0,0,0,0,0.0722521351443912,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119838892973252,0,0,0,0,0,0,0,0.0222989586251948,0,0,0,0.954822607257991,0.0232414230330471,0,0,0,-0.0321212562363526,0,0,-1.38777878078145e-17,-0.059722284887178,0,0
X1299.HK.EQUITY,0,0,0,0,0.127466441779892,0,0,0,0.00319577042090529,0,0,0,0,0,0,0,0,0,0,0,-0.0474461055318597,0,0,0.135322683295222,0,0,0.448656499866638,0,0,0.260937104180212,0,0,0,0,0.0095168882578725,0,0,0,0,0,0.00209467219055011,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0434043412873387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271222100228621,0.530131376995918,0.207505106316613,0,0,0,0,0,0,0,-0.0756146311328492,0,0,0.119757651956105,-0.201087073612289,0,0,0,0.0646583835288025,0,0,0,0,-0.236266165375422,-0.0467286743964932,0,0,0
X388.HK.EQUITY,0,0,0,0,0.341228670144156,0,0,0.293681371098876,0.187002432824722,0,0,0,0,0,0,-0.169909866604855,0,0,0,0,0,0.17741379405236,0.120475191944097,0,0,-0.125368544852756,0.199659778666243,0,0,0,0,0,0,0,0,0,0.0851169945617088,0,0,0,-0.314908637878708,0,0,0.0522835265249421,0,-0.257329291364494,0,0,0,0
