,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0.27282906888393,0.161979684902444,0,0,0.125255828202896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643888957466649,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.039083103230542,0.167051119754747,0,0,0,0,0.20098480465601,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0746014148636465,0.0466348388198813,0,0.0843974315706195,0,0.0422010855876772,0,0.0600549032892539,0,0,0,0.0520810078026006,0.122261508362738,0.350784943633991,0,0,0,0,0.0850915141093311,0,0,0,0,0,0,0,0.0463394559457476,0,0,0,0,0,0,0,0,0,0,0,0.0179166504739731,0,0.0568467579584007,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.354604133250698,-0.0427762298442394,0,-6.93889390390723e-18,0,0,-0.0595838257132364,0.0977280364280955,-0.0747353202969715,0,-0.111617492659822,0,0,0,0,-0.0327717128546561,0,0.869528833230169,0,-0.149966119462424,-0.151496912996155,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.113323137667252,0,-0.148740667219073,0,0,0,0,0,0,0,0,0,0,0,0.00684954194481061,0,0
X601288.CH.EQUITY,0.445835654883839,0.43316777217121,0.0228487500144433,0,0,0,0,-0.210905091174337,0,0,0,-0.060853596746879,0,0,0.0993238756553152,0,0.0386073701771816,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355145139846867,-0.0309058102304709,0.0316702767872918,0
X601628.CH.EQUITY,0.0246406013315115,0,0,0,0,0.104674281529373,0.103846003349299,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.275341882421181,0,0,0.0725450250564045,0,0,0.196283304077273,-0.211533710164937,0,0,0,0.345253756397885,0.147566267402874,0,0,0,-0.0961849600253856,0.0367670372511897,0,0,0,0,0.0722136474709963,0,0,0,0,0,0,0,0,0,0,-0.0688229542809883
X600036.CH.EQUITY,0.0230046793085406,0,0.123516491455971,0,0.103974279028657,0,0.104735347992873,0.202728004403391,0,0,-0.0222785015198428,0,0.202420387985492,0,0,0,0,0,0,0,0,0.276069079085035,0,0,0,0,0,0,0,0,0,0.086500209991664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145655983375285,0,0,0,0
X601988.CH.EQUITY,0.221429173076077,0,0.0915215266553857,0,0,0.298342398284839,0,0,0,0,0,-0.0793068046402575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752581655181807,0,0,0,0,0,-0.0633682775946626,0,0,-0.0203492715816828,0,0,0,0.502458639224199,0,0,-0.0876615660129023,0.0602822642885145,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0708430546677956,0,0.107970387959686,0,0,-0.0411617287292116,0.399165102157675,0,0,0,0,0,0,0,0,-0.0372443160518614,0,0,0,0,0,0.340867339337724,0,0,0,0,0,0,0,0,0.108640748453021,0,-0.0982750912988328,0,0,0,0,0,0,0,0,0,0.122202380389739,-0.0157962821444705,0,0,0
X5.HK.EQUITY,0,0.273531050798746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417147066157672,0,0,0,0,0,0,0.390544913409228,-8.67361737988404e-19,0,0,0,0,0,0,0.188349859532254,-0.0696004315542721,0.240179063393765,0,0,0,0,0.156910535485459,0,0,0,0,0,0,-0.00888436916968711,-0.102430188086246,0,0,0
X388.HK.EQUITY,0,0,0,0,0,-0.146532480701632,0,0.0300215562070626,0,0,0,0,0.0480777342507215,0,0,0,0,0,0,0,0,-0.12792991345401,0.462442916573039,0.223970829996363,0,0,0,0.166563611681462,0,0,0,0.211109110453843,0.188871348762908,0,0,-0.187927577185003,0,0,0,0,0,0,0,0.029977305571573,0,0,0.145517814816274,-0.00306741060086433,-1.73472347597681e-18,0
