,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.468064741995484,0.147193332035401,0,-0.0458263971229044,0,-6.93889390390723e-18,0,0,0.0495801418193035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115214389572434,0.0507810910305503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435210029093959,0,0,0,0,0,0
X601939.CH.EQUITY,0.407225158369183,0,0,0,0,0.103071171674187,0,0,0,0,0.147433115417912,0,0,0,0,0,0,0.0387233957208491,0,0.103814503786011,0,0,0,0.24026530788018,0,0.0387954027473281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712742689312974,0,0,0,0,0,0,0,-0.0854907275614618,0
X601288.CH.EQUITY,0.66479593059306,0,0,0,0.209602656298438,-0.0154572912090397,0,-0.0369714725457777,0,0,0,0,0,0,0,-0.0261965660792465,0,0,0.210148442274063,0,0,0,0,0.169078663252677,0,0,0,-0.148519287638804,0,0,0,0,0,0,0,0,0,0,0.0931009421457582,0,-0.223609729107914,-0.0497250217784947,1.0842021724855e-19,0,0,0,0.192906539111602,0,-0.0296420822257086,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00913646527884012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229420675269111,0,0,0,0,-0.0263666414326614,0,0,0,0.0685175096179064,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,-0.1249999608146,0,0,0,0,0,-0.0219058199489469,0,0,0,0.269839253926099,0,0,0,0,-0.0180992285224468,0,0.291749547669955,0.137249877674922,0,0,0,-7.20625289438379e-05,0,5.42101086242752e-20,0,0,0,0,0,0,-0.0432467565437952,0,0,0,0,0,0,0,0,0,0,0,-0.04680069635854,0,0,0,0
X601658.CH.Equity,0,0.166188488974005,0,0,0,0,0,0,0,0.00043308516144931,0,0,0,0,0,0,0,0,0,0,0.0139085409163648,0.130125741091515,0,0,0,0,0,0,-0.0997319873122634,0,0.0610674059173671,0,0,0,0,0,0,-0.0422225362506598,0,0,0,0,0,0,0,0,0,0,0,0.459379368431499
X601328.CH.EQUITY,0,0,0.124945847183083,0,0,0,0,0,0,0,0,0.292396317354031,0,0,0,0.102345987489861,0,0,0,0,0,0.0380555328321635,0,0,0,0,0,0.133078575388666,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.023153133059908,0,0,0,0,0.00248293124592889,0.048800589704047,0
X601318.CH.EQUITY,0.160763381005703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627419294324455,0.151359032017974,0,-0.120951547673582,0,-3.46944695195361e-18,0,0,0,0.0265065887746708,0,0.156653346438922,-0.159850351899496,0,0.382316899533946,0,0,0,0.255768598507808,0,0,0,0,0,0,0.118460053539535,0,0,0,0,0,0,0.147458831679594
X600036.CH.EQUITY,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.113461090954289,0,0,0,0,0.211352308999071,0,0.232683280664401,0,0,0,0,0,0.0147801016503303,0,0,0.118221132414903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883237944401417,0,0,0.0182064382641598,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.223208087625016,0,0.20980262456799,0.302960172752814,0,0,0,0,0.112799785669359,0,0.106487071397728,0,0,0.287811713845445,0,0,-0.0679079690838886,0,0,0,0,0,0,0,0,0,0,0.120832278796254,0,0,0,0,0,0,0.0219025237157614,0,-0.0809118421204218,0,0,-0.0345268720000255,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,-0.0470862877871492,0,0.385007253094242,0,0,0,0,0.063895717144713,0.0287199915805406,0.0341468446954922,0,0,0,0,0,0.0551978837073218,0,0,0,0.0679202711125615,0,0.0768724055207251,0,0,0,0,0,-0.172074047468391,0,0,0,0,0,0,0,0,-0.0701028467274822,0,0,0,0,0,0,0.399190009018546
X601998.CH.EQUITY,0,0.136547604726978,0.09350343123297,0,-0.0139678620432743,0.0569242557376855,0.155095154825339,0.149846136494093,0.0121155994882314,0,0,0,0,0,0.108153486518966,0,0,0,0.180992500638073,0,0,0.0314700499398422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0.18070243286051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222174379338556,0.0585082004825176,-0.0445853343361536,0,0.356035041254792,3.46944695195361e-18,0,-0.244323716305478,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.112878961248327,0,0,0.207642593021609,-0.0842875135386876,0.293703133053292,0,0,0,0,0,-0.00828698824839892,0.0294313889874928,0,0,0
X600016.CH.EQUITY,0,-0.0499037120755332,0,-0.193254306368174,-0.0480861845330254,-0.0852322830169088,0,0,0.0479579701994004,0,0.0880627184372868,0.0585378145989494,-0.336169907936025,0,0.182528219766197,0,0,0,0,0,0.445591652815086,0,0,0,0,0,0.150817352889189,0,0,0,0,0,0,0.279516641547491,-0.0264647350130873,0,0,0,0.0294482509068441,0,0,0,0,0,0,0.298843211607629,0,0,0,0
X601818.CH.EQUITY,0.29531461579754,0,0,0,0,0,0,0,0,0,0.223541670447797,0.177167961976961,0,0.0660869788462351,0,0,0.0308573798146758,0.0349900234378191,0,0,0,0,0.0155859993638223,0,0,0,0,0,0,0,0,0,0.0168441898254387,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0655853542207998,0,0,-0.00528533993552771,0,0,0,0,0,0,0,0,0,0,0.209639583783636,0,0,-0.142294558955439,0,0.127100367055988,-0.0488653186883525,0,0,0.194846261271108,0,0,0,-0.0178313623813316,0,0.116674155448344,0,0,0,0.221507380920436,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.128137176449096,0,0,0.102050551692145,0
X000001.CH.EQUITY,0,0,0,0,0.026213949718712,0,0,0,0,0,0,0,0.0215903891385579,0,0.117217654070728,0,0,0.0146626385276623,0,0,0.17546437964116,0,0,0,0,0.164021384733313,0.270618281660617,0.303074041726104,0,0,0,0,0,0,0,0,0,0,0.0534123917568998,0,0,0,0,0.0594489446021413,0,0,0,0,0,0
X600015.CH.EQUITY,0.0721307724592358,0,0,0,0,0,0.223868146522516,0,0,0,0,0,0,0,0,0.0758198807584982,0.00103560756718882,0,0.2753485009706,0,0,0,0,0,0,8.67361737988404e-19,0.159847322015038,0,0,0,0,0,0,0.0488751486676565,0,0,0,0,0,0,0,0,0,0.116193880195749,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.201347083635832,0,0,-0.110753384296069,0,0.225741936227951,0.0656974348400614,0.152538141997391,0,0.11628325990882,0,0,0,0,0,0,0,0,0,0,0.330665484811047,0,0,0,0.0738478372167388,0,0.0433017652727012,0,0,0,0,0,0,0,0.104609229008471,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.310745407908118,0,-0.0572802850825056,0.292331719594729,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.391025327742588,0,0,0,0,0,0.201117285910609,0,0,0,0,0,-0.0520072844941131,0.321143967032552,0,-4.33680868994202e-19,-0.0192508873434501,0,0,0,0,0,0,0,0,0,0,0,-0.135397307188497,-0.0270461749189663,0,0,0,0,0,0.080125538537098
X2388.HK.EQUITY,-0.355905142735522,0,-0.0780578555840199,0,0.165233968777013,0,0,0,0,0,0,0.081529487739392,0.106561967645816,0.455997187224802,0,0,0,-0.0389719702352645,0,0,0,0,0,0,0,0,0,0.016643810088639,0,0.303506553378949,0.0819125852413249,0,0,0,0,0,0,0,0,0,0,0,0,0.210903246123518,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,-0.0333552197320231,0.329139584515364,0.101718676172443,0,0,0.219027676547294,0,0,0,0,0,0.000541859793697572,0,0,0,0,0,0,0,0,0,0,0.0840109128975506,0.171404853811543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044405129710018,0.259778389281881,0
X600919.CH.EQUITY,0,0.0398750536110932,0,0,0,0.0064529789548396,0,0.229987210944352,0,0,0,-0.0636823226162086,0,0,0,0,0,0,0,0,-0.0636238317934447,0,0,0,0,0,0,0,0,0,0,0,0.2117856602352,0.156917327517042,-0.145657788936631,0,0,0,0,0,0,0,0,0.281156029471484,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0.0830107801290163,0,0,0,0,0,0,0,0,0.100129595506533,0,0,0.0800959563832251,0,0.344097689850762,0.0430032647849032,0,0,0.0600988959622389,0,0,0,0,0,0,0,0,0,0.0512465806633716,0.0643239024338133,0,0.00145354604549995,0,0,0.1757104919911,0,0,0,0.0952741790197027,0.0818928230977944,0,0,0,0,0,0.190230038908777
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233022416157676,0,0,0,0,0,0.319328089085185,0,0,0,0,0,0,0,0.247474764474834,0,0.00763946478388566,0.264151956525115,0,0,-0.00995564722545322,0,0.110894132658163,0,0,0,0,0
