,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,-0.0905420271926081,0,0,0,0,0,-0.275927432139641,0,0,0,0,-0.506766837202118,-0.094932052041698,0,0.16427044703766,0,0,0.982204148954486,0,0,0,0,0,0,0,0,0,0.0729910366175792,0,0,0,0,0,0,0,0,0,0,0.116754858800316,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.131975893249664,0,0,0,0.50323435555277,0,0,0,0,0.273186694862678,0.0194835699659077,0,0,-0.0528266052814223,0,0,0.0189967738767835,0,0,0,0,0,0.00293203363866043,0,-0.725617132808387,0,0,0,0,-0.168211649968837,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0145041381140908,0,0,0,0.0776734965599039,0.0106224694182453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103224150406099,0,0,0,0.212249853798964,-0.0793428082438631,0.186509593357451,0,0,0,0,0,0,0,0,0,0,-0.0685288823961754,0,0,0.100236103406321,0,0,0,0.1445764542514,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219472948144625,0,0,0,0,0.0350431586618306,0,0,0,0,0.0286101635919583,0,0,0,0,0,-0.156784711895625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0275080908490285,0,0,0,0,-0.201078436401625,0.139473426599586,0,0,0,0,0,0,0,0,0,0,0,0,0.218860076902111,0,0.247760474686096,0.0482614872589406,0,0,0,0,0.388232153955816,0,0,-0.229173808133808,0,0.0403864297406429,0,0.0351646015238645,0,0,0,0.0906144064910765,0.0837727134204848,0,0,0,0,0,-0.0452483709163406,0,0,0
X601658.CH.Equity,0,0,0.0625097943472387,0,-0.0293197640380503,0,0,0,0,0,0,0,0,-0.0576455586061353,0,0,0,0,0,0,0,0.171566441924586,-0.248883285106776,0.130276823943387,0,0,-0.0739421124063932,0.562122009623663,0,0,0.135989945896918,0,0,-0.175671110373455,0,0,0,0,0,0,0,-0.282678717106354,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,-0.0849497214578682,0,0,0,0.114073164373046,0.13276304506703,0.00365486862531192,0.0925473720781436,0,0.235031295127944,0,0,0,0,0,0,0,0,-0.149175278490525,0,0,-0.0844151330552037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0120909763252101,0.147593626803122,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.122538564489595,0,0,0,0,0,0.371393397232858,0,0,0,0,0,0,0,0,0,0,0,0.303099302114783,0,0.125984197775433,0,0,0,0,0,-0.285962560755172,0,0,0,0.0402750985355591,0,0,0.26363681050678,0,0,0,0,0,0,0.044755460679502,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0523712955038522,0.0435653515487656,0,0,0,0,0.0739636469163995,0.0661011184146054,0,0.298721237539194,-0.0400135499353103,0,0,0,0,0,0.0939709352448618,0,0,0,0,0,0,0.155989155392527,0,0.248343711461653,0.0824639225540761,0,0,0,0,0,0,0,0,0.248374590950346,0,0,0,0,-0.0235755238400902,0,0.0760241445543571,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.456880265059174,0,0,0.00763219055507281,0,0,0,0,0.110210801936909,0,0,0,-0.123004864750781,0.132432267730581,0.00872658474670378,0,-0.180950500009878,0.147223989815274,0,0,0,0,0,0,0,0,-0.0477285687457596,0,0.176183195459676,0,0,0,0,0,0,0,0,0,0.290424651246423,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514552199839401,0,0.427015243070538,-0.00577512800626049,0,0,0,-0.0621538942570492,0,0.186261519013992,0,0,0,0,0,0,0,0,0.0737110357117958,0,0,0.308331893165759,-0.0415750310265163,0.0239839244526112,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,-0.154153792044786,0,0,0,0,0.327786639013128,0,0,0,0,0,0,0,0,0.550407456747044,0,0,0,0,-0.0220533743660117,0,0.21778181166618,0,0,0,-0.110775268222232,0,0.160616205428912,0,0,0,0,0,0,0,0,-0.0633995884429225,0,0,0,0,0,0,0,0,0,0,0.274371517911009,0,0
X601998.CH.EQUITY,0,0.0768148670038456,0,0,-0.10598947494983,0.114600201044782,0,0,0,0,0,0.276061592324542,0,0,0,0,0,0,0,0,-0.199559984913959,0,0,-0.189312000995562,0,0,0,0.166651817189347,0,0,0,0,0.513186014031436,0,0,0,0,0,0,0.171985099455074,0,0,0,0,0,-0.0701470472558901,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,-0.105554988262583,0,0.214116033467424,0,0,0,0,0,0,0,0,0,0.133631523489909,0.260469873363534,0,0,0,0,0,0,0,0,0.0874220659608458,0,-0.149553026854658,0,-0.0422473441385813,0,0,0,0,0,0,0,0,0,0.340823039038394,0.0953587800215114,0,0,0.110435177528909,0.28520876235079,0,-0.422098536345907,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00440150086138786,0,0,1.27130174371003,0,-0.161594720426142,0,0,-0.0453932608751595,0,0,0,-0.168329422016988,-0.0372516508666575,0,0,0,0,-0.0562561087732645,0,0,0,0,0,0,0,0,0,0,-0.00926340899291857,0,0,0,0,-0.0408557403624252,0,0,0,0,-0.207448383039524,0,0
X601628.CH.EQUITY,0,0.128208691799875,0,0,0.0119061785312597,0,0,0,0,0,0.0410280737669812,0,0,0,0,0,0.130662143304221,0,0,0,0,0,0,0,0,0,0.10062602787206,-0.0818894848497393,0,0,0,0,0.148735765336742,0,0,0.116159169961509,0,0,0,0,0,0,0,0,0,0,-0.0179738192596816,0,0,0.397406378205127
X000001.CH.EQUITY,-0.125590330143977,0,0,0,0,0.0448987162028355,0,0.131130181765166,0.10523484877392,0,0.0156858040901922,0,0,0,0,0,0,0,0,0.020550091049748,0,0,0.112018467787209,0,0.0974894236135966,0.32713043444582,0,0.107092017025031,0,0,0,0,0,0,0.214516539150508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.000434832917770051,0,0,0,0,0.335639966383684,0,0,0,0.0382450446679872,0,0,0,0,0,0,0,0,0.207464530157311,0,0,0,0,0,0,0,0,-0.0567110907199993,0,-0.161488230743857,-0.0717239662898814,0,-0.113796113319288,0,0.155758688475983,0,0,0,0,0.553897802203352,0
