,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2883.TT.EQUITY,X2884.TT.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.0566096367301809,0,0.137801832482684,0,0,0.0370266396382036,0,0,0.0761490492975273,0.0730865275291635,0,0,0,0.00271899618174356,0,0.0844632074637845,0.118152781953595,0,0,0,0.421593345370576,0,0,0,0,0,-6.93889390390723e-18,0.0314923757676291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753770932921994,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.16257380149111,0,0.0629950991180058,0.153087474584539,0,0,0.252477929897952,0.034162592766544,0.0926604618301559,0,0,0,0,0.122113473817815,0,0,0,0.106458360022066,0,0,0,0,0.119389914834379,0,0,0,0,0,0,0,0,-0.100953188723657,0,0,0.00640495821962048,-0.102439394461863,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,1.0842021724855e-19,0,0,0.0910165946250044,0,0,0,0,0,0.0284457496756819,0,0,0,0.237269209963515,0.281117591565038,0,0,0,0,0,0,0,-0.0035425429841763,0,0,0,0,0,0,0,0.178927235027479,0.00426866642974687,0,-0.0519643608740554,0,0,-0.00684446659035878,-0.0408561904642235,0,0,0,-1.0842021724855e-19,0,0,-0.0872557039094166,0,0.143538672567165,0,0.0139875405430395,0
X601988.CH.EQUITY,0,0.377083330995842,0.39742173714186,0,0,0,0,0,0,0,0,-0.0915821102944628,0,0.0228465223129524,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0870844308194454,0,0,-0.0514849654931625,0.0841358144230896,0,0,0,0,0.163278229852434,0,-0.111239809251678,0,0.118399078949468,0,0,0,0.161661204680105,0,0,0,0,0.0581687217239847
X5.HK.EQUITY,0,0,0,0,0,0,-0.164650930514578,0,0,0,0,0,0,0,0,0,0,0,0,0.633340066635659,0,0,0,0,0.206636387105012,0,0,0.162419613747622,0,0,0,0,0,0,-0.0914446983719593,0,0,0,0,0.276179489075549,0,0.0804148416853995,0.00449736010760239,-0.019936093775072,0,0,0,0,0,0.013697616100161
X601658.CH.Equity,0,0.229751408290806,0,0,0,0,0,0.0332572185526225,0,0,0.131863163340586,0,0,0,0.253108812708528,0,0,0,0,0.0779638795757986,0,0,0.00986508559602389,0,0,0,0,0,0,-0.080296172605709,0,0,0,0,0.091153566407793,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0472700049996806,0,1.73472347597681e-18,0,-0.0257442419643573
X601328.CH.EQUITY,0.288093787377353,0,0.0786232706626168,0,0,0,0,0,0,0.151209824917627,0.0874119484529671,0.0914006387176506,0,0,0.194445194175953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055010722734062,0,0,0
X601318.CH.EQUITY,0,0.113615302315194,0,0,0,0,0,0,0,0,0,0.039581147342234,0.034483760593116,0,0,0,0,0,0,0,0,0,0,0.125722843122302,0,0,0.568144229231721,0,0,-0.0157527525403794,0,0,0,0,0,0,0,-0.0778165379720907,0,0,0,0.0490592855540264,0,0,0,-0.065262447709286,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.0174495741660915,0,0,0,0,0,0,0.176766895798496,0,0,0,0,0,0.637593854061471,-0.0735115215056519,-0.0921373425145704,0,0,0,0,0,0.331932971308039,0,0,0,0,0,0,0.104076606343415,0,0,0,0,0,0,0,0,0,0,-0.0117829370607147,0,0,0,0.323866977562727,0,0,0
X601166.CH.EQUITY,0,0.0870254845000353,0,0,0,0,0.304790213438637,0,0,0,0.0208954806357881,0,0.120992961288794,0,0,0.0408650179902936,0.211483914073385,0,0,0,0,0.0770208914883935,0,0,0,0,0,0.0559947868526509,0,0,0,0,0,0,-0.00498939593159956,0,0,0,0,0,0,0,0,0,0,-0.0604575513175294,0,0,0,0
