,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2883.TT.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.282813441719063,0,0,0,0,0,0,0,0,0.012376520328004,0,0,0.116133352279403,0,0,0.0697231844166593,0.159511740394694,0,0,-0.0180108185667453,0,0.379434800621301,0,0,0,0,0,0,0,0,0,0.0530040843358218,0,0,0,0,0,0,0,0,0,0.073416522940159,0,0,0,0,0,0,-0.0250032521160652
X601939.CH.EQUITY,0.186530800011159,0,0.0892595435317908,0,0.0333498669019574,0.0747647276294137,0,0,0,0.0954525176518748,0.113688813580486,0,0.233503718411235,0,0,0,0.254434592335732,0,0,0,-0.0534623112926071,0,0,0,0.0284426264384146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0641285881714173,0,0.13196035899081,-0.0236521499315165,0,0.149755544412521,0.0763582972158696,0,0,-0.0385149212716907,0,0,0.335162286899877,0,0,0,0,0.105957374096195,0,0,0,0,-0.088888589622637,0,0,0,0,0,0,0.0248068835130699,0,0,0,0,0,0,0,0,0,0,0,-0.0144456487135629,0,0,0,0,0,0,0.0365564144062171
X601988.CH.EQUITY,0,0.284785955351201,0.475268345371999,0,-0.0195241854154094,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0354225700163325,0,0,0.0182827200754606,0,0,0,0,0,-0.0982940045679929,0.14049030307277,0,0,0,0,0.027816457868417,0,0,0,0.0867657374832422,0,0,0,0.130773258583182,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973303434901203,0,0,0,0,0.413663371182897,0,0,0,0,0.0110146723065233,0,0,0,0,0,0,0,0,0,0,0,0.17232501230146,0,0.316376240462847,0.0901918524388923,0,0,0,0.0282417607226217,0,0,0,0,0,0.0120037787760174
X601658.CH.Equity,0,0.356270845352534,0,0,0,0,0,0.0204107709757303,0,0,0.0987810256261575,0,0,0,0.208516936482754,0,0,0,0,0,0,0,0,0.0625906854762937,0,0,0,0,0,0,0.0725932289674241,0,0,0,0.110087676187167,0,0,0,0,-0.0821050221248622,0,0,0,0,0,-0.0695527507117348,0,0,0,-0.0589935514809376
X601328.CH.EQUITY,0.268180381173986,0,0.187611328858397,0,0,0,0,0,0.0180785196061018,0.0223759628413859,0.0125978828674221,0.0333479125221949,0,-4.33680868994202e-19,0.356936091227132,0,0.00726399359202347,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00598777724127648,0,0,0.0264690610717919,0,0,0,0,0,0,0,0,0,0,-0.0499188927861111,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.323460575777107,0,0,0,0,0,0.0979735884459946,0,0,0,0,0,0,0,0,-0.0302802218910372,-0.00563242804395589,0,0.0167606343696021,-0.083583819670467,0,0.479852512948043,-0.0376250052322898,0,0,-3.46944695195361e-18,0,0,0,0,0.0832543392594732,-0.073385425494368,-0.0452292190393689,0,0,0,0.13195594941655,0,0,0,-0.0341449215674016,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.13756918134344,0,0,0,0,0,0.297095698620065,0,0,0,0,0.176541772608896,0,-0.025758907642535,0,0,0,0,0,0.170432056374571,0,0,0,0,-0.130810964595117,0,0,0,0,0,0,0.06306372759115,0.0957080205085914,0,0,0,0,0,-0.0388061832256842,0,0,0.239748124340544,0,0,0.0395394238673149
X601166.CH.EQUITY,0.184050998724398,0,0,0,0,0,0,0.016112146764462,0,0,0.0201831276572514,0,0,0,0,0,0.206361372300688,0.0358573566229397,0,0,0,0,0,0,0,0,0,0.282816194495078,0,0,0,0,0,0,0,0.0450250972272232,-0.0658435684251894,0,0,0,0,0.0133567422879582,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0.347225180043205,0.304110982751617,0,0.204349826428763,0,0,0.224621933601798,0,0,0,0,0,0,0,0.12295652097152,0,0,0,0.145646659586716,0.196939264085828,0,0,0,-0.1985957121744,0,0,-0.111295800998556,0,0,0,0,-0.420575034854694,-0.0359489093680455,0,0,0,0,0.301358405127013,0,0,0,0,0,0,-0.245096222256491,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,-0.415002696126084,0,0.664270323661545,0,0,0,0.0335590746779942,0,0,0,0,0.144997632051336,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0901858895115629,0.542535840828003,0,0,0,0,0,0,0,0,0,0.100078399751576,-0.0129907014227156,0,0,-0.0136486850185734,0,0,-0.0423314447594371
