,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X601838.CH.EQUITY,X2892.TT.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0621540800873253,0,-0.0770124215191499,0.286812107103875,0.697161013875195,0,0,-0.101941276214892,0,0.145944273602788,0,0,0,0,0,0,0,0,-0.036746221373188,-0.037320838670761,-0.137313555318175,-0.0514121208974338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119058486969134,0,0,0.0312636424630547,0,0,0,0,0
X601939.CH.EQUITY,0.0671120665642264,0,0,0,0,0,0,0,0,0,0,0.00314300900178549,0,0,0,0,0,0,0,0,0,0.850376824143999,0,0,0,0,0,0,0,0,0,0,0.0211025688694741,0,0,0,0.036078664936336,0,0,0,0.103032056728047,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.562213951542216,0,0,0,0,0.0442893855849671,0,0,0,0,0.013512953511354,0,0,0.0201601264174613,0,0.138416924229855,0,0,0,0,0,0,0,-0.0975218423180999,0,0,0,0,0,0,0,0,0,0,0.173970181207874,0,0,0,0,0,0,0,0,0,0.148144565280698,0,0
X601988.CH.EQUITY,0,0,0.228855264700505,0,0,0.0340581665183056,0,0,0,-0.0498187526409639,0,0,0.0415457573582022,0,0,0,0,-0.0155924127135892,0.675554218349343,0,0,0,0,0,0,0,0,0.0119495474871164,0,0,0,0,-0.08687197734363,0,0,-0.0433799853655491,0,0,0.0051339844540286,0,0,0,0,0,0,0,0,0.0996319642984749,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502350734864818,0.100802026147493,0,0.116214460989312,0,-0.0790383055524394,0,-6.93889390390723e-18,0,0.0867186936511472,0,0.0747486834032198,0,0,0,0,0,0.0740552246491194,0,-0.07897157972567,0,0,0,0,0.0563307288537624,0,0,-0.0876249871884583,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0.317308633751711,0.0310515461491927,0.649534238428573,0,0,0,0,0,0,0,0.145298572005257,0,0,0,0,0,-0.0360595910331581,0.0526352522923907,0,0,0,0,0,0.0409283030057353,0.0424264526679679,0,0,0,0,0,0,0,0.0590572531302076,0.0070953051418084,0.0215283846393787,0,0,0,0,-0.147819244541421,0,0,0,0
X601328.CH.EQUITY,0.971675447573889,0,0,0,-0.0179458034392743,0,0,0,-0.0335425362246087,0,0,-0.139231056504113,0,0,-0.0188360272005649,0,0,0,0,0,0,0,0,0,0,0,0.0329065586688443,0,0,0,0,0,0,0,0,0,0,0,-0.011904916222585,0.152119095942247,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0183463329318441,0,0,0.122933081149531,0,0,0,0,0.184971201615355,0,0,0,0,0,0.133390956466114,0.036325617549979,0,0,0,0,0,0,0,0,0,0,0.0115814739512097,0.194210483076417,0,0,0,0,0,0.161071343837676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.153083356825034,0,0,0.151248239667564,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.107402954016598,0.167998238909465,0,0.0663343125715456,-1.38777878078145e-17,0,0,0.127999469342155,0,0,0,0,0,0,0.0420072172959946,0,0,0.0173542978769028,0,0,0,0,0,0,0,0.0647182038027689,0,0,1.0842021724855e-19,0,0,0,-0.0524532367744148,0.0624340951205311
X267.HK.EQUITY,0,0,0,0,0,0,0,0,-0.113031846322061,0,0.852732627643572,0,0,0,0.0696422262424303,0,0,-0.0181369739523221,0,0,0,0,0,0,0,0,0,0.0360439526987749,0,0,0,0,0.0901895194724241,0,0,0,0,0,0,0,0,0,0,-0.156308880308303,0,2.71050543121376e-20,0,0,0,2.71050543121376e-20
