,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.2759260801261,0,0,0,0.293254541856164,0,0.25898020695498,0,0,0,0,0,0,0.0992346184118027,0,0,0,0,0,-0.0266800475669287,0,0,-0.176794364287573,0,0,0,0,0,0,0,0,0,0,0.285145033043668,0,0,-0.162499975588286,0,0,0.0551025567818026,0,0.0788530393563436,0,0,0,0,0,-0.0244944469264052,0,0
X002142.CH.EQUITY,0,0,0,-0.0697345276401752,-0.162136097617053,0.316502358738113,0,0.299007119689279,0,0,0,0,0,-0.01475900102395,0,0,0,0,0,0,0,0,0,-0.0273087164801264,0,0,-0.269294125071105,0,0,0,0.0302844951109211,0,0,0,-0.0237422379745967,-0.0488707201361759,0,0,-0.134142935797871,0,0.214575851881889,0.231782450098331,0,0.263543222291503,0,0,0,0,-0.0399950528588061,0,-0.0346113626519571
X600000.CH.EQUITY,0.169684615756468,0,0,0,0,0.152417617047447,0,0,0,0,0,0,0.58915704295919,0,0.011060225875977,0,0,0,0,0,0,0,0,0.0535363305781254,0,0.18829118893473,0,0,0,0,0,0,0,0,0.0540250100363733,0.0539282369468155,0,0,0,0,-0.0583461429494708,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.0294126230399408,0,0.0628943761985648,0,0,0.194308449801241,0,0,0,0,0,0,0.119887201220028,0,0,0.0564007793888958,0,0,0,0.0444209597532462,0,0,0,0,0,0,0,0,0,0,0,0.0804562961560237,0,0,0,0,0,0.0282903797781033,0,0,0,0.27978220027263,0,0,0,0.00977613378262368,0,0,0
X600016.CH.EQUITY,0,0,0.08356908223664,0.36794728249559,0,0,0.147419565314613,0,0,0,0.352710973358624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803695683030573,0,0,0,0,0,0,0,0,0.239739769409754,0,0,0,0,0,-2.28308644471499e-05,0.0393582223332436,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.196057788296792,0.0989168169421009,0.306549320191402,0,0,0,0,0,0,0,0,0,0.0274254027335671,0,0,0,-0.0578817570958239,0,0,-0.0335220384676981,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0576428001811695,0,0,0.0316193138825666,0,0,0,0,0,0,0,0.260694260526996,0,0.127503127265256,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0310051141973093,0,0,0,0,0.244139872401703,0,0,0,0,0,0,0,0,0,0.0704293204262727,0,0,0.0203390253993295,0.0583434072611653,0,0,0,0,0.0853045543839476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.213043013425045,0,0,0.157906401665051,0,0,0.0977276533687892,0,0,0.0194368188116268,0.111400897788759,0.0823399242524861,0,0,0.147924029828449,0.151234641597418,0,0,0,0,0,0,0,0,0,0,0,0,0.047008941166064,0,0.0225517879457085,0,0,0,0,0,0,0,0,0,0.0389518993906964,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.461717436320826,0,0.105564052803808,0,0,0,0,0,0,0.102061225842858,0.00743587655655313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106764894062653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783078249515426,0
X601169.CH.EQUITY,0,0,0.188996021069844,0.0659874616851148,0,0,0,0,0.12714966072194,0,0,0,0.329384865005969,0,0,0,0.257462979433596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740955916144615,0,0,0,0,0,0,0,0.0460183300814276,0,0,0.150832180519691,0,0,0,0,0,0
X601229.CH.EQUITY,-0.18871541302823,0,0,0,0,0,0,0.276703397306452,0,0,0,0.21610592008863,0,0,0,0.216148774310466,0,0,0.050162146235171,0,0,0,0,0,-0.206628185322146,-0.0801956879396956,0,0,0,0,0.328507470850531,0,0,0,0.0673098538094369,0,0,0,0,0,0,0,0,0,0.149457722469601,0,0,0,0,0,0
X601288.CH.EQUITY,0,-0.132237961021156,0,0,0,0,0,0,0.0115702536583932,0,0.179532983215057,0,0,0.307413056590752,0,0.203260477845627,0.246537742655556,0,0,0,0.0270531631146637,0,0.00415082854410029,0,0,0,0.0243375323134304,0,0,0,0,0,0,0,0,0.0928888177043428,0,0,0,-0.10542427050617,0.0449506528453922,0,0,0,0,0,0,0.102095649812177,0,-0.0503525117577774,0
X601328.CH.EQUITY,0,0,0.417547898056394,0.209706135519764,0,0.16055598724786,0,0,0,0,0,0,0,0,0,0.0671714791298638,0,0.0679303217035578,0,0,0,0,0,0,0,-0.118584084813795,0,0,0,0,0,0,0.0334215500910111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326077744635109,0,0,0
X601398.CH.EQUITY,0,0,0.414323703009006,0,0,0,6.93889390390723e-18,0,-0.0312802674346911,0,0,0.0766349317742767,0.0486247572097414,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.140951487710136,0,0,0.0703114850080125,0,0,0,0,0,0,0,0,0,0,0,0.139019388765494,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.265944833692311,0,0,0.143067876081112,0,0,0,0.489018435941152,0,0,0,0,0,0,0,0,0,0.126902674146266,0,0,0,0,0,0,0,-0.242375692149731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761884552314557,0,0,-0.0737389460016465,0,-0.0544377825223605,0,0
X601939.CH.EQUITY,0,0,0.0638775602572513,0,0,0,0,0,0,0,0,0.135862640790487,0,0.723093219707321,0,0,0.0413327735535793,0,0,-0.117427074956814,0,0,0,0,0,0,0.14484927965603,0,0,0,0,0,0.12623304001157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418169188950696,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.151243942514553,0.310612100776413,0.0703512861250986,0,0.122016100113474,0,0,0,0,0.147433308551994,0,0,0.117050908020906,0.0749995133658326,0,-0.181081695594432,0.0873422465907325,0,0,0,0,0.0524883004027821,0,0,0,0,0,0,0,0,0.0526479336104261,0,0.0449842980832625,0,0.161267996312537,0,0,0,6.93889390390723e-18,0
X601998.CH.EQUITY,0,0,0,0.000392930935986288,0.37803286149213,0,1.73472347597681e-18,0.058677955890827,0,0,0,0,0.03259544725432,0,0.120479800053252,0.172179820353897,0,0,0,0.137201466230247,0,0,0,0,-0.0465379819726658,0,0.0715013761212215,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903457076068345,0,0,0,0.101639832406086,0,0,-0.0697897011137023,0,0,-0.0128105466993416,0
X601658.CH.Equity,0,0,0,0.529951492726295,0.176091692709098,0,0.0878245539524405,0.155294129099179,4.33680868994202e-19,0,0.0919551969240984,0,-0.261708188817263,0,0,0,0,0,0,0.495492885978877,0,0,0,0,-0.0113311126177962,0,-0.0890730679471212,0,-0.0148277076061497,-0.263774594258154,0,0,0,0,0,0,0,0,0,0.174553757045976,-0.136667018439948,0,0,-0.248297583056202,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,-0.459114974387966,0,0,0,0,0,-0.347376045069044,0,-0.319486775007132,0,-0.00185346211785452,0,0.626548891909971,0,0,0,0,0,0,0,-0.0612089329879721,0,0,0,0.22504424432957,0,0,0,0,0,0.250394239678203,0,0,0,0,0,0,0,0,-0.11092610469134,0,0,0.674796101056806,0,0,0
