,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.197923604709818,0.410305163159362,0,0,0,0,0.0654538810049601,0,0,0,0,0,0,0,0,0,0,0.00690941312617456,0,0,0,0,0.135743235285128,0,0,0,0,0,0.0971201835280994,0,0,0.0605338811140137,0,0,0.0321503361423024,0,0,0,0,0.0475055573281716,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.203265806229151,0,0,0,0,0,0.114149830829916,0,0,0,0,0,0,0,0,0,0,0,0.463020532064498,0,0,0,0,0.073992331905315,0,0,0,0,0,0,0,0,0,0,0,0.123202628126967,0,0,-0.0731815745183784,0,0,0,0,0,0.0432679101137659,0,0,0,-0.0431543522522607,0.122606397585999,0
X600000.CH.EQUITY,0,0,0,0,0.353442829990526,0,0.0429180893792357,2.77555756156289e-17,0,0.0176686023110797,0.0804586899332498,0,0.0887505786053092,0,0,0,3.46944695195361e-18,0.150865520758704,0,0.109030119034447,0,0,0,0,0,0,0.0832194850459866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.055171170801753,0.0567516438159212,0,0,0,0,0,0,0.115611482223781,0,0,0,0,0.525958942307565,0,0,0,0,0,0,0.110754366444098,-0.119398821435898,0,0,0.22490765813855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518629806359092,0.029209759726303,0,0,0,0.0769009138930663,0,-0.130913352652101,0,0,0
X600016.CH.EQUITY,0,0,0,0.0871693956055687,0,0,0,0,0,0.110225378320237,0.0290151303364189,0.0569958214892492,0.294575670390261,0,0,0,-2.16840434497101e-19,0.312282005223216,0,0.0916706955331408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.38880243808824,0,0,0,0,0,0,0,0,0,0.0253607354036782,0,0,0,0,0.104245898641586,0.166324150174594,0,0,0,0,0.00626218565351504,0,0,0,0.18087829028181,0,0,0.0166192357368839,0.0403832104999719,0,0,0,0.05002672896781,0,0.00749931023214039,0,0,0.0577215630816765,0,0,0,0
X600919.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0.19058703307913,0,0.147357503927588,0,0,0,0,0,0,0.00599547869574296,0.191061597799513,0.0210712677971558,0,0,0.0516216962564598,0,0,0,0,0,0,0.124345183369024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152102591528331,0,0.0785657390738552,0,0,0,0,0
X601009.CH.EQUITY,0.0824092010717143,0,0.0303368123834768,0,0.400221576643141,0,0,0,0,0,0,0.0298896365315099,0,0.0102377172751054,0.0985983685525453,0,0,0,0,0.192840470875629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414512933223627,0,0,0,0,0,0,0.0124290997493111,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.12479159413113,0,0.193813213438524,0,0.353476181195861,0,0,0,0,0,0,0.273916416348537,0.00906070594655403,0,0,0,0,0,0,0,0,0.0482587718326912,0.0385100718244305,0,0,0,0,-0.0164609867832545,0,0,0,0,0,0,0,0,0,0.00124965282009626,0,0,0,0,0,0,0,0,0,0.000713862856208047
X601169.CH.EQUITY,0,0.0234268484472573,0.222581931595646,0.291571286882737,0,0,0,0.0437282397192676,0,0,0,0,0,0,0.0118925069059367,0,0.0318835850030764,0,0,0.113514496854202,0,0,0,0,0,0,0,0.0648360660272434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02113565347319,0.0456778421154456,0.137818096843837,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.161850696210373,0,0.0661087765452499,0,0,0.580715413071699,0,0,0,0,0,0,0,0,0,0,0.175837701805457,0,0,0,0,0,-0.205168472073523,0,0.0800718813584647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101888017401601
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0603565407781072,0.338188111398246,0,0,0.323755041932873,0,0,0.134951643410425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603113091873815,0,0,0,0,0,0,0,0.0346865678609871,0,0
X601328.CH.EQUITY,0,0,0.156793373003406,0,0.227254941669352,0,0,0,0,0.193200284625071,0,0.295029614430447,0,0,0.0950681883993171,0,0,0,-0.056290166911693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02915832210372,0,0,0,0,0.0727316726720303,-0.0140490033620401,0,0,0,0,0,0,0,0,0.0393794456121906,0,0
X601398.CH.EQUITY,0.0331536207937876,0,0,0,0,0.0688287121545187,0,0,0.0160803883170264,0.101478515481708,0,0.456338168632408,0,0,0,0.0805298615944453,0,0,0.0258205567984871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227697118603519,0,0.0411507953410966,0,0,0
X601818.CH.EQUITY,0.0582601779750153,0,0,0,0,0,0,0,0.404432437782465,0,0,0.0525768548207587,0,0,0,0,0,0.476451737440018,0,0.0153156713043775,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205912634354022,0,0,0,0,-0.0522869371072845,0.00807973970978043,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.472651700329256,0,0,0,0,0,0,0,0,0,0,0.385237290379079,0,0,0.0647035729166884,0,0.0246786644132951,0,0,0,0,0,0.0838742688307014,0,0,0,0,0,0,0,0,-0.0244815385032302,0,0,0,0,0,0.0369480738724259,0,0,0,0,0,0,-0.0976059434647027,0,0,-0.0180637563253738,0
X601988.CH.EQUITY,0.134852846400683,0.0515216503136252,0,0,0,0,0,0.131238012237332,0,0,0,0.360366431972692,0.244818286415224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181951721326567,0,0,0,0.0188721151009333,0,0,0,0,0,0,0,0,0,0,0.0508709817236209,0,-0.0583533063650335
