,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0364309736083063,0,0,-1.38777878078145e-17,0,0,0.182221596770591,0,0,0,0,0.0855580293519826,0,0.0604076277966693,0,0,0,0,0,-0.00992992926718819,0,0,0.256550154707881,0,0,0,0,0,0,0,0,0,0,0,0.00952975275836063,0,0,0,0,0,0.328282168378939,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.297119500622075,0,0,0,0,0,0,-0.056975687000813,0,0,0.446528456455052,0,-0.0366484754654128,0,0,0,0,0,0.105705588346635,0,0,0,0,0.0630515329760775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188959714926113,0,0,0,0,0,0.138284541648197,0,0,0.107499483017336,0,-0.0647095400383077,0,0
X600000.CH.EQUITY,0,0,0,-1.38777878078145e-17,0.0812809680447591,0,0,0.0769900297710547,0,0,0.0701313120137397,5.42101086242752e-20,0,0.189490848903962,0,0.0416329067618637,0.0996108259136032,0,0,0.0715466770307095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365508498189881,0,-3.46944695195361e-18,0.131911200911921,0.0183705664802745,0.03486314545821,0,0,0
X600015.CH.EQUITY,0,0.2054001270919,0,0,0,0,0,0,0.0186014232747904,0.195329440648154,0,0,0,0,0.385741454384904,0.343574130905627,0,0,0.0216753063744674,0,0,0,-0.160124324724524,-1.73472347597681e-18,0,0,0,0,-0.0967510021433303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.10363741178616,0.00559338735916548,0,0,0,0,0.277410447970958,0.0832557656887662,0,0.112221761104362,0.157446195640927,0,0,0,0.129394929862929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019461717138214,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0750579438296595,0.275904043026594,0,0,0,0,0,0,0.0944520024184175,0,0,0,0,0,0,0.0800201629465351,0,0,0,0,0,0.00510412663540895,0,0,0,0,0.103678594574865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166637871527304,0.236310023704142,0,0,0,0,0,-0.00627436169275384
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.189612708432535,0,0,0,0,0,0,0,0.133295717315463,0,0.0110016355435873,0.0855123474852752,0.0909526667291844,0,0,0,0,0,0,0,0,0,0,0.0879906018896035,0,0,0,0.0760656122520217,0,0,0,0.0508235580703419,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.21106553846452,0.00866276038011092,0,0,0,0.0773669259343613,0,0,0,0,0.00497627262595139,0,0,0,0.00280275961570223,0,0,0.191313685059411,0,0.288692164294922,0,0,0,0,0,0,0,0,0.054394962581937,0,0,0,0,0,0.121475974567046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0776272443468383,0,0.0423033462051365,0.00554498777107088,0.0194705909291983,0.329841279994784,0,0,0,0,0,0.0581876505451868,0,0,0.257496220966699,0,0,0,0,0,0,0,0,0,0,0,0.143077484165304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.071044770139593,0,0.24437078078727,0,0,0.331220908653636,0,0,0,0,0,0,0,0,0,0,0,0.084318032635114,0.193089340247577,0,0,0,0.00428092898296134,0.0876491012443939,-0.0218170273429838,0,0,0,0,0,0,0,0,0,0,0,0.0289217283476484,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0716663135436425,0,0,0,0,0.102770403598695,0.0861139026405066,0,0,0,0,-0.117648497603495,0,0,0,0,0,0,0.300560381558192,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.174093687352191,0,0,0.0746330655809936,0,0,0,0,0,0,0,0.206216547225928,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.0786546834873042,0,0,0.465459786738157,0,0,0.254494115436469,0,0,0.0936432670154473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767351943155417,0,0.021885870883808,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.600157628216991,0,0.0828709005435476,0.184543859353441,0,0,0,-0.064800070230412,0,0,0,-0.0309306500860212,0.0230986425978921,0,0.0778336386290033,0,0,0,0,0,0,0.130623021054812,0,0,0,0,0,0,0,0.0188501273846537,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0809560415417085,0,0,0,0.144575091501249,0.168726496036262,0,0.0190642856032361,0.359327750460388,0,0,0,0,-0.0496234491357804,0,0,0.00250036910765879,0,0.0442966869550543,0.0324529637725765,0,0,0,0.0147542901908051,0,0,0,0,0,0,0,0,0,0,0.00728675159587387,0,0,0,0,0,0.0112297283839175,0,0,0.15084684324009
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0.352876860365402,0,0,0.155567059118032,0.0882585263022412,0.219109018403024,0,0.0458211351023528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563233145273188,0,0,0,0,0,0,0,0,0,0,0,0,-0.081195005966601
X601939.CH.EQUITY,0,0,0.267061515585486,0.13152503349326,0.0384940338134749,0,0,0,0,0,0,0.0314292061208318,0.182529501654537,0.166574544010498,0,0,0,0.214076693720507,0,0,0,0,-0.0177780284443844,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.100989284373463,6.93889390390723e-18,0,0,0,-0.0462808582978785,-0.0557250680030865
X601988.CH.EQUITY,0,0,0,0,0,0,0.164807751607198,-1.38777878078145e-17,0,-0.246814030799727,0,0.524401982402195,0,0,0,0.0495267742426277,0,0,0.364210200084268,0,0,0,0,0,0,0,0,0,0.0997837469968535,0,0,0,3.46944695195361e-18,0,0,0.0911355978808333,0,0.103816945151202,0,0,0,0,0,0,0,-0.0617786225166602,0,6.93889390390723e-18,0,0,0
X601998.CH.EQUITY,0,0,0.0833189576809631,0,0,0,0,0,0,0.410033898295291,0,0,0.0620708712233477,0,0.182877359990879,0.104205519891262,0.139313692265991,0,0,0.0671579090699345,0,0,0.0235504344312518,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.077999011504073,-0.0658483099794243,0,0,0,0
X601658.CH.Equity,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0194622540953284,0,0,0,0,0,0.0163008435670585,0.143881684997084,0,0,0.583697403553238,0.0142503725833813,0,0,0,0,0,0,0.193195972729059,0,0,0,0,0,0,0,0,0,0,0,0.135996673743788,0,0,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,0,0.0990508283014209,0.154067844087332,0,0,0,0.127732378034103,0,0,0,0,0,0.265930214825929,0.0573243089434403,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648158346859827,0,0,0,0,0,-0.0193857300765393,0.0994023371334286,0,-0.139450004661092,0,0.355402995601573,0,0,0,0,0,0,0,-0.117166558189312
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227449497077132,0,0,0,-0.114574594961808,0,0,0,0,0.560608298233109,0.32602995027499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102320521955787,0,0,0,0,0,0,0.245449438163288,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.0994888699079018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048614715484738,0.371527754714503,0,0,-0.104365113115286,0,0,0,0,0,0,0,0,0,0,0.0831607044395496,0,0,0,0,0,0.0745975124304047,0,0,0,0,0.0693023838857959,0.403629540855761,0,0,0,0.141957963621986
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.13486943375829,0,0,0,-0.00299970894519563,0,0,0,8.67361737988404e-19,0.285107146895594,0,0,0,0.112336648351335,0,0,0,0,0,0.33451557095115,0,0,0,-0.348042629805585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701506754779947,0.588582050324403,0
X2884.TT.EQUITY,0.235571717186115,0.218308941277085,0,0.00511425592538992,0,0,0,0,0,0,0,-0.0183052832904465,0,0,0,0,0,0,0,0,-0.0851956308623774,0,-0.188742983304126,0,0,0,0.346511812171421,0.35866739615988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00642586638808471,0,0,0,0,0,0
X2886.TT.EQUITY,0,0.093653752197054,0.0327677375239654,-1.73472347597681e-18,0,0,0,0,0,0.00391204948155243,0,0,0,0,0,0,0,0,0.0463604370862031,0,0,0,0.0167302872975333,0.0946958587278089,0,0,0.30380409350153,0.0381029625858377,0,0,0,0,0,0,0,0,0,0,0,0,0.0514938881731136,0,0,0,0,0,0,0.188004043004906,0,0,0.179720977697524
X2891.TT.EQUITY,0,0,0,0.205768686295837,0,0,-0.14809985348833,0,0,0.0876849951207312,-0.0492159736998974,0,0,1.73472347597681e-18,0,0,0.0319720255227157,0,0,0,0,0.0479155679191192,0,0,0.150684396341283,0,0.184686259434591,0.242856151784945,0,0,0,0,0,0,0,-0.0467413976879094,0,0,0,0,0,0,0,0,0.115545080861862,0.00423547247549927,0,0.0425430080287787,0,0,0.122498686751732
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0566579263782914,0,0,0,0,0.05928980320561,0,0.427049731978577,0.0565690433674536,0.324622648974047,0,0.198628240784806,0,0,0,0,0,0,0,-0.0527998254364209,0,0,0,0.0406425162863217,0.0129860108395174,0,-0.0406254198114017,0,0,0,0,0.0905443103959388,0,0,-0.00853118285048746
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159337556658311,0.0801832087186531,0,0.234360493056347,0.166098508645376,0.46492849019784,0.0748287359894808,0,0,0,0,0,0,-0.0164512222109773,0,0,0,0,0,0,0,0.0128700025526608,-0.0191143843637375,0,0,0,0,0.0125758907939712,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282064497108931,0,0,0.0466407179194673,0,0,0,0,0,0,0,0,0,0,0.395355114388275,0,0.141457860267227,0,3.46944695195361e-18,0.229400291551021,0,0,0.108259427366861,0,0,0,0,0,0,0,0.005959541234737,0.036531915690028,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103580441947654,0,0,0,0.0336365952722804,0,0,0,0,0,0,0.0772713993020506,0,0,0,0.224397628740345,0.219418230199368,0,0,0,0.0393420934624434,0.209571307472127,0,0,0,0.180549686468904,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,-0.0261529431367182,0,0,0,0,0,0,0.033004722884903,0,0,0,0,-0.0911193409511704,0,0,0,0.0723312915925702,0,0,0,0,0.0334691200359318,0,0,0,0,0,0.161462426708916,0.196785131526282,0.130497682198033,0,0.33377000306925,0.148501885999119,0,0,0,0,0,0,0,0,0,0,0,0.065878205888459
X300059.CH.EQUITY,0,-0.0537942363459458,0,-0.226359403999869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765046638262682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460623643873697,0,0.00317415395765802
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206090823052334,0,0,0,0,0,0,0,0.150388945832981,0,0.0547099637907957,0,0,0,0.217605800661943,0.00640794154241823,0.0997504077474938,0.300996192716197,0,0.0606057756679206,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0597311418105169,-0.0186335598829518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371297154168835,0,0.507216929694931,0.123930696948298,0,0,0,0,0.10347827841012,0,0.0413688740988772,0,0.0327067870722558,-0.0686169076083892,0,0,0.195234226570858,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095468188352444,0,0,0,0,0.0347144236177157,0,0,0.139497105639913,0,0,0,0,0.21715859617283,0.0551997045148055,0,0,0,0,0,0.217439370535292,0,0.20300252287368,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,-0.166721437637821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110132305114953,0,0,-4.33680868994202e-19,0.226764023585949,0,0,0.0512866913011318,0,0,0,0,0,0,0,0.0647830099840154,0,0.261420556598253,0,0,0,0,0.347833527976284,0,0,0,0,0,0,0,-0.0955722163570756,0,0,0.121886031265901,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0915019932031868,0,0,0.0973370599495935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294906947793278,0,0,0.265611637752835,0.0801791345869376,0.157949207589068,0,0,0,0,0,0,0.062753037500769,0,0,0,-0.0208285607642818,0,0,0.0963974932577172,0
X601236.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0824129356674245,0,0,0,0,0,-0.00848731678039843,0,0,0,0,-0.0842302555359725,0,0,0.0295445932234497,-0.0687248467312716,0,0,0.350382036082111,0,0.196231575467642,0.525479434978331,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.022354710632422,0,0,0,0.0585304711781667
