,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.247386346759809,0,0.0322146841296386,0,0,0,0.0491970607666974,0,0,0,0,0,0,0,0,0.283611821075839,0.14555245456014,0,0,0,0,0,0,0.0725513112372361,0.0625003131947404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101367338212791,0,0.104914487454858,0,0,0,0,0,0
X002142.CH.EQUITY,0.30382417194146,0,0,0,0,0.167966840055572,0,0.3183009377533,0,0.0546085573927719,0,0.139104458322993,-0.252203461530507,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484431559449679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216644293867124,0,0,0,0,0,0,0,0,0,0.203302887310044,0
X600000.CH.EQUITY,0,0,0,0,0.201755572753545,0.0466605045506743,0,0,0.206886755364071,0,0,0,0.0212163419542497,-0.0932684189577949,0,-0.032719640375377,0.242481924937286,0,0,0,0.294079556343431,0,0,0,-0.144319897202742,0,-1.0842021724855e-19,0,0,0,0,0,0.000388936563035512,0,0,0,0,0,0,0,0,0,0.0747160421507691,0.0650626515334776,0.0173982526082818,0,0,0,0,0,-0.183744218914717
X600015.CH.EQUITY,0,0,0.0534877528450621,0,0,0,0,0,0,0,0.434034068674658,0,0.276425659848302,0.033320082183404,0,0,4.33680868994202e-19,0,0,0.0268319855762911,0,0,-0.0495615583705188,0,0.128925291407743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656993338663217,0,0,0,0,0,0,-0.0491283275755138
X600016.CH.EQUITY,0.0384500610333418,0.137936528116339,0,0,0,0.052493348827649,0,0,0,0,0,0,0,0,0,0,0.153620047498445,0,0,0,0,0,-0.0766820038761842,0,0.430613092493436,0,0.466984138930067,-0.062522747253024,0,0,0,0,0.0241345539905185,0,-0.00196844146899528,0,0,0.237900560909016,0,0,0,0,0,0,0,0,0,0,0,-0.317129860065096,0
X600036.CH.EQUITY,0.197495184836744,0.0723741522559412,0.0882217285003208,0.101488651463458,0,0,0,0,0,0,0,0,0,-0.0137399591893913,0,0,0,0.0615180668187664,0.0862818125993262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721270015813233,0,0,0,0,0.0095631141693446,0,0,0.198029184686373,0,0,0,0,0,-0.101237564204409,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.0656772518394164,0,0,0,0.233843552368418,0,0,0,0,0,0.204199366994273,0,0,0,0,0.169578583259976,0,0.0219063853169605,-0.0541238542933884,0,0,0,0,0,0,0,0,-0.0145199732575136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334054933562913
X600926.CH.EQUITY,0,0.352512019688651,0,0,0,0.115858146313227,0,0,0,0,-0.0710371498150359,0,0,0,0,0,0,0.317638926489502,0,0,0,0,0,0.0758639408596022,0,0,0,0,0,0,-0.047113683333845,0,0,-0.0998747747457155,0,0,-0.0880291752022066,0,0,0,0,0,0,0.11600295346858,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.233864283931483,0,0,0,0,0,0,0,0.0356520363800151,0.413019695674377,0,0,0,0,0,0,-0.0211417119114182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883307557845025,0,0,0,0,-0.148430663418183,-0.0280421487883523,0,0
X601166.CH.EQUITY,0.142072198361463,0,0.161976077669831,0,0,0.218653184558137,0,0,0,0,0.136239532642496,0.291500898653706,0,0.0542270057560021,0,0.126637012247965,0,0,0,0,0,0,0,0,0,0.0102438356530585,-0.171026606400963,0,0,-0.0183070025395329,0,0,0,0.1646574006701,0,0,0,0,-0.223592171097457,0,0,0,0,0.100910264242278,0,0,-0.0860391372893,0,0,0,0
