,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.265666885803371,0,0,0,0.0383332607763858,0,0,0,0,0,0,0,0,0,0,0,0,0.233228140635327,0,0,0,0,0.0135193750097591,0,0,0,0,0,0,0,-0.0257470477252385,0,0,0,0,0,0,0,0.337916404717129,0,0,0.0452353270770767,0,0.0424204211745281,0,0
X002142.CH.EQUITY,0.168625290499883,0,0,0,0,0.110479045850488,0.165766267410999,0,0,0,0,0,0.049516418477223,0,0,0.0819430331651922,0,0,0,0.0506842414141022,0,0,0,0,0,0,-0.0654986852185917,0,-0.00430195135267894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139500374244688,0,0.0172520443630199,0,0,0,0.0384450882232741
X600000.CH.EQUITY,0,0,0,0.13623815448462,0,0.0260232049502857,0,0,0,0,0,0.230080995394032,0.0372802015158406,0.0682522656484454,0,0,0.214271069130817,0,0,0,0,0,0,0,0,0,0,0.0890057263177325,0,0,0,0,0,0,0,0.0813126450002599,0,0,0.0114302628421513,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.385862709442679,0,0.0774413181360527,0,0,0,0,0,0.0309280470507608,0,0,0,0,0,0,0,0.0434734921494029,0,0,0,0,0,0.508322036777819,0,0,0,0.0935189101771491,0,0,0,-0.112432052287557,0,0,0,-0.0123337025389549,0,0,0,0,0,0,0,0,0,0,-0.00806064708142897,0,-0.049665481272423,-0.0938887653761547
X600016.CH.EQUITY,0,0,0.132798522500825,0.0505304828516889,0,0,0,0,0,0,0,0,0,0,0.0858630454966346,0.0163339332844877,0.0182080425741084,0.210610728406161,0.143296015695703,0,0.108921057601216,0,0,0.124160713616149,0,0,0,0,0.0968244960010286,0,0,0,0.0764568928961918,0,0,0,0,0,0,0.126695799183312,0,0,0,0,0,0,-0.0242067741992541,0,0,0,0
X600036.CH.EQUITY,0.178825965697724,0.369516479483074,0,0,0,0,0,0,0,0.0235443874435001,0,0,0,0,0,0,0.039997206699702,0.090998219917366,0,0,0,5.42101086242752e-20,0,0,0,0,0.180475002994365,0,0,0,0.136438252844769,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329725706981393,0
X600919.CH.EQUITY,0,0.0289133153235489,0,0,0,0,0,0,0,0.0124094986477011,0,0,0,0.131673232738298,0.0216708697584567,0,0,0,0,0,0.187870457536843,0.0669703213327545,0,0,0,0,0,0,0,0,-0.0611477173812778,0,0,0,0,0,0,0,0,0,0,0.166265396089187,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,-1.73472347597681e-18,0,0.322939533901518,0,0,0,0.0266738384857039,0.187185455274305,0,0,0,0,0,0,0,0,0,0,0,0.0342733661140734,0,0,-0.0249114734112989,0,0,0,0,0,0.0659585275052767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253009796673927
X601009.CH.EQUITY,0,0,0,0.0502666036600658,0,0,0,0.427924582317358,0,0.369693956050951,0,0,0,0,0,0,0,0,0,0.00797053937977766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851472003511089,0,0.0671721415409082,0,0,-0.0214354620125286,0,0,-0.192627537295888
X601166.CH.EQUITY,-1.38777878078145e-17,0.179495317878624,0,0,0,0.127237476965648,0,0,0.233257119059411,0,0,0,0.0349703300034423,0.158296276351104,0,0,0,0,0,0.0255581712416237,0,0.105938832122997,0,0,0,0,0,0,0,0,0,0,0,0,0.0131568138463046,0,0,0,0,0,0.0374510345278455,0,0,0,0,0,0,0,0,0,0
