,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.049875920302812,0,0,0.238135639509117,0.0989383040628653,0,0.0213141394366416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047428105314215,0,0,0.169975609125974,0,0.0812474784611089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145709507704782,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0548912833424635,0,0,0,0,0,0,0,0,0,0,0.0387743486262679,0.0723601317319757,0.16538331267553,0,0,0,0,0,0,0,0,0,0,0,0.0253682134814728,0,0,0,0.0618804071036636,0,0,0.693003591876952,0,0,-0.17305479289531,0,0,-0.0356695695782266,0
X600000.CH.EQUITY,0,0,0,0.256969363078395,0,0.203147472260903,0,0,0,0,0,0.0335098830258476,0,0,0,0,0.386500839919899,0,0,0,0.070375271574338,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159955750783309,0,0,0,0,0,0,-0.110417486190268
X600015.CH.EQUITY,0,-0.00501064907423386,0,0,0,0,0.632235014078224,0,0,0,0,0.0747111005407751,0,0,0,0,0,0,0,-0.0115580004535481,0,0,0.00361394866602404,0.276636633001696,0,0,0.192322663486422,0,0,0,0,0,-0.0497699522518229,0,0,0,0,0,0,0,0,0,0,0,0,-0.087461183828545,0,0,0.0102591479501887,0,-0.0220200330341771
X600016.CH.EQUITY,0,0.132679437726289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0725158152226055,-0.0619155753605082,-0.0614226549305606,0.700898688194088,0,0,0,0,0,0,0,0,0,0,0,-0.0136863659932403,0.094990438372849,0,0,0,0,0,0,0,0,0,-0.113453385380182,-0.189723213196775,0,0
X600036.CH.EQUITY,0.105717894273972,0.0941854887986286,0.126792363956692,0,0,0,0,0,0,0,0.353806499794338,0,0,0,0.0202729686460792,0.00231768487183721,0,0,0,0,0.0130684188361243,0.11795437389818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130230350940288,0,0,0,0,0,0,0,0,0.080082378269565,0
X601009.CH.EQUITY,0.0560774043488772,0.0607767060823553,0,0.808596251363405,0,0,0,0,0,0.104470972770304,0,0,-0.0764075484188977,0,0,0,0,0.0203077585251906,0,0,0,0,-0.0406543219233374,0,0.0869284884884679,0,0,0,0,0,0,-0.03135955169114,0,0,0,0,0,0,0,0,-0.116837525536256,0,0,0,0,0,0.0285447244594497,0,0,-0.0376979239193162,0
X601166.CH.EQUITY,0,0,0.0401987585001937,0,0.0688055066563202,0.175342865444049,0.00907059020591071,0,0.352281955033364,0,0,0,0,0,0,0.249257361760948,0,0.0487485388451383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696226983562231,-0.0121368180135337,0.0262696990757123,0,0,0,0,0,0,0,0,0,0.0202522655831282,0.00852186006279089
X601169.CH.EQUITY,0,0,0,0,0,0,0,0.0106484645704803,0,0,0,0,0,0,0,0.720742184052886,0.124036169710752,0,0,0,0,0,0,-0.0291512454991384,-0.0251208143549924,0,0,0.0380516436974668,0,0,0,-0.0554411328486786,0,0,0.076267853715328,0,0,0,0,0.0070739107252278,0,0,-0.00835524649395137,0,0,0,0.0733538542278342,0,0,0,0
X601229.CH.EQUITY,0,3.46944695195361e-18,0.0926662376715268,0,0,0.171532018230586,0,0,0,0,0,0,0.24709485255521,0,0.164678896520696,0,0,0,-0.329480620252811,0,0,0.295079690825874,-0.0510255297187339,0,0,0,0,0,0,0,0,0,0,0,0,0.0104848522743561,0,0,0,0,0,0,0,0.143701759212533,0,0,0,0,0,-0.128223259182905,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804133421397452,0,0,0,0.0934055514379031,0.00212333714984425,0.0600542023561046,0,0,0,0,0.0685306646871344,0,-0.0268438770230945,0,0,0.0577554344013884,0,0,0,0,0,0,0.0339250500923941,0.00329831612548723,-0.143655113839728,0,0,0,0,0,-0.0511651548915937,0,0,0,0,-0.00769677926077228
X601328.CH.EQUITY,0,0,0.0289697405069829,0,0.37320235353727,0.112180286044792,0,0,0,0.25014209730478,0.0463506452193328,0,0,0,0,0.0205492479280401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.0671686433499001,0,0,0,0.191641861982752,0,0,0,0,0,0,0,0,0,0,0.560379837302991,0,0,0,0,0,0,0,0,0,0,0,-0.264364109927835,0,0,-0.163747586981738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158618250111058,0,0.0157102156013947,0
X601818.CH.EQUITY,0,0,0.0583439057129122,0,0,0,0,0,0,0,0.0833079978558539,0,0,0,0,0.0410898791579605,0,0,0.204749620639985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721504034499634,0,0,0,0,0,0,0.0528169398546361,0,0,0.0185352226465723,0,0,0,0,0.198183858848258,0
X601939.CH.EQUITY,0.014576766962319,0,0,0,0,0,0,0,0,0.0336912590615392,0.735842031015365,0,0,0,0,0.00119115373986943,0,0,0.146899388018762,0,0.0523385204410418,0,0,0,0.010681519062253,0,0,0,0,0,0,0,-0.0148699375742731,0,0,0,0.0598318505537115,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.0273775990340831
X601988.CH.EQUITY,0,0,0,-0.0679588557195609,0,0,0,0.0839048120404851,0.939846820183634,0,0.0646161179532243,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249358081441856,0,0,0,0,0,0,0,-0.104661197821101,0,0,0.0225976235065138,0,0
X601998.CH.EQUITY,0,0,0,8.67361737988404e-19,0,-0.0714383021027512,0.237628072045449,0,0.477186106353564,0,0,0,0.197698972496407,0,0,0,0,0,0,0.0194001726825801,0,0,0,0.0113978248780547,1.73472347597681e-18,0,0.228771450323098,0,0,0,0,0,0,0,0.0184617130900455,0,-0.0655357814607841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0.250434771405334,0,0,0,0,0,0,0,0,0,0.199376303139159,0,0,0,0,0,0,0,0.116376267614283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368331700849922,0,0,0,0,0,0.0311057938226203
X601916.CH.Equity,0.0580148743561689,0,0,0,0,0,0,0,0,0,0.63274292849972,0,0,0,0,0,0,0.202757073125767,0,0,0,0,0,0,0,0.120332286063138,0,0,0,0,0,0,0,0,0,0,0,0,0.0563957412382225,0,0,0,0,0,0,0,0,0,-0.134704676496198,-0.100524248171007,0.107717744015354
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104035034249668,0,0,0,0.173567750184008,0.477121851995566,0,-0.0014734023457262,0,0,0,0,0,0,0,0,0,0,0.0858060359159281,0,0,0,0,0.042675257830269,0,0,0.0160550883416202,0,0,0,0.100367204106679,-0.0191131967071441,1.73472347597681e-18,0,0.0428658319755657
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545570963736541,0,0,0,-0.0978970453010802,0,0.265275022333337,0,0,0,0,0,0,-0.174232679226022,0,0.0941228167990573,0,-0.0856384989820174,0,0,-0.0900808420397393,0,0,0,0,0,-0.1391673271786,0.166758640017098,0,0,0.0883715934730601,0
X5.HK.EQUITY,0,0,0,0,0,0.013367551835853,0,0,0,0,0,0,0,0,0,0,0,0,-0.159681768271096,0.500114224324267,0.26369006489592,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1654336200073,0,0,0,-0.0121748023283524,0,0,0,0,0,0,-0.0468775078207219,0,0.0757061531573995,0,0,0
X2884.TT.EQUITY,0,0.153974915685739,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136865593901408,0,-0.113308976661781,0,-0.046013347684225,0,0,0,0,0,-0.157850957714951,0,0,0,0,0,0.928499174775281,0,-0.0274457841655923,0,0,0,-0.024264157889532,0,0.0645979308281896,0,0,-0.23519472332455,0,0,0,0,0,0,0,0.222793478913221
X2886.TT.EQUITY,0,0.124116226613358,0,0.0892423028926183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267461672694548,0,0,0.16109761539399,0,0,0,0,0,0,0,0,0,0,0,0,-0.129076552158857,0.0786922589614969,0,0,0,0,0,0,0,0,0,0,0,-0.165557909310127
X2891.TT.EQUITY,0,0.0523897926437914,-0.222506928684353,0,0.820864005334627,0,0,-0.216968765609388,0,-0.199378729280941,0,0,0,0,0,0,0,0,0,0.15853365671183,0,0,0.0424783786730961,0.0553146038033427,0,0,0,0,-0.146687100579298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39795590253849,0,0.0712286235355366,0
X000166.CH.EQUITY,0.133542096242463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357611044259634,0,0.0214746062172272,0,0,0,0,0,0,0,0,0,0.319019791864156,0,0,0.136311588955492,0,0,0.0849478898702475,0.00243511741095645,0.054681892496346,0,0,0,0,0.0503715952650388,0,0,0,0.0123590398022973,0,0,0
X000776.CH.EQUITY,0,0,0,0.00386393982159231,0.171289643915147,0,0,0,0,0,0,0,0,0,0,0,0.0674039537202703,0,0,0,0,0,0,0,0,0.0250717828020866,0,0,0,0,0.187663541792178,0.00282306135262049,0,0.112280807325024,0,0.11427881627345,0,0,0,0,0,0,0.437452148093147,0,0,0,-1.0842021724855e-19,0,0,0,0
X002736.CH.EQUITY,0,0.0884818032271217,0,0,0,0,0.136307266682271,0,0,0,0,0.0868549389569532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228926295285577,0,0,0.0443994178953913,0.281767521528106,0,0,0,0.0285457843063382,0,0,0.0706315395315727,0,0,0.155414573663262,0,0,0,0,0,0,0,0.0598540386755777,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774043920990985,0,0,0,0.0767679361599754,0,0.0315394015278396,0,0.0633079289420864,0.29722841590913,0,0.123905382227346,0.0535228800547183,0,0.243530851276155,0,0,0.0202098701070944,0,0,0,0,0,0,-0.0933028805246189
X600030.CH.EQUITY,0,0,0,0.0263661656912859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0702812290308463,0,0,0,0.131635106289584,0,0.180595438125122,0.00848272629314609,0,0.0602789475967351,0,0.248095117904319,0,0.139201607928743,0,0,0.0469615598367894,0.0620558315093617,0,0.0766807028810892,0,0,0,0,0.132679159185773,-0.0598092598346081,0,0.0985169773839347,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396657461999543,0,0.0482651720484619,0,0,0,0,0,0,0,-0.031424600523456,0.0711979755611766,0.185002106465935,0,0,0,0,0.0389050401986095,0.539367297422893,0,0.111118693610217,0,0,-0.0120530226519072,0,0,0,0.021813579040286,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0.051854720134934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56912028665396,-0.0857867846392793,0,0,0,-0.00549487715251838,0,0,0.174614686649943,0,0,0,0,0,0.135117760122962,0,-0.0392189496238459,0,0,0,0,0,0,0,0,-0.00677761285378084,8.67361737988404e-19,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760804607018814,0.0379411379615489,0,0.00861602487458654,0.0952857248718331,0.12805466064832,0.41168952134795,0.253989608123256,0.00269100402253986,0,0,0,0,0,0,0,0,0.0130260785760064,0,0,0,-0.018382578245861,-0.0237265674254732,0,0,0.0624707381302979,0,-0.0506832451219427
