,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.803292423172601,0,0,0,0,0,0,0,0,0.170536935730133,0,0,0,0,0,0.051363879529357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715736406466413,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0.111622316235943,0,0,0.182619292393487,0,0,0.20379525127207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118315736447976,0,0,0,0,-0.00739890148480012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335352491537514
X600000.CH.EQUITY,0,0,0,0,0.731605384435928,0.163542278249449,0,0,0,0,0,0,0,0.0675008289798146,0,0,0,0,-0.0732546200255182,0,0,0,0,0,0.000430662786276106,0,0,0,0,0,0,0,0,0,0.0473191234849056,0,0,0,0.114443151255039,0.0801289297244579,0,0,0,0,0.0624028254417694,0,-0.170415332692464,0,0,0,0
X600015.CH.EQUITY,0,0,0.0592054060889214,0,0.0764580280837544,0,0,0,0,0,0.0823541435657311,0,0.076536881994118,0,0,0,0,0,0,0.320340672270718,0,0,0.0432203581071847,0,0,0,0,0,0,0,0,0,0,0,0,0.0516690060580643,0,0,0,0,0.202876775774618,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.209556898550222,0,0,0,0,0,0,0.0174276603586563,0,0,0,0.0242695154246585,0,0,0.327572371079646,0.276260762933171,-0.121320434654566,0,0.139336880871193,0,0,0,0,0,-0.0300841624451764,0,0,0,0,0,0.0840674132553218,0,0,0.189249710512033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0410767778858247,0.133435489895763,0.112202532628886,-0.0982458464216399,0,0,0,0.245630937282328,0,0,0,0,0,0,0,0,0,0.247338132712015,0,0,0,0.113876958563289,0,-0.0198471419175338,0,0,0,0,0,0.166680089281332,0,0,0,0,0,0.156723687300623,0,0.15381206933949,0,0,0,0,0,0,0.227548138735109,-0.125788453708648,0,-0.35627492112821,0,0,0.187083227734232
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.428531891803426,0,0,0,0,0,0,0.0584391193839569,0,0,0,0,0,0.0204972919697454,0,0,0,0,0,0.0191224797201803,-8.67361737988404e-19,0,0,0.14666093239299,0,0.100930400178335,0,1.73472347597681e-18,0,0.2047800465227,0,0,-2.16840434497101e-19,0,0,0,0,0,8.67361737988404e-19,0.126085180123438,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0.0278458380070961,0,0,0,0,0,0,0,0.298833193440809,0,0,0,0.274652089459699,0,0,0,0,0,0,0.306585558012229,0,0,0.0159953376978885,-0.251224599305086,0,0,0,0,0,0,0,0,0,0,0,0.100202055550554,0,0,0,0,0,0,0,0,0,0.0343699973963475
X601009.CH.EQUITY,0.0395419275022799,0.223359033138835,0,0,0,0,0.483228600693044,0,0,0.282299271260874,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052259452362878,0,0,0,0,0,0,0,-0.0600420603833573,0,-0.0858724999653129,0,0,0,0,0,0,0,0,0,0,0,0,-0.10492661640942
X601166.CH.EQUITY,0,0.00466005135200859,0,0,0,0.0496417005362587,0,0,0.121939256267614,0,0.0671576518067636,0.132845991905295,0,0,0,0,0.0466197652756177,0.08657931242814,0.219747113451845,0,0,0,0,0,0,0.106543480264956,0,0,0,-0.0391014967974733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0126553274144834,0,0,0,0,0,0.120440616796451,0,0,0,0,0,0.0981568001655629,0,0,0.275365272070455,0.141540752311271,0,0.0171393680661344,0.0454740379227118,0.22762950971385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107330529883241,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.00367556613836068,0,0,0,0,0,0,0,0,0,0.108762508386207,0,3.46944695195361e-18,0,0,0,0,0.214706288781565,0,0.127330562850651,0,0,0,0,0,0,0,0,0,0,0,0.0729139770858634,0.0876478193470658,0,0,0,0.115658977645821,0.105991927061093,0,0.111342907334631,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.368306242691682,0,0,0,0,0,0,0.0151151806608529,0,0.0911686158052999,0,0,0,0,0,0.0890263615499719,0,0,0,0,0,0,0,0,0,0.0082534785535764,0,0,0,3.46944695195361e-18,0,0.00715199539417823,0,0.0629712927808805,0,0.09063080989032,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.071038441116639,0.142763561939435,0,0.00147068290952404,-6.93889390390723e-18,0,0.11462155422264,0,0,0.151118857109041,0,0,0.0954761808793071,0,0,0.0330277381134506,0.121723362670008,0,0,0.00520700458351288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537555465364079,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0.0698452335110338,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.224544296139674,0,0.326829758944841,0,0.0385963997988645,0.0642953345181551,0,0,0,0,0,0,0,0,0.00205075344857356,0.0426678783280337,0.0624089233359907,0,0,0,0,0,0,0,0.128980567829276,0,0,0,0,0,0,0,0,0.0182455551923555,0
X601577.CH.EQUITY,0,0,0,0.266311504523282,0,0,0,0,0,0.0809585360207943,0.0304944963205573,0,0,0,0,0,0,0,0,0,0,0,0,0.317513657499073,0,0,0,0,0,0,0,0,0.0177410759456775,0,0,0,0,0,0,0,0.143544482152615,0,0,0,0,0,0.112682475772848,0.0383205001962062,0,-0.0113535209933126,0
X601818.CH.EQUITY,0,0,0.0638690019070014,0.316980490500498,0.0952147221831598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066276203696476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120089370336476,0,0.106321189011052,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0.0883960308102068,0,0,0,0.131454800257482,0,0,0,0,0,0.151668903813788,0,0,0,0,0,0,0,0,0.00763979768041351,0,0,0,0,0,-0.0746763131880494,0,0,0,0,0,0,0,0,0.183420166219095,-0.0225364949300686,0,0,0,0,0,0,0,0,0,0,0,-0.0538033473336238
X601939.CH.EQUITY,0.168478676688868,0,0,0,0,0,0,0,0,0.296617693395998,0,0,0,0,0.130612275633766,0,0,0,0,0.100477244004444,0.085795123951092,0,0,0,0,0.0324862883369136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0464326463762714,0,0,0,0,0.00605760425525328,0,0,0,0,0,0,0.412809775030872,0,0,0,0,0,0.200933091555841,0,0,0,0.168888990525816,0,0,0,0,0,0,0,0.0942637870343121,0,0,0.0924017407798762,0,0,0,0,0,0,0,0,0,0.0499407509575473,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.0485251330523747,0,0.032778654669008,0,0.0260695724415756,0.0419248841599647,0,0.416616843528266,0,0.0238235135239062,0,0,0,0,0,0.0344024591028018,0.0544159797729745,0,0,0,0,0.0360124038985875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640203896424296,0,0,0,0.0702073527525236,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0887055264746554,0,0,0,0,0.0752664917861883,0.0446758637515723,0,0,0.449296591871842,0,0,0,0,0,0,0,0,0,0.0223735855943088,0,0,0.301231800507387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.00773904405924907,0,0,0,0,0,0.389518190506281,0,-0.210769631882241,0,0.210257646993579,0,0,0,0,0,0,0,0,0,0,-0.0481727738731459,0,0,0,0.124988902721238,0,0,-0.00804548190149138,0.284987997604583,0.329480606634443,0,0,0,-0.216644435170616,0,0,0,0,-0.0449721016426171,-0.0239270518114162
X601077.CH.Equity,0,0,3.46944695195361e-18,0,0,-0.0300107442166096,0,0,-0.060114294111602,0,0,0,0.0451883508025549,0.330354587867453,0,0,0.300825033368141,0.0993864292421652,0,0,0,0,0.065472907846182,0,0,0,0,0,0,0,0,0,0,0,0.258401174089986,-0.164330665585759,0,0,0,0,0,0,0,0.125046597966659,-0.0131690020411563,0,-0.0499903180698177,0,-0.0176669914274247,0,0
X11.HK.EQUITY,0.172168304005474,0,0,0,-0.0413278944259083,0,0,0.580232532448141,0,-0.803135768920417,0,0,0,0,0,0,0,0,0,0,0,0,-0.349637687547407,0,0,0.488053987002985,0.524487090650882,0,0,0.169630360664908,0,0,0,0,0,0.00556378822323844,0,0,0,0.050714595400711,0,0,0,0,0.225767628067829,0,0,0,0,-0.330337893218314,-0.202938289358672
X2388.HK.EQUITY,0,0,0,-0.0244382185025242,0,0,0,0,0,0.109652212866152,0,0,0,0,0,0,0,0,0.376651923657559,0,0,0,0,0,0.0842280356531136,0,0,0,0,-0.1187494583989,0,0,0,0,0,-0.0633926975067401,0,0,0.102252755157024,0,0,0,0,0,0.174976444132919,-0.0563798670397125,0,0,0.0533130761458817,0.113720097309443,-0.368935414645244
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616141931271822,0.277761245221841,0,0.0772014978596011,0,0.0353763995159841,0,0.179382220135114,0.130831099403818,0,0,0,0,0.0442840503535358,0,0,0,0,0,0,0.0863884217179759,0,0.120273156440951,0,0.0640013309094215,0.0194365717076222,0
X2880.TT.EQUITY,-0.0773909557319493,0,0,0,0,0,0,0,0,0,0,0,0,0.137667838190027,0,0,0,0,0,0,0,0,0.167358608642621,0,0,0,0,0,0.160994605119342,0,0,0.186986791702353,0.0355728264772297,0,0,0,0,0,0.13096573866025,0,0.0388310154742584,0,0,0,0,0.155182461417707,0,-6.93889390390723e-18,0.0555581687535359,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357382949509833,0,0,0,0,0,0,0,0,0.1507659556509,0,0.0921231039813644,0,0,0,0.387007364713675,0,0,0,0,0.0414036290561696,0,0.135929369387049,0.267726646655328,0,0,0,0,0,-0.0102788877429328,0,0.178734457391167,0,0,0,0
X2886.TT.EQUITY,0,0.075322892164183,0,0,0,0,0,0,0.0354626319169747,0.0884750523430123,0,0,0,0,0,0,0,0,0,0,0,0,-0.161300385028094,0,0,0,0,0,0,0,0,0.220332598524133,0.0208174016352974,0,0,0,0,0,0,0,0,0,0.112426688929226,0.0815218722780606,0,0,0.372193029789663,0.0386054005540029,-0.0960138352382641,0.0819314179574066,0.0282184911254667
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0.0419049623768076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463647289389099,0,0,0.180730575727226,0,0,0.414700530548457,0,0.117399026545128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251198699836102,0.0268546512128044,0,-0.0500842877070117
X2892.TT.EQUITY,0,0.0420535997439189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152976139185175,0,0,0,0,0,0,0,0,0,0,0.26318717831386,0.189032770817283,0.0448654860739688,0.152741533639363,0,0.0867331874706661,0,0,0,0,0,0.115542260123184,0,0,0,0,0,0,0.0363999569278567,0,0,0,0,0
