,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0.0390222714370513,0.100327028995928,0.268123546519912,0,0.0205342866802201,1.73472347597681e-18,0,0,0,0.0857938057088932,0,0,0,0,0,0,0,0,0,0,0,0.0275065202858919,0,0.0196269426303478,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-8.67361737988404e-19,0,0,0,0.102305591996365,0.0298123891214184,0
X002142.CH.EQUITY,0.0793846373155641,0,0,0,0,0.0510129828502816,0.106203190092321,0.349043777411292,0,0,0.0357297452256368,0,0,0.0450027798549677,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,-0.144127800650029,0,0,0,0,0,0,0.123025579033855,0.181234850807689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0698351840334783,0.0788165731371059,0,0,0.0986435555667621,0.124478648075177,0,0,0,1.38777878078145e-17,0.0665633664365206,0,0.112794107067209,0,0,0,0,0,0,0,0.0375123712983411,0,0,0,0.0264433493850067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118940734184037,0,0,0.0896012420118975,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0.204057260256109,0,0,0,0,0,0,0,0,0.104748666725683,0,0.0816109311542875,0.305338804025818,0,0.103226340934455,0,0,0,-0.0374736187385682,-0.0450430786375249,-6.93889390390723e-18,0,0,0,0,0,0,0,0.335185967265699,0.0599073614416264,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0766878332044401
X600016.CH.EQUITY,0,0,0.0896821302826021,0.254402878467916,0,0,0,0,0.367334269670559,0.00567058975352051,0,0.0533692097382319,0.0237036231468084,0,0,0,0.0806992528597102,0,0,0,0,0,0,0.109431055813721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381336052161112,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.711859337647813,0,0,0.0905969467090507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258148638654502,0,-0.0137279384018101,0,0.0329396312544954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735026203259634,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0.0142002745480375,0,0.258659846993649,0,0,0,0,0,0,0,0,0,0,0,0,0.265104841655108,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0652567060698309,0,0.244360127862906,0,0,0,0,0.0652469796554482,0,0,0.0231128900621113,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.234187019348707,0,0.214860882670292,0,0,0,0,0.374669824816383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608967568448716,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0346268803361959,0,0.259651721386304,0
X601166.CH.EQUITY,0,0,0.131610635925007,0,0.0991069225078977,0.173831993772576,0,0.0530507164490664,0,0,0,0,0,0,0,0.192938772548078,0,0,0,0,0,-0.0552825764405947,0,0,0.0456810081674881,0,0,-0.0376443065173845,0,0,0,0,0,0,0,0,0,0,0.043183204248697,0,0,0,0.120084243225257,0,0,0,0.103617508606543,0,0
X601169.CH.EQUITY,0,0,0,0,0,0.0256804099369784,0,0,0,0,0.0712174469178631,0,-1.73472347597681e-18,0,0,0,0.18327336878777,0.172152232903927,0,0.00714554334538935,0,0,0,0,0,0,0.0643364657140211,0,0,0.0706839346049964,0,0.0758497266806692,0,0,0,0,0,0.0747988860027424,0,0,0.0785792273712655,0,0.000581208412403859,0.0933884671619307,0,0,0,0,0
X601229.CH.EQUITY,0,0.0402298526877873,0,0.170007248530668,0,0,0,0.0476701907809891,0,0,0,0,0,0,0.238077005409544,0,0,0,0,0,0,0,0,0,0,0.225564952244183,0,0,0,0,0,0,0.155997378711621,-0.0935813143270321,0.0507004977191203,0,0,0,0,0,0,0.0619800006479085,0,0,0,0,0,0,0.0472309704689873
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.0710266142829053,0,0,0,0,0.253075473884509,0.188059204549374,0,0.288440195132526,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510407484725968,0,0,0,0,0.0973658777244033,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0381118777797911,0,0,0,0.0160127061071708,0,0,0,0.310273693533929,0.0684045534624882,0.0923079877508636,0,0,0.017077983898476,0.0353177534766885,0,0.149739774287017,0,0,0,0,0,0.0544407136995409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210533756802326,0,0,0,0,0,0,0,0.0168890060494415,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.0355549309740736,0,0.109773564870067,0,0,0,0.201704285251372,6.93889390390723e-18,0,0,0.34894337886094,0,0,0.0182269384354021,0,0.0551194264483586,0.017409707957295,0.0144622313937979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675399368546014,-4.33680868994202e-19,0,0,0.0913801454057633,0,0,0,0,0.00768650108935599,0,0
X601818.CH.EQUITY,0,0,0.0925564005312506,0,0.10990013643873,0.220578013648248,0,0,0,0.0415012530999391,0.0688488144672668,0,0.0998911070244139,0,0,0.155585868609547,0,0,0,0,0,0,0,0,-0.107704993172816,0,0,0,0,0,0,0,0,0,0,0,0.0421451435369414,0,0,0,0.161419117373258,0,0,0,0,0,6.93889390390723e-18,0,-0.0380359974255348
X601939.CH.EQUITY,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0955247497343612,-4.33680868994202e-19,0,0.189680829603479,0.0202767718071741,0.488284433354694,0.0376666938447838,0,0.0807783145226491,0,0,0,0,0,0,0,0.0258776638990579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.297073235742812,0,0,0,0,0,0,0,0,0,0,0.291148696114291,0,0,0,0,0.0950237451485269,0,0,0,0,0,0.0261684073616826,0,0,0,0,0,0.0266078948071286,0,0,0,0,0,0,0,0,0.143342964148672,0.221233757787826,0,0,0,0,0,0
