,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.239630912724806,0,0,0,0,0,0.287340641761985,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.108921035171427,-0.0574105527557735,0.191007047617022,0,0,0,0,0,0.136037142732803,0,0.106629509808384,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00068831396874398,0,0,-0.168697905902241
X002142.CH.EQUITY,0.386341489873551,0,0,0,0,0,-0.0421296086100494,0,0.0701393149606703,0,0,0,0,0.0168342409969717,0,0.297685627796178,0,-0.0327926396135799,0,0,0,-0.0895849311975855,0,0,0,0,0,0,0,0,0,0.0445014804410301,0,0,0,0,0,0,0,0,0,0,0,0.0946842838007643,0,0.125770628586219,0,-0.0680823633607839,0
X600000.CH.EQUITY,0,0,0,0,0.0268367488974674,0.330524269706771,0.125118501638091,0,0,0.113808199769046,0,0,1.73472347597681e-18,0,0,0,0,0.13549123124408,0,0,0,0.282685147260041,0,0,0.0547543314857062,0,-0.0892976390694428,0,0,0,0,0,0,0,-0.13073361946728,0,0,-0.156603941456384,0,0,0,0,0.276823962175451,0,0,0,0,0.0566859742229081,0
X600015.CH.EQUITY,0.0357533657621572,0,0.110450384041821,0,0.232250445515901,0,0,0.0488179753550762,0,0.472312268422588,0.0229429809495336,0,0,0,0,0,0.0158963335316583,0.0114638014736841,0.0206739390762715,0,0,0,0,0,-0.00835243222439824,0,0,0,0,0.0598554160131058,0,0,0,0,0,0,0,0,0.123956628381202,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.169155185164094,0,0,0,0.127985423568187,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0498885527730549,0,0,0,0,0,0,0,0,0,0,0,0.150379083823742,0,0,0,0,0,0,-0.823806653382596,0,0.0897212186604655,0,0,0,0,0.0500140195516575,0,0,0.058692037626586,0.0841329259480776,0.0923087816025519,0
X600036.CH.EQUITY,0,0.053471780396735,0.343867895044108,0,0,0,0.302978613644835,0,0.0159672779217812,-0.0428900404566487,0,0,0,0,0.201235068718212,0,0,0,0,0,-0.108989312529516,0.0971530935552543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203525600558786,0,-0.152225109779084,0.254528959309258,0.238731823160113,0,0.0772367022886438,0.0267403036685126,0,0,0,0,0,0
X600919.CH.EQUITY,-0.00188176797142936,0,0,0,0,0.725942390695787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.143271687235035,0,0,0,0,0,0,0,-0.92047318920257,0,0,0.400095068347712,0.142428495345864,0.0674234124102351
X601009.CH.EQUITY,0.00586499287690697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508889919076686,0.0324372635350364,0,0,0,0,-0.0984989991709321,-0.289749028804404,0,0.164207721314265,0,0,0,0,0,0,0,-0.0226379526122979,0,0,0,0,0,0.213874551063004,0,0.460043524246068,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.187855966792307,0,0,0,0,0,0,0,0,0,0.231046641101233,0,0,0,0,-3.46944695195361e-18,0,0,-0.0908724060687007,0,0,0,-0.0181730318666455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547185447629333,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,1.27849559059026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235792829893119,0.299308520979973,0,0.0113825952535203,0,0,-0.0649342890739328,0,0,0,0,0,0.0278454788056341,0,0,0,0,0,0,0,0,-0.329446433057111,-0.108835088791432,0,0,0,0,0
