,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600061.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.233884512538256,0,0.131357771363372,0,0,0,0,0,0,0.077413707494593,0,0,0,0,0,0.0948792363966342,0,0,0,0,0,0,0,0,0.00728864948406411,0,0,0,0,0,0,0,0.0216075714849446,0,0,0,0,0.0379331253775273,0.0828654030024455,0,0,0.0202966447706895,0.147615277956646,0,0,0,0,0,0
X002142.CH.EQUITY,0.277387369042648,0,0,0,0,0,0.0478471141660144,0,0,0,0,0,0,0,0,0,0.0360312128487976,0,0,0,0,0,0,0,-0.108685424920693,0,0,0,0,0,0,0,0.181068809742749,0,0,-3.46944695195361e-18,0.0071560332420688,0,0,0,0.145242038420889,0.123733150255572,0,0.0609956339148013,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.166361624085842,0.0227702838890033,0,0,0.27537072048829,0,0.178503316679065,0,0,0,0,0,0,0,0,0,0,0,0.12997160543159,0,0.19199726449043,-0.0410502295799784,0,0,-0.0437279382847572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117390679834644,0,0,0,0,0
X600015.CH.EQUITY,0.168967365153273,0,0,0,0,0.357820880837986,-0.0406577641355086,0,0,0,0,0,0,0,0,0,0,0.0183836174617072,0,0,0,0,-0.177308902501096,-0.39085340197133,0,0,0,0,0,0,0,0,0,0,0.00963087158997151,0,0.175764710166398,0,0,0,0,6.93889390390723e-18,0,0.0119769218102568,0,0,0,0,0,0
X600016.CH.EQUITY,0.0517305478562039,0.038044320304041,0.264548209572658,0.215106504401076,0,0,0,0.113654927478045,0,0,0.100239790300888,0.109023366229662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714574845425596,0,0,0,-1.73472347597681e-18,0.0508115111618682,0.0167491731978477,0,0,0,0,0,0,-0.0246132305840218
X600036.CH.EQUITY,0.435956640591674,0,0,0.258570561299956,0.0810645101912263,0,0,0,0,0,0,0,0,0,0.068329677975587,0,0,0,-0.132673208270131,-0.121962737265496,0,0,0,0.0561845904005586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855323888200349,0,0,0.0841584729418568,0.107894607028208,0,0,0.0902798847447149,0,0,0,-0.038877377547767
X600919.CH.EQUITY,0,0.0773731058124327,0,0,0,0,0,0.506720658307109,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0837642734119851,0,-0.0122241674210065,0,0,0,0.146850622002948,0,0,0,0,0,0.160169800162939,-0.196523475906765,0.270155118265012,0,0,0.0316151454186697,0,0,-0.0271062438774522,0,0,0,0,0,0,0,-0.114876303835743
X601009.CH.EQUITY,0.119951061660429,0.0851096080536794,0,0,0,0,0.3732986542689,0,0.189952594984056,0,0,0,0,0,0,0,0,0,0,0.167923919246515,0,-0.123137110371887,0,-0.0464102084821881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0707679284658267,-0.0197919774626081,0,0.206185236298861,0.0253871068118995,0
X601166.CH.EQUITY,4.33680868994202e-19,0,0.341950622638659,0,0,0,0,0.0736974514213545,0,0,0,0.199508093789721,0.0451424018745136,0.0110503119114252,0,0.101022385186093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863119728657772,0
X601169.CH.EQUITY,0,-0.0233781370800695,0,0.130029955250337,0,0.260469029977617,0,0,0,0,0.257893328525315,0.261401328206613,0,0,0,0,0,0,0,0,0,0,0.0876803067525892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891463407900481,0,0,0,0,0,0.00600017707910514
X601229.CH.EQUITY,0,0,0.357991914181295,0.290415727247631,0,6.93889390390723e-18,0,0,0,0,0,0,0.0896052282224412,0.0952890666849531,0,0,0,0,0,0,0,0,0,0.0201946924242814,0,0,0,0,0,0,0.116462764355337,0,0,0,0,0,0,0,0,0.171420030457181,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.188815198544642,0.0225235304326141,0,0.0679099668432217,0,0,0,0,0,0.0627808096059405,0,0,0,0,0.497766637747545,0,0,0,0,0,-0.0432159809938525,0.0885306256060068,0,0,0,0,0,0,0.000699326835965586,0,0,0,0,0,0.0554840802193642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
