,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.0333687024865425,0,0,0,0,0.160299357195378,0,0,0,0.391354632211232,0,0,0,0,0,0,0,0,-0.0613028739172891,0,0,0,0.262182345659986,0,0.0284299971786548,0,0,0,0,0,0,0,0,0,0,-0.0984368137865324,0,0,0,0.372298717084184,0,0,0,0,-0.0459569703093172,0,-0.188698487432756,-0.0858682250610985,0
X002142.CH.EQUITY,0.223697876535602,0,0,0,0,0,0,0.100109257231061,0.11491475567574,0,0.00152157531062176,0,0.00683752502443742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168370682588212,0,0,0.0215766636382374,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.196957123506129,0.0634136896356111,0.182334030904635,0,0,0.259109184883501,0,0,0.0289406726190191,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0943095186721981,0,-0.0288447204276922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175499890476685,0,0,0.015731683498765,0,0,-0.0200781759182457,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.0532510840082658,0,0,0,0,0.405552710266821,0.092906602826893,0,0.0790117990075412,0,0,0,0,0,0.106290702352537,0,0.0122062781925929,0,0,0,0,0,0,0,0,0,0.0337167207601541,0,0,0,0,0,0,0,0,0.0243816262839955,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0414918161852617,0.202265236742129,0.236693925894618,0,0,0,0,0,0,0.0831667558931086,0,0,0,0,0,0.272763996252355,0,0,0,0,0,0,0.0287492342963092,0,-0.10078412347543,3.46944695195361e-18,0,0,0,0,0,0.104384444637483,0,0,0,0,0,-0.0557797509797295,0,0.0840362572225737,0.190084941023524,0,0,0,0,0,0,0,-0.0917355794128588
X600036.CH.EQUITY,0,0.0519725275403441,0.127064303290024,0,0,0,0,0,0,0,0,0.0308348610492247,0,0,0,0,0,0,0,0,0.175724115203044,0,0,0,0,0.00579728912479787,0,0,0,0,0,0,0,0,-0.0735292701602553,0,0,0,0,0.451844150954269,0,0.0882026994486038,0.0642318780285471,0,0,0,0.0132251877816157,0,0,0.163518873761863
X600919.CH.EQUITY,0,0.0149930086909969,0.143870402754726,0.0739670522603116,0,0,0,0,0,0.47979336486589,0,0,0,0.0716289370949112,0,0,0.249076657976932,0,0,0,0,0,0,-0.101633125590966,0,0,0,0,0.0078775492194408,0,0,0,0.0588034693917904,0,0.0487916363734449,0,0,0,-0.0810656995859921,0.0534304994877285,0,-0.290848942351468,0,0,0,0,0,-4.33680868994202e-19,0,0.203150531333532
X601009.CH.EQUITY,0.609112841015897,0,0,0,0,0,0,0,0.0652327291408707,0,0,0,0,0.111645327930541,0.14806860156179,0,0,0,0,0,0,-0.205187051309553,0.106888572762149,0.0637613422042789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495367193217837,0,0,0,0.139136910997612,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.176244717703437,0,0,0,0,0,0.0435955769676356,0,0,0,0,0.3727393919672,0,0,-0.0647507764827585,0,0,0.0208894415367406,0,0,0.0809130514574269,0,0,0,0,0,0,0,0,0.0449458706084947,0,0,0,0,0,0,0,0.120640239491905,0.278173450912282,0,0,0,0,0,0.198259916287653
X601169.CH.EQUITY,0,0,0.186013753465665,0.529714394885227,0,0,0,0,0,0,0,0,0.215905196654843,-0.0361725170192086,0,0,0.219558070882373,0.0396901568362042,0,0,0.0688846936574213,0,0.128323293793044,0,0.00899653317078144,0,0,0,0,0,0,0,0,0,-0.0326685433152303,0,0,0,0,0,0,0,0,-0.142480707939922,0,0,-0.0133562890467297,0.0686352204834799,0,0
X601229.CH.EQUITY,0.184637269488012,0.0830797747495182,0,0.159773819918203,0.101354546908743,0,0.152178013332143,0,0.0205232625199277,0,0,0,0,0,0,0.393573382399305,-0.0651221960668612,0,0,0,-0.0856671634317114,0,0,0,0,0.0161294252851938,0,0,0,0.0201412983298053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.112519381141177,0,-0.0301165464137416
X601288.CH.EQUITY,0,0.0408744843158725,0,0,0,0,0,0,0,0.282031406111296,0,0,0.0997289079250479,0.129926889762441,0.124755597901022,0,0.0406381884801322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739661235453968,0,0,0,0,0,0,0,0.0172710331677068,0,0.0616833986700683,0,0.0592282482704733,0,0,0,0.0985109587144096,0,0
X601328.CH.EQUITY,0,0,0,0,0.0577903922549065,0,0,0,0,0.108383697960331,0,0.101141274509903,0,0.0241262178129928,0,0,0.392792152101366,0,0,0,0.0517945657968624,0,0,0.0444756581331109,0,0,0,0,0,0,0.0102057795881569,0,0,0.178717307896409,0,0,0,0,0,0.00821757211536898,0.0169676436101309,0,0.0952077867654844,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.1291626202813,0,0,0,0,1.0842021724855e-19,0,0,0,0.412113603121029,0.355383811389611,0,0,0,0,0,0,0,0,-0.0881616407671993,0,0,-0.197728597652686,-0.0789051976738879,0,0,0,0,0,0,0.265458275790841,0,0,0,0,0,0,0,0,-0.0663382504660484,0,0,0,0
