,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.204700393554363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685977349692332,0.134189830714597,0,0,0,0,0.0651952156176978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194982622249722,0,0.0625615879112091,0.185677639748863,0,0.0260664252054563,0,0,0,0.115825005723813,0
X002142.CH.EQUITY,0.0900699424246632,0,0,0,0,0.808337571575276,-0.109873325476646,0,0,0.0921035435624764,0,-0.388882618057955,0,0,0,0,0.0406857770918175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380748842634043,0,0,0,0,0,0,-0.0348889174383075,0.133254592744228,0,0,0.167921946934672,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0590672813988791,0.0767474546852218,0,0.220336473647145,0.0397195313871928,0,0.228897673755557,0.0992724768908121,0,0.118124214487843,0,0,0,0,0,0,0,0.0826542706869619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189428687566437,0,0,0,0,0.0210945499366734,0,0,0,0,0,0,0,0,-0.035538214686521,-0.0178332438055644
X600015.CH.EQUITY,0,0.0290989889432893,0,0,0,0,0.338196362018281,0,0.498772298461351,0,0.144728791912909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054777926395976,0,0,0,-0.391010766790978,0,0,0,0,-0.0337074907132057,0,0,0,-0.289965956706388,0,0,0.0280548141878257,0,0,0.168727585733135,0,0,0,0,0,0,3.46944695195361e-18,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.152123922410906,0,0.306548596355657,0.0773527793114547,0,0,0.144915028178593,0.283989400684265,0.100117794220629,0,0,0.0589044570131091,0,0,0,0,0,0,0.0734387893694984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023335552400297,0,0,0,0,-0.00758589028919934,0.0294138017395902,0,0
X600036.CH.EQUITY,0.0842459613271821,0.049753888866783,0,0,0,0,0,0,0,0,0.109481117308267,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.19514499789683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991277983801644,0.116448704259372,0.0219411343870344,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.661812160578752,0,0,0,0,0,0.104373510389817,0,0,0,0,0,0,-0.0144653005347731,0.0576216478753948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0602664751839666,0,0,0,-0.0274742332339613,0,0,0,0,0,0,0,0,0,0,0,-0.0740064752316976,0,0.0375359063855736
X601166.CH.EQUITY,0.111805667576034,0.0203199570317015,0.380257647437673,0,0,0,0,0,0,0,0,0,0,0.0350962940464126,0.205060160400678,0.0273912849638853,0,0.0330107796656206,0,-0.0100639422711732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199612142116915,0.0297090720089891,0,0,0.00870252838968172,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.193669630199391,0.159665062380316,0.616053466116658,0.0986379327308686,0,0,0,0,-0.135726532934924,0.0011154315785546,0,0,0,1.73472347597681e-18,0,0,0,0.0711154684326922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265512566015209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.275898144853434,0.13177701649109,0,0.0146630055912546,0,0.0780510433489174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142044605904693,0,0,0,0.215454984436634,0.0859021883063219,0,0,0,0,-0.0705815138612044,0,0,0,0,0,-0.101027484780816,0,0,0,0,0.138062223893833,0,0,3.46944695195361e-18,0,0,0,-0.26353036646745,0.0880278657012503,-0.274861766903672
