,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.293363447238272,0,0.0569281312003469,0,0,0,0.0297500080493028,0.202806942365153,0,0,0,0,0,0,0,0.109352719171938,0.0360136647826407,0,0,0,0,0,0,0.0626495526215658,0,0.142822455458055,0,0,0,0,0,0.0266660643548653,0,0,0,0,0,0,0,0,0,0.12594421725496,0,0,0,0,0,0,0.0754874841713545,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.04666227677128,0,0.393764434866873,0,0.0577077840254338,0.230972739630288,0,0,0,0,0,0,0,0,0,0,0,0.118952891614617,0,0,0,0,-0.166488882570409,0,0,0,0,0,0,0,0,0,0,0,0.0841351018396836,0,0,0,0,0,0,0,0,0,0.110170074392352,0.0153723385068579,0
X600000.CH.EQUITY,0,0,0,0,0.0994258823881365,0.439028874946847,0,0,0.0696408231837588,0,0,0.0839776039839204,0,-0.0343824119865718,0,-0.0765591913084592,0.056598930319891,0,0,0,0.435739200362226,0,0,-0.165403324605792,-0.0654612421480332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422331298915398,0,0,0,0,0,-0.0834468475147394,0
X600015.CH.EQUITY,0,0.0752439239968446,0.0473739103144931,0,0,0,0,0,0,0,0.385867687763941,0,0.149601605939325,0.179406876766465,0,0,0,0,0,0,0,0,0,0,0.0601620493511695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101020178672881,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.214014874307645,0,0.0048614450412923,0,0,0,0,0,0,0,0,0,0,0,0.00217029292749284,0.122890058184547,0,0,-0.0604684635344745,0,0.0507925570555196,-0.0505485479488203,0,0.405038164744636,0,0.420699704637112,-0.0557652338099446,0,0,0,0,0,0,0,0,0,0.280206961740901,0,0,0,0,0,0,0,0,0,0,0,-0.296612830366784,0,-0.0731277124396276
X600036.CH.EQUITY,0,0.144742007578531,0.0451691127318763,0.272934312223117,0,0,0,0,0,0,0.0372833704808241,0,0,0,0,0,0,0.0465234912520719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182239166301524,0,0,0,0,0.12781848367218,0,0,0.124111484375433,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0.0847587044421802,0,0,0,0,0,0,0.131973750027382,0,0,0,0.0433280959385934,0,0,0,0,0,0.355821494702287,0,0,0,-0.0543544099657068,0.0055067306236798,0,0.0936004386255604,0,-0.197288283877797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149582157673381,0,0,0,0,0,0,-0.00411006377735527,0
X600926.CH.EQUITY,0.0291437557334795,0.235540713019284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403995532003182,0,0,0,0,0,0.0299864149360353,0,-0.0366425775113534,0,0,0,-0.138317543101344,0,0,0,0,0,0,-0.0648744056909112,0,0,0,0,0,0.029577996323854,0,0,0,0,0,0,0,0,-0.0676187436886521
X601009.CH.EQUITY,0,0.0974099400017093,0,0,0,0,0,0,0,0,0,0.323307622899598,-0.0739410606981623,0,0,0,0,0,0,0.0317151592034569,0.344546325729724,0,0.0404882192747294,0,0,0,0,-0.102928083485824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137580967837282,0,0,-0.103101435806522,0,0,0,0
X601166.CH.EQUITY,0.103504855010755,0,0.187289658870909,0,0,0.233726674054106,0,0,0,0,0.0969545998080889,0.393590834150918,0,0,0,0.0744767700371992,0,0,0,0,0,0.212034248170352,0,0,0,0,0,0,0,-0.0757540562625103,0,0,0,0,0,0,0,0,0,0,0,0.0831159278427842,0,0,0,-0.00982019118266326,-0.0861410223460893,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.00379585157404551,0,0.19131517939407,0.290760692140792,0,0,0.218862045027198,0,0,0.0824541299953954,0.094942603355376,0,0,0,0,0,0,0,0.186695354732696,-0.150111272172149,0,0.0346854762760377,0,0,0,0,0,0,0,0,0.0240938862345027,0,0,0,0,0,0,0,0,0.0436448406133603,0,0.0341709404852565,0.223558374898933,0,0,0,0,-0.0973010378292297,0
X601229.CH.EQUITY,0,0.0401724292940999,0,0,0,0,0,0,0.164694850811159,0.21463912901501,0,0,0,0.127370540509251,0,0,0,0,0,0,0.00124842669873171,0,0.299409652145566,0,0,0,0,-0.0652201752105456,0,0,0,0,0,0,0,0,0.300748084113404,0,-0.0422803384062397,0,0,0.0569422151468469,0,0,-0.00863237627195271,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0963478561759938,0,0,0,0.364116839245732,-0.07752499908678,0.113068769960374,0,0,0,0,0,-0.0433359717991368,0.199961441165151,0,0,-0.0122906340512949,0,-0.0249244135606418,0,0,0,0,0,0,0.22497225306785,-0.014170095531979,0,0,-0.0852929895840023,0,0,0,0,0,0,0,-0.0739486443566024,0,0,0,0.280076386801604
X601328.CH.EQUITY,0,-0.105695226016182,0,0,0,0,0,0,0.0331393212587602,0,0,0.252182004080403,0.0807087107360708,0,0,0,0,0,0,0,0,0.239079035665276,0,0,0,0,0,0,-0.0143454310965298,0,0,0,0,0,0,0,0.0136757267458688,0,0,0,0,0,0,0.0809429847738162,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0.0276089933436075,0,0,0,0,0,0,0,0,0.0390741169772733,0,0,0,0,0,0,0.0171006864710103,0.222570764895792,0.36138812261287,0,0,0.0447595441741652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073461285509058,0,0,0.0361557210396079,0,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.421588759771349,0,-0.14855492792064,0,0,0,0,0,0,0.0432323716392977,0,0.0911260462707689,0.108820387647453,0,0.164966817454442,0,0,0.0753930347286479,-0.171011007452451,0,0,0,0,0,0,0,0,-0.2719923082345,0.55352266899514,0,0,0,0,0,-0.0610213120871671,0,0,0,0,0,0,0.0397180663242595,0
X601818.CH.EQUITY,0,0.040971951819102,0.23731795580876,0.00945069739149322,0,0.0759721449028219,0,0.0223911843171324,0,0,0,0,0.0369331337939478,0,0.250610243076964,0,0,-6.93889390390723e-18,0,0,0,0.157132609036598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,4.33680868994202e-19,-0.0277788667675701,0,0.258786301939897,0.562995641872273,0,0,0,0,0,-1.73472347597681e-18,0.0345903973727179,0,0,0,0,0,0,-0.0631854460630191,0,0.0449562275253635,0,0,0.0375937476445121,0.0234506674724475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135822980520877,-0.0681918256912201
X601939.CH.EQUITY,0,0,0.202146380346529,0.00918668761627856,0,0,0,0,0,0,0,0,0,0,0.341638358225859,0,0,0,0,0,0.0536309314500568,0,0,0.229634097379872,0,0,0,0,0,0,0,0,0,0,0,0,-0.0697523801051557,0,0,0,0,0,0.0533991987054631,0,0.0941743379048187,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.187982196760583,0,0.12720086457376,0,-0.0160789523661713,0,0,0,0,0,0,-0.309611487873097,0,0,0,-0.0550777481162625,0,0,0,0.218140488147958,0.19423803144281,0,0,-0.0727609613238486,0,0,0,0,-0.213050314461804,0,0,0,0,0,0,0,-0.0292346101797052,0,0,0,0,0,0,0,0.279439114600484,0.0297780353766983
X601997.CH.EQUITY,0,0,0.165919813372332,0,0,0,0,0,0.367366646545883,0,0,0.24065044952736,0,0,0,0,0,0,0,0,0,0,0.295499923022395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214351072934706,0,0,0.123018175401282,0,0,0,0,0,0,0
X601998.CH.EQUITY,0.0270447832703838,0,0,0,0,0,0,0,0.00256056772403059,0,0.0839585920947394,0.0251006066969431,0.106931295538734,0.217344878839423,0,0,0.136336655033003,0,0.164862259148688,0,0,0,0,0,0,0,0.0490016311866694,0,0,0,0,0,0,0,0,0,0,0,0,0.0475284585098429,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.0285372043608271,0.371638764456377,0.115725571939155,0,0.0463930624493268,0,0,0.157655064148415,0,0,0.0671100381981206,0.0360713989207812,0,0.175186175165401,0,0,0,0,0,0,0,0,0,-0.0601896690893488,0.0397476375750225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299248908468097,0
X601916.CH.Equity,0.218430168670961,0,0,0,0,0,0,0.0415917311093026,0,0,0.040162262841881,0,0,0,0.176708784430965,0,0,0.204766482948126,0,0,0.124344021448502,0,0,0,0.28043182358783,0,0,0.087087824329963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106314742559058,0,0,0,0,0,0,0,0,0.114959723082684,0
