,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.182658967064982,0,0,0,0.0912446499383577,0,0,0,0,0.00440018736047465,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308917970203429,0,0,-0.0144093011064282,0,0,0,0,-0.0295692219097861,0.115661882862268,0,0,0.220133017411407,0,-0.118807938098816,0.373350861827875,0,0,0.0162007647408097,0,0.0457909758345462,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.355039688275272,0,0.0525561991166862,0.0778672794653387,0,0,0,-0.0967625116261405,0,0,0.259341972532847,0,0,0,0,0,0.0611091873780029,0,0,0,-0.0855899558656048,0,0.0399388288868349,-8.67361737988404e-19,0,0.112078537447137,0,0,0,0,0,-0.0739914170739998,0,-0.0019639944927812,0,0,0.210811560211272,0,0,0,0,0,0.00907286435193519,0,0,0.0246240113534697,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0232412126849804,0,0,0,0,0.721927835497171,0,0,0,0,0,0,0,-0.105489640895728,0,0,0.0905449581873071,0.0970230182523133,0,0,0,0.00757849081195178,-0.0198727912531876,0,0,0,0,0.00379822421183846,0.0569451094281508,0.0925579364254277,0,0,0.0560312235162288,0.0376913855177744,0,0,0,0,0,0,0
X600015.CH.EQUITY,0.0546699410566903,0,0,0,0.0999411917807197,0,0,0,0,0,0.0185455566074421,0.149173329109254,-0.0807779859961161,0,0,0,0,0.157242567680966,0,0,0.0783491845316435,0,0,0,0,0,0,0,0,0,0,0,-0.0401112392285185,0,0,0,0,0,1.02515258569867,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174594543806095,0,0.132938278944463,0,0,0,0,0,0,0,0.120847970068215,0,0,0,0,0,0,0,0,0.276913533848195,0,0,0,-0.223015110083888,0,0,0.309854943172204,0,0,0,-0.061510249908896,0,0,0,0,0,0
X600036.CH.EQUITY,0.175268590689991,0.197911959673641,0,0,0,0,0,-1.73472347597681e-18,0.228523468161469,0,0,0,0,0.0697889722484225,0,0,0,0,0,0,-0.0859302904045403,0,0.0546182770940546,0,0,0.275140300098964,0,0,-0.0212674947262731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407914800204209,0,0,0,-0.0119876485196519,0,0,0,0
X600919.CH.EQUITY,0.100114866930694,0,0,0,0,0,0,0.00410918452311064,0,0.129588200037913,0,0,0,0,0,0,0.0217707110030156,0.198043824019031,0,0,0,0,0,0,0,0,0.154277099536564,0,0,0,0,0,0.249917404508152,0,0,0,0.253178681637133,0,0,0,0,0,0,0,0.095179537805384,0,0,0,0,-0.190512959931156,-0.0904554882420125,0.103802494776102
X600926.CH.EQUITY,0,0.0320332641858288,0,0,0,0,0,0,-0.235535427563576,0,0,0,0,0,0,0.166674966078306,0,0.55719875820568,0,0,0,0,0,0.0705460556984553,0,0,0,-0.0833202432100687,-0.180737089480433,-0.210857572809514,0,0.0997272565680179,0,0,0,0,0,0,0,0,0.0111712831067611,0,0.0158977404589893,0.0230385722638501,0.28798809218529,0,0,-0.0438901273087168,0,0,0,0
X601009.CH.EQUITY,0,0.141808112806651,0,0,0,0,0,0,0,0,0.00795015372430035,0.0365438524316391,0,0,0,0,0,0.113683997542904,0,0.0415681928412861,0.00893859312838695,0,0,0,0,0,0.0129148541110689,0,0,0,0,0,0,0,0,0.0405075289807114,0,0,0.0198434051985414,0.16699525701057,0.224774226588949,0,0,0,0,0,0,0.0210358832877005,-0.0222363081225314,0,0,0
X601166.CH.EQUITY,0.06526048448854,0,0,0,0,0,0.113707854547023,0,-2.71050543121376e-20,0,0.00682668811768363,0,0,0,0,0,0,0,0,0,0,0,0,0.0349726930113716,0,0,0,0,0,0,0,0,0.0669088205679803,0,0,0,0,0,0,0.0819321284111595,0.00814195945455175,0,0.211997952619946,0.0333957438554374,0,0.110062313828105,0,0,0,0,0,0
