,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.039785745596268,0,0.448532026057026,0,0.171924114201334,0,0,0,0,0.00626715981148394,0,0,0,0,0,0,0,0,0,0,0.094443029346746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133857151175376,0,0,0.0786170881515652,0,0,0,0,0,0,0.0300375789466246
X002142.CH.EQUITY,0.237518077570784,0,0,0,0,0.0163937533647892,0,0,0.0769735141719937,0.20479433668319,0,0,0,0,0,0,0,0,0,0,0,0.281770611377363,0,0,0,0,0,0,0,0.330041412711942,0,-0.00772248692130723,-0.202348765710984,0,0,-0.10857792763308,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0220774783348727,0.281146189398934,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.145800340078107,0,0.119601713689779,0,0.0591510284103452,0,0,0,0,0,0,0,0.0642740643499868,0,0,0,0.163481934371184,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0134467720662813,0.293832599366489,0,0,0,0,0,0,0.156531878937996,0,0,0,0,0,0,0.0403435507348459,0,0
X600015.CH.EQUITY,0,0,0.0227284692107242,0,0.0847595657523638,0,8.67361737988404e-19,0,0,0,0,0.0343719312356336,0,0.074401282970687,0,0.120790291870205,0.24094478946916,0,0,0.159261087735142,0.0781745062869709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280562037339275,0.0265595553152969,0,0,0,0,0,0.137660402017439,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198852894145624,0,0,0.186186208813797,0,0.135352131172076,0,0,0.315753714825215,0.241825951991647,0,0,-0.376064903001787,0,0,-0.150056258209584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820597897148487,0,0.0290962958699207,-0.0859011127026333,0,0,0,0.275009268803953,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.130505044371923,0,0,0.239199552481314,0,0,0,0,0,0,0,0,0.0422408413727208,0,0,0,0,0,0,0,0,0,0,0.197617886364946,0,0,0,0,0,0,0,0,0,0.241319587589878,0.265810797247776,0,0,0.107585053360288,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0.367438927064941,0,0.0736981301472504,0,0.0203669327471181,0.160495797921269,0,0,0,0,0,0,0,0,0,0,0,0,0.334038218283696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.25262197628897,0,0,0,0,0,0,0,0,0.0743716956762996,0,0,0,0.196985687720574,0,0,0.188193956115273,-0.047478611805703,0,0,0,0,0,0,0,0,0.427023152804999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0.169555007021953,0.0977221018493921,0,0.349563312005859,0,0,0.123390630173679,0,0,0,2.77555756156289e-17,0.188111174127896,0,0.0227322714548804,0,0,0,0.0492244627541826,0,-0.0588118762450049,-0.00573625901229544,0.170149692505077,-0.27569313125086,0,0,0,0,0,0,0,-0.116498724408867,0,0,0,0,0,0,0,0,0,0.320611159068534,0,0,0.121596807039182,0,0
X601166.CH.EQUITY,0.242818157915683,0,0,0,0,0.00543232385575983,0,0,0.412681798076433,0,0.13085016060188,0,0,0,0,0,0,0.109571853565582,0,0,0,0,0,0,0,0,0,-0.156416442714976,0,0,-0.135510451804008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140661462167767,-0.0447951851295948,0.0971155693967803
