,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0.0999902159965444,0,0,0,0,0.0387436929603893,0,0,0.410536925284169,0,0.0865670252281026,0,0,0.222967152035127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250605419267963,0,0,0,0,0,0
X002142.CH.EQUITY,0.0734068159145404,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.363283697152076,0,0,0,0,0,0,0,0,0,-0.0738900963580525,-0.067511949571221,0,0,0,0.165580633211885,0,0,0,0,-0.00962164638534846,0,0,0,0,0,-0.10436808409185,0,0,0,0.333332264656516,0,6.93889390390723e-18,0,0,0,0,-0.125733358166453,0.212452449240041
X600000.CH.EQUITY,0.0914108614004246,0,0,0.251606438918049,0,0,0,0,0,0,0.0622699841818066,0,0.441393392051732,0,0,0,0,0,0,0,0,0.10289684056177,0,0,0,0,0.0502537682778342,0,0,0,0,0,0,0,0,0,0,0.012425731505141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.319755804697492,0,0,0,0,0,0,0.287078296800418,0,0,0,0,0.0307316193156118,0,0,0.156547405880939,0,0.0777333212522988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842005687266082,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.167670250325856,0,0,0.277361054088318,0,0.0555810696106323,0.360684889809243,0,0,0,0,0,0,0.0840725990683255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552843867602624,0,0,0,0,0,0,0.00600970106704003,0,0,0
X600036.CH.EQUITY,0.162664020662477,0,0,0,0,0,0,0,0.0144595763297973,0,0,0,0,0,0.172850239483678,0,0.055126203958481,0,0,0,0,0,0,0,0.0713510667833327,0,0,0.0665877708875355,0,0,0,0,0,0,0,0,0,0.120786034167861,0,0,0,0.038506305697348,0,0,0,0,0.154642085772322,0,0,0.0161035015695188,0,0
X600919.CH.EQUITY,0,0,0.284251518693508,0,0,0,0,0,0,0,0,0,0.177398785139463,0,0,0.393408649772732,0,0,0.00548537534149612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121755325613722
X601009.CH.EQUITY,0.116028593539399,0,0.131381852252398,0,0.187832586205599,0,0,0,0.362604633824456,0,0.0401261432333096,0,0,0,0,0,0,0,0,0,0.0219543305559053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716521790503179,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.195610394340959,0,0,0,0.0446336433159329,0.248589884919482,0,0,0,0.00269413289592009,0,3.46944695195361e-18,0.385127136994276,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204194126018293,0,0.0651248274676497,0,0
X601169.CH.EQUITY,0,0,0,0.394783201065566,0.0399298608032085,0,0,0,0,0,0,0,0.198971649677549,0,0,0,0.00133724877428409,0.00393558437340842,0,0.0412692678960854,0,0,0,0,0,0,0,0.0123834796903593,0,0,0,0.128727641142643,0,0,0,0,0,0,0,0,0,0,0,0.170818075081268,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.103582959183751,0.00133023423805004,0,0,0,0.0228560023384807,0.199477907722904,0,0,0,0,0.193129147544859,0,0,0.302367819981228,0,0,0.0687796285023354,0,0,0,0,0,0,0,0.109593498751146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.103948889509153,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.311695883066682,0,0.12603193959176,0.38637745013096,0,0,0,0,0,0,0,0.0147719870790717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243338198768677,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.00355154842090502,0,0.459774016908278,0,0,0,0,0.155101565328689,0,0,0,0,0,0,0.246593511921697,0,0,0.0228949020364727,0,0.018941173569446,0,0,0,0,0.046528060337044,0,0,0,0,0,0,0,-0.0430810916058686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336070952853255,0.0600202373982837,0,0
X601398.CH.EQUITY,0.294583190041695,0.0202088430612109,0,0,0,0,0,0,0,0.205417490249856,0.0314188555829401,0.444302210600454,0,0,0,0,0.0981613776789106,0,0,0,-0.13045677582163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662492505929438,0,0,0,0,0,0,0,0,0,0,-0.0530187296381824
X601818.CH.EQUITY,0,0.0228059356707093,0,0,0,0.0149711370932151,0,0,0.448811039988917,0,0,0,0,0,0,0,0,0.414855831066672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249098528750013,0,0,0,0,0,0,0,0,0,0,0.0556859019100976,0
X601939.CH.EQUITY,0,0.121990356713138,0.493441555528014,0,0,0,0.1008783394272,0,0,0,-6.93889390390723e-18,0,0,0.230527328133833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.170581764690638,0,0.0190142384543841,0,0,0,0,0.0439416155566519,0,0.205671842374445,0.113209743570175,0,0,0,0,0,0,0.131378451598465,0,0.0694726230850293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181928780354344,0,0,0,0,0,0,0.0135159245054933,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0549390928560955,0,0.219709427420709,0,0,0,0,0,0,0,0,0.191989492116884,0,0.222499629000268,0,0,0,0,0.205490152151214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467286565460417,0,0,-0.0521359829451206,0,0,0,0.135998357263073,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.840501886459487,0,0,0.279220786723841,-0.0849308392808261,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01672811879025,0,0,0,0,0,0,0,0,0,0.06703109582227,0,0,0,0,-0.166650964231551,0,0,0,0,0,0,0,0,0,0,0.195530554932948
X601916.CH.Equity,0,0,0,0,0,-0.428509693958013,0,0,0,0,0,0,0,0,0,0,0.0863675826216264,1.04585365072097,0.0306663413498923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461780550086136,0,0.0809843833864475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816543733167656,0.00865225595066309
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246284620704492,0,0,0.687362085213231,0.141784227106251,0,0,-0.0667457446040764,0,0,0,0,0,0,0,0,0,0,-0.248880750278914,0,0,-0.0863746671158322,0,0,0,0,0,0,0.172935188224813,0,0,0.0146050783145487,0,-0.297581802363566
X2388.HK.EQUITY,0,0,0,0,0.204752772956464,0,0,0,0,0,0,0,0.0279332592434907,0,0,0,0,0,0,0,0.491013988674321,0,0,0,0,0.0553831706369616,0.0516453536701692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580931139965992,0.10374709707503,0,0
X5.HK.EQUITY,0,6.93889390390723e-18,0,0,0,-0.00650509553818411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652848141518443,0,0,-0.501240085762175,0.15854258040467,0,0,0,0,0,0,0,0,0.276177225614632,0,0,0,0.0529949986678419,0,0,-0.167878527628089,0,0,0,0,0,0,0.805692127081786,0,0.207734103345109,-0.137880840840092
X2884.TT.EQUITY,0,-0.023693875204651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475314459596803,0.198500584508515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241819957696005,0.0833320947963752,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049311987641336,0,-0.143167012449482,0,0,0,0,0,0,0,0.452822536806414,0,0.387730177531828,0,0,0,0,0,0,0,-0.0688342146256013,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.154927164936946,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426551330048637,0,0,-0.00612227732655754,0,0,0,0.0318264060389903,0.218092353216981,0.377425246483297,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317219910432196,0,0,0,0,0,0,0,0,0,0,0,0,0.162787668402604
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0456458684003864,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0633029391900407,0,0,0,0,0,0,0,0.0272873124607305,0.317841050614579,0,0.112336222934143,0,0,0.338907146750536,0.0673482721170245,0,0.0590128311391525,0.00601923060488811,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0.114218530658507,0,0,0,0,0,0,0,0,0,0,0,0.0164460826130787,0,0,0,0,0,0,0,0.194701231811571,0,0,0,0.0255768855132642,0.221702738787781,0.21652006365212,0.0766056841533649,0.0216021014480078,0,0.0591587544943832,0,0,0.00815687170487825,0,0,0,0,0,0,0,0,0,0,0,0
