,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.16652577210785,0.0856585584399859,0,0,0.486435271884826,0,0,0,0,0,0.258716937782593,0,-0.187824137151833,0,0,0,0,0,0,0,0,0,0,0.121335312405345,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0173175852653639,0,0,0,0,0.0326869972183783,0.0887480090365575,0
X002142.CH.EQUITY,0,0,0.276937967394067,0,0,0,0,0,0,0,0,0,0,0,0.34423251393651,0,0,0,0,0,0,0,0,0,0,0,0,0.168262256900183,0,0.343719916934691,0,0,-0.151509879513995,0,0,0,0,0,0,0,0,0,0,0.0349760003249506,0,0,0,0,0,0,-0.137208253337668,0
X600000.CH.EQUITY,0,0.1467376305555,0,0,0,0,0.124616380531181,0,0,0.0642898504111299,0,0,0,0,0.117017823699372,0.014924582473013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0719967425606256,0.318933685256936,0,0,0,-0.00447672293365311,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.021173800822012,0,0,0,0,0,0,0,0,0.318848600348434,0,0,0,0,0,0.248410537170288,0,0.00258297582527684,0,0.0798541418112389,0.00701108632228999,0.0260495103576539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216036305017432,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0333382208873046,0,0,0,0,0,0,0,0,0,0,0,0,0.0117198832318191,0,0,0.128050251024961,0,0,0,-0.16032594757355,0,0.161436530064781,0,0,0,0,0.636284081001544,-0.210329499364945,-0.0263941871348734,0,0,0,0,0,0,0,-0.154289850118262,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.677761369285344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108453789639608,0.0924837666439289,0,0,0,0.0231987394457478,0,0,0,0.0094353784210264,0,0.257200215000242,0,0,0,0,0,0,0,0,0,0,-0.00826804129868579,0
X600919.CH.EQUITY,0.194927978636396,0.0329265313386303,0,0,0,0,0,0.148805928478811,0,0,0,0,0,0.290511430196897,0,0.0491025942288021,0,0,0,0,0.175801768191329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391815206782142,0,0,0,0,0.190664370165532,0,0
X600926.CH.EQUITY,0,0,0,0.0315383738118269,0,0,0.276415566596209,0,0.00980942015101252,0.468142283306741,0,0,0,0,0,0,0.000655039512095733,0,0,0,0.047772436630937,0,0,0,0,-0.272720338926022,0,0,0,0,0,-0.00372132685230883,0,0,0.126665952736881,0,0,0,0,0,0,0,0.0376587225573174,0,0,0,0,0,0,0,0.121477479030516,0.149878771065966
X601009.CH.EQUITY,-0.130585745168099,0,0,0,-0.2100819506985,0,0,0.395829922712107,0,0,0,0,0,0,-0.154174991450337,0.0345278834873228,0,0,0,0,0,0,0,0.240212611033547,0,0,-0.20648003257844,0,0,0,0,0,0,-0.197224816906013,0,0,0,0,0,0,0,-0.14138745870678,0,0,-0.0739604294406409,0,0.387912533714038,0,0,0.690772288002752,0.207460239729802,-0.265414155436725
X601166.CH.EQUITY,0.442445870703817,0,0,0,0,0,0,0,0.195693852866261,0,0,0,0,0,0,-0.0632968377476997,0,0,0,0.050452049024654,0,0,0.127455393572286,0,-0.030012018042627,0,0,0,0,-0.0337569804121952,0,0,0,0,0,0,0,0,-0.0173498946594338,0,0,0,0,0,0,0,0,0,-0.0277561073571313,0.415754467689483,0.0252517414966011,-0.0179749058143903
X601169.CH.EQUITY,0,0.136566346097213,0,0,0,0.0109756745016592,0,0,0,0,0,0,0.270569333050236,0,0,0,0,0.025397277254404,0,0.502829372928513,0.0244959594595118,0.0766343285250621,0,0,0,0,-0.0739155420130032,0,0,0,0,0,0,0,0,0,0.185000571419507,0,0,0,0,0.0665984213555402,0,0,0,0,0,0,0,0,-0.0637634878190955,0
X601229.CH.EQUITY,0,0.0566547884630108,0.175125950600227,0,0,0,0,0,0,0,0,0,-0.140332103473362,0,-0.188411550402697,0,0,0,0.93054215272819,0,0,0,0,0.003521818068988,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166206269229318,0,0.0716366791929705,0,0,0,0,0,0,0.0746107625027864
X601288.CH.EQUITY,0,0,0,-0.025925580848296,0,0,0,0,-0.120247539071377,0.0284492943013582,0.499114959614328,0,0,-0.0754412911291013,0.319264075735057,0,0,0,0,0.350757653076163,0,0,0,0,0,0,0,-0.080421086577613,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586333937701334,0,0,0,0.0668716843835202,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0611944966084586,0,0,0,0,0,0,0.908605413599821,0,0,0,0,0,0.111337090269757,0.0216797293262603,0.0311686773018576,0,0,0,0,0,0,0,0,0,0,0,0.00960666654452511,0.049403795108582,0,0.114388859907024,0,0,0,0,0,0,0.0585355801862752,0.0475334231661489,0,0,0,0,0,0
X601398.CH.EQUITY,-0.186086747052254,0.124888546186717,0,0,0,0.026059743757108,0,0.0847112459173343,0,0,0,-0.134745517574907,0.0305129638821155,0.849986221627602,0,0,0,0,0,0,-0.116646283539893,0,0,0,0,0.178984224035289,0,0,0,0,-0.337065241069392,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.261751185036997,0,0,0,0,0
X601577.CH.EQUITY,0.0226467302729561,0,0,0,0.576341287506708,0,0.38504809906141,0,0,0,0,0,0,0,0,0,0,0.10595679597405,0,0,0,0,0,0.0491118486694589,0,0,0,-0.0926408493707141,0,0,0,-0.12661877481695,-0.0152486818709964,0,0,0,0,0.147686361247956,0,0,0,0,0,0,0.0982485177108083,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.130515641485576,-0.25643601492393,0,0,0,0,0.0289081738564774,0,0,0.0860128293974424,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043354634150221,0.763429578757077,0,0,0,0.00905895443213506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599481748550224,0,0,0.208081156160368,-0.149401564635341
X601838.CH.EQUITY,0,0,0.014612555696675,0,0.0562035695043806,0,0.137379300205401,0.453586250326622,0,0,0,0,0,0,0,0,0.0270352934181969,0,0.0467308651373708,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32180607428537,0,0,0,0,0,0.0208060158208168,0,0,0,-0.0735045078852702,0,-0.0515025287653065,0,0,0,0.352950709345815,0.00834477238418067,0.0673286400238633,-0.0700204721251422
X601939.CH.EQUITY,-0.0843192169698978,0,0,0,0,0,0.16356286739078,-0.0537880855275441,0,0,0,0.855399997929401,0,0,0.0532756277039731,0,0,0,0,0,0,0,0,-0.0180707655961708,0,0,0,0,0,0,0,0,0,0.0267155478816343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144376783480513,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,-0.00787374226278856,0,0.0371305949244202,0.424181640278718,0,0.569377195679433,0,0,0,0,0,0,0,0,0,0.0850326966624292,-0.0593920697414627,0,0,0,0,0,0,0,0,0,0,-0.153467181914566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081735547349395,0
X601997.CH.EQUITY,0,0,0,0,0,0,0.0516856649564676,0.0141273028973895,0,-0.148899698435268,0,0,0,0,0,0.149710106844806,0,0,0,0,0,0,0,0,0,0,0,0.0229075142178322,0,0,0,0.113001247842336,0,0,0,0.192185507779758,0.023919941902259,0,0,0,-0.036219149870842,0,0.459182202447971,0,0,0,0,0,0,0,-0.269681721075029,0
X601998.CH.EQUITY,0,0.0209393703969548,0,0.0599790268265039,0,0.47857394084448,0.102057781442717,0,0,0,0.106811363538889,0,0,0.601654558337907,0.256989259332894,0,0,0,0,0,0,0,-0.34397531396609,0,0,0,-0.437785314094327,0,0,0,0,0.0894909548954336,0,0,0,0,0,0,0,0,-0.0740869172452303,0,0,0,0.0317492020393026,0,0,0.076505715893656,0,0,0,0
X601658.CH.Equity,0.166443656150836,0.161229957229304,0,0,0,0.0362442807261316,3.46944695195361e-18,0.0388417385612061,0,0.067648399429846,0,0,0,0.299307595504675,0,0.172603649323832,0,0,0.135416672762823,0,0,0,0,0,0,0.0455294032735674,0,0,0,0,0,-3.46944695195361e-18,0.0396407419412963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323011949477123,0,0,0
X601916.CH.Equity,0,0,0,0,0.0460704281042958,0,0,0.3605723339678,0.202755594784017,0,0,0,0,0,0,0,0,0,0,0,-0.191056822109293,0,-0.124090618513004,0,0,0,0,-0.00934659117971676,0.0250858805015921,0,0.266047943025223,0,0,0,0,0.319238595208631,0,0,0,0,0.317073350555798,0,0,0,0,0,0,0,0,0,-0.25390733495739,0.104629993250877
X601077.CH.Equity,0,0,0,0,0,0,0,0,-0.0504430029373512,0,0.00158138785955797,0,0,0,-0.131171785797963,0,0.878615540253466,0,0,0,0,0,0,6.93889390390723e-18,0,-0.111760764313563,0,0,0,0,0,0,0,-0.0466985108373501,0,0,0,0,0,0,0,0.134182913019416,0,0,0,0.059264546429952,1.73472347597681e-18,0,0,0.133283678809712,0,0.026496613200059
