,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.163612352186509,0,0.470411212043974,0,0,0.010834935525292,0.0428736756809255,0.0614589586654034,0,0,0,0,0,0.0166922863036722,0,0,0,0,0.058573018094166,0,0,0,0,0,0,0.0249849599714699,0,0,0,0,0,0.00266687784699181,0,0,0.0271888062081591,0,0,0.0185824271744635,0,0,0,0,0,0,0,0,0,0,-0.00175394219109104
X002142.CH.EQUITY,0,0,0,0.213262296021092,0,0.0777580682203381,0,0,0,0.35767993336279,0,0.157000329103966,0,0,0.0571598485489267,0,0,0.0793060573563785,0,0,0.00172665942331322,0.0423329188589016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851633616824712
X600000.CH.EQUITY,0,0,0,0,0,0.0301058332091108,0,0,0,0.0323798300648378,0,0.194174890657297,0,0.125162215071109,0.0810580364204015,0,0,0.23959787012041,0.00685807074372612,0.0976439233149861,0,0.071598175485591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244262496231613,0,0,0,0.0427363792602964,0,0,0.055022794704013,0,0,0.112311475095572,0,0,0,0,0.0584197319819893
X600015.CH.EQUITY,0.14376876895565,0.0224302639752522,0,0,0,0,0,0.0515495417510867,0.0308850172012226,0,0,0.407095318868123,0,0,0,0,0,0.043500111522896,0,0,0.0710036762265052,0,0,0.00580842353117446,0,0,0,0,0,0,0,0,-0.168633859445136,0,0.0680260452064518,0,0.0645737600642822,0,0,0,0,0,0,0,0.125033422798387,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,-0.415892782862315,0.0913774020693783,0.0880278130678735,0,0,0,0.0985320596900848,0.198701913196953,0.219317108511426,0,0,0,0,0,0.384634881657637,0,0,-0.207101498397743,0.0882241540352945,0,0,-0.12056046389421,0,0,0.0280870789641309,0,0,0,0,0,0,0.207467354223944,0,0,0,0,0,0,0,0.0855332087407586,0,0,0,0
X600036.CH.EQUITY,0.44433213163877,0.053734815473032,0,0,0.0361819393381792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141944247310018,0.270165423182015,0,0,0.00751584360717712,0.0406896287267486,0,0,0.120681708124766,0,0,0,0,0,0,0,0,0,-0.0709122857793625,0,0,0,0,0,0,0,0.00449709391060979,0,0,0.185636227808924,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.386214698951267,0,0,0,0,0,0,0,0,-0.0234525039145777,0.212597482756379,0,0,0.141131290053388,0,0,0,0,0,0,0,0.0311181461235088,0,0,0,0,0,0,0.167072862978385,0,0,0,0,0,0,0,-0.126779744204689,0.00748421080429673,0,0,0,0,0,0,-0.0879228235865019
X600926.CH.EQUITY,0,0.242586372166927,0,0,0,0,0.456073682718592,0,0.0429574164197412,0,0,0,0,0.0524146548990935,0.0733679047175301,0,0,0.0358895953144517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00925638259450795,0,0,0.171637350790518,0
X601009.CH.EQUITY,0,0,0,0,-0.112508945720441,0,-6.93889390390723e-18,0.0778647543106657,0,0,0,0,0,0,0,0,0,0,0.179980698583459,0.0480187275522467,0,0,0,0.113458933665148,0,0,0,0,0.206991837431474,0,0,0,0,0.00949663035404612,0,0.0620217130375519,0,0,0,0,0.183071927014622,0,0,0,0,0,-0.121143455578823,0,0,0,0,-0.349341475747596
X601166.CH.EQUITY,0.526801576766755,0,0,0,0.136821721228757,0,0,0.125233156624473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955216504520289,0.0656329425054751,0,0,0,0,0,0,0,0,0,0.0378795178290015,0,0,0,0.0130486464571724,0,0,0.203331856166873,0,0,0,0
