,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.247552512666024,0,0.0505249054330092,0.0643509313109683,0,0,0,0,0,0,0,0,0,0,0,0.0732158411975329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089038355829866,0,0,0,0.0135255185864605,0.152763118198581,0,-3.46944695195361e-18,0.0314177743244554,0.113020477781196,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.287896752460685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048758461796993,0,0,0,0,0,0,0,-0.143089676561701,0,0,0,0,0,0,0.141160651253643,0.0622423748118929,0,0,0,0,0,0,0,0.140928885390996,0.127168629122054,0,0.0813279617289532,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0905358873302217,0,0,0.43829415136784,0,0.0913947092794141,0,0,0,0,0,0,0,0,0,0,0,0.03135736408117,0.0415687677657194,0.222676997956339,0,0,0,-0.0872135289711322,0,0,0,0,-0.00153984194322302,0,0,0,0,0,0,0,0,0,0,0.117615266488312,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,-0.214550649821855,0,0,0.144624866399424,0,0,0,0,0,0,0,0,0.459837320157426,0.0390410932116111,0,0.484714077294616,0,0,0,0.0440706463346181,0,-0.174993669026788,0,0,0,0,0,0,0,0,0,0.0409238162214802,0,0.0215820715067767,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267405842250909,0.170387215378036
X600016.CH.EQUITY,0,0,0.164769031204539,0.317568457903319,0,0,0,0,0.0651077354595699,0,0.190085706929621,0.104399997819668,0.10177821071752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0658076063801361,0,0,0,0,0,-0.00769339942052354,0,0.0279166111998744
X600036.CH.EQUITY,0.760642390435315,0,0,0.19799753748037,0,0,0,0,0,0,0,0,0.0243466718644013,0,0,0,0,0,-0.10275575123033,-0.0868482368616786,0,0,0,0.035635355548008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127762953316756,0,0.0780515738901811,0,0,0,0,0,0.129479059302181,0,0,-0.0153529019662479,0.0625654687276047
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.514396570111044,0,0,0,0,0,0,0.0579698236907105,0,0,0,-0.0333742550619626,0,0,0.0446837134725513,0.0375056275790526,0,0,0,0,0,0,0,0,0,0.14460720190158,-0.0702206220362882,0.421189241642915,0,0,0,0,-0.0225371001776185,0,0,0,0,0,0,0,0,0,-0.0922906500160313,-0.054268436306547
X601009.CH.EQUITY,0.166118007187597,0,0,0,0,0.0527450859929131,0.191396455507246,0,0.341830491399556,0,0,0,0,0,0,0,0,0,0,0.189740144162812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.122201471381496,6.93889390390723e-18,0,0.159418041321045
X601166.CH.EQUITY,0,0,0.326323264941254,0,0,0.0827666724067666,0,0.0727742756629682,0,0,0,0.201508603553559,0.011951071538184,0.0794013297544238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885555667551182,0,0
X601169.CH.EQUITY,0,0,0,0.159760374458488,0,0.198269028721289,0,0,0,0,0.315066197082905,0.262946868767901,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.0373019644797648,0.109486257255974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170707332768625,0,0,0.108431102729872,0.000383324005636856,0,0,0,0,0.0503409887066782,0
X601229.CH.EQUITY,0,0,0.218498829897016,0.447765379426136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183473296912761,0,0,0.056672015933865,0,0,0.0692455877725365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120468728912888,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.286777214873661,0,0,0.102108170116795,0,0,0,0,0,0,0,0,0,0,0.46429722339215,0.013561394276901,0,0,0,0,-0.00451943238828225,0,-0.0391202162059014,0,0,0,0,0,0.0156123249220088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439626346724326,0
X601328.CH.EQUITY,0,0,0.353012458359655,0.148305483991473,0,0.00604734680047461,0,0,0,0.0444026907266237,0.0490087359373709,0,0,0.207959456779604,0,0.287300133471005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349645109804278,0,0,0,0,0,0,0.00990901729060809,0,0.0280282908350264,0,-0.117513339170409,0
X601398.CH.EQUITY,0,0,0,0.0748781885141197,0,0.0450935671270588,0,0.00238572701185566,0.13092525296712,0,0,0,0,0,0,0.446671860531262,0,0,0.153270024953554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828322294326963,0,0,0,0,0,0.00472006335501715,0,0
X601818.CH.EQUITY,0,0.0919318100674992,0,0,0.380250979145106,0.247573483851085,0,0,0,0,0,0.0961419319731582,0.159362475271225,0,0,0.0583417619442036,0,0,0,0,0,0,0,0.0553574056165467,0,0,0,0.0507613488783581,0,0,0,0,0,0,0,0,0,0,0,-0.111536786634176,0,0,0,0,0,0,0,0,0,0,-0.0689819973782873
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.142638507090618,0,0,0.520038739786961,0,0.0723649804346147,0.10873342834463,0,0.0833643827848346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215032682459218,0,0,0.0112483772022958,0,0
X601988.CH.EQUITY,0.1784798865993,0.150497754539973,0,0,0,0,0,0,0,0,0,0,0.255624995751893,0,0,0,0,0,0,0,0.204919769082092,0.120433574807434,0,0,0.0867894293274252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381117240751944,0,0,0,0,0.0391848130426934,0.141944698344667,-0.152879504870436,0,0,0.00484322221946495,0,0
X601998.CH.EQUITY,0,0,0,0.0983618123291272,0,0,0,0,0,0,0,0,0.539920525622687,0.0915457256768293,0,0,0,0,0,0,0.00337923021298196,0,0.0102773520061283,0,0,0,0,0,0,0.0997864551086362,0,0.0800547382615183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142696426013354,0,0
X11.HK.EQUITY,0,0,-0.0743975513486516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508797806934235,0.174749032446668,0.127435592728736,0,0,0,0.138548856580873,0,0,0,0,0,0,0,0.0091918408899236,0,0,0,0,0,0.376612381123441,0,0.280026425600632,0,0,0,0,0,0.297548463824632,0,0.0813079627641196,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.191831807622385,0.377409315803069,0,0,0,-0.0822035498400324,0,0,0,0,-0.314139819850297,0,0,0,0.271312295179161,-0.0719649599409129,0,-0.0913296397526938,0,0,0,0,0,0,0,0,0.00548384772331043,0,0,0,0,-0.200712582415971,0.333270036244805,0.170629869552402,0,0,0,0,0,0,0,0,0,0,0.0281997847440045
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060555198416728,0,0,0.156419812592167,0,0,0,0.404893101582344,0,0,0,-0.0749366676065705,0,0,0,0,0,0,0,0,0,0,0.30345675696211,0.0417668272058892,0,0,0,0,0.0712637395406111,0.0377700633202235,0.0427202958480592,0,0,0.137799245140919,-0.167620018235684
