,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.212611981187802,0,0,0,0,0,0,0.161631742479587,6.93889390390723e-18,0,-0.0916905991543905,0,0,0,0.159262195116335,0,0,0,0,0.220388441992808,0,0,0,-0.0825810325347803,0.0445238750671166,0,0,0,0,0,0,0,0,0.0106486943970018,0.239212727053015,0,-0.28009061719137,0,0.185664090327736,0,0,0.0210008557591887,0,0.1403652175331,0,0,0,0,0,0,0,-0.201292336989761
X002142.CH.EQUITY,0.172466435732523,0,-0.0311708834679968,0,0,0.154463683272701,0,0.231019699790666,0,0,0,0,0,0,0,0,0,-0.150498262120441,0,0,0,0,0,0,-0.102646764773671,0,0,-0.0837026119979797,0,0,0,0.0102531669489908,0,0,-0.153267699792981,0,0,0,0,0,0,0.299669581444792,0,0.189404579799963,0,0,0,0,0,0,-0.0168378143912011,-0.0842002450892052,-0.0147396073112082
X600000.CH.EQUITY,0.0830508189575384,0,0,0,0,0.163005609629658,0,0,0,0,0,6.93889390390723e-18,0.338336623494065,0,0.146602661740492,0,0.110010221536881,0,0,0,0,-0.00989603611990679,0,0,0,0,0.172883883009168,0,0,0,0,0,0,0,0.0502826705387205,0,0,0,0,0,0,0,0,0,0,0,-0.0507352351365116,0,0,0,0,0,0.0479919361660592
X600015.CH.EQUITY,0,0,0,0,0.0129417038562183,0,0.0644055220586044,0,0,0.0941953081239923,0,0,0,0,0.229742965846243,0.109849658948118,0,0,0,0.0289443000980877,0,0,0,0,0,0,0,0,0,0,0,0,0.0627527569309116,0.00975888996800688,0,0.0540414944989275,0.0278952757331039,0,0,0.0469345558248359,0,0,0,0.181528240334104,0,0,0,0.0348341410336031,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0417605439384297,0,0,0,0,0,0,0.126704978865144,0,0.349210529531853,0,0,0,0.0739129828131431,0,0.0123040594221824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379403015055134,0,0,0,0,0,0,0.0934403713786165,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.208608927214176,0.138661629103325,0.332334667775789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193290431449244,0.0409768879943884,0.0865099275617633,0,0,0,0,0,-0.0770282165117,0,0,0,0,0,0.0433670760565962,0,0,0,0,0.110070425723087,0,0,0,0,0,0,0,0.219607655175467,0,0.0456267142203615,0,0.0260886880757271,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.102753182263781,0.0527073455975858,0,0,0.291757740188438,0,0,0.203604719649338,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0369294307054274,0,0,0,0,0,-0.0386946646179897,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244590413046081,0,0,0,0.139524975207892
X601009.CH.EQUITY,0.146832206409571,0,0,0.363702502270426,0,0,0.06620400229444,0,0,0,0.0944757140231142,0.0988923829835423,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0858535209916007,0,0,0,0,0,0,0.0319881894342079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656903565950259,0,0,0,0,-0.140304188305411
X601166.CH.EQUITY,0,0,0,0.126804697954716,0,0.351599590455121,0,0.133941265359681,0,0,0,0,0,0.015994101583806,0,0.0379589476988529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186248356265087,0,0,0,0,0,0.27476952993697,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.2600516126425,0.428036249830195,0,0,0,0,0,0,0,0,0.265521446931368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0830608141128508,0,0,-0.0195219960790283,0,0,0,0,0,0,0,0,0,0,0.014505810337214,0,0.0797922789812272,0,0,0,0,0,0,0,0.0176099192287843,0
