,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.101326851242131,0.135397500339333,0,0,0.0204041360190711,0,0.121841351547802,0,0,0,0,0,0.107205646741766,0,0,0,0,0,0.10258072624915,0,0,0,0.0263903847690036,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.078882308049956,0,0.149821582719306,0.113067875076119,0,0,0,-4.33680868994202e-19,0,0,0,0
X002142.CH.EQUITY,0.0935813570902083,0,0,0,0.21573400500432,0.534219800454313,0.0763391575762629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164520547202296,0.005301579292799,-0.243873974460896,0,0,0,0,0,0.0079591895321835,0,0,0,0,0.253822738843003,0,0,0,0.123206761248716,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.154801322027616,0,-0.0313353148474046,0
X600000.CH.EQUITY,0,0,0,0.30835998684902,0,0.185749642706682,0,0,0,0,0,0.068518875509404,0,0,0,0,0.232595992256686,0.0100984859202653,0,0,0,0,0.0280084288623248,0.216739975556193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742682818795996,0,0,0,0,0,0,0,-0.048572544944078,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.643257923439909,0,0,0,0,0.0435859812473528,0,-0.0664472273193561,0,0,0,0,0,0,0,0,0.0281093257229884,0,-0.0146373068475524,0.0373484417989675,6.93889390390723e-18,0,0,0,0,0.0106662033776657,-0.187967797734475,0,0,0,0,0,0.0627156727732649,0,0.0233882584346678,0,0.333256016450804,0,0,0,0,0,-0.0112730092112445,0.0801527726448275,0.0352408887574837,0,0
X600016.CH.EQUITY,0,0.153386277090628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891902914967239,-0.0608330529627347,0,0.766609310164321,0,0,0,0,0,0,0,0,0,0,0,0,0.095160234232464,0,0,0,0,0,0,0,0,0,-0.0487404749530956,-0.263951279059002,0,0,0,0
X600036.CH.EQUITY,0,0.235415811068418,0.163533435687797,0,0,0,0,0,0,0.0497949166408216,0,2.16840434497101e-19,0,0,0.383292741178392,0,0,0,-0.0340615027541458,0,0.19694219164887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403774284327065,0,0,0,0,0,0,0,0,0.0172115918638124,0.0204556301320428,0
X601009.CH.EQUITY,0,0,0,0.881256433930327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485959673674181,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105614517916538,0,0,0,0,0,0,0,0,-0.0160056868019063,0.0101659415301799,0,0,0,0,0.0384659137195219,0,0,-0.0948217870084696,0.00472447144220328,0,-0.0004590086979354
X601166.CH.EQUITY,0.150975992196553,0,0.0527865410124885,0,0.0672319693086705,0,0,0,0,0,0,0,0,0,0,0.563963522128688,0.0326253105678213,0.0393853499149605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052649417017269,-0.0391027019758819,0,0.0159492243423141,0.0067072267414383,0,0,0,0,0,0,0,0.0751873473483607,0,0,0
X601169.CH.EQUITY,0,-0.0607603110797277,0,0,0,0,0,0,0,0,0,0.0207641881972538,0,0,0,0.841277591397603,0.00909586389865093,0,0,0,0,0,0,-0.0407552178876755,-0.0250614198623107,0,0.0937038163181096,0,0.0528711559772789,0,0,-0.041619329416423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135359108395126,0,-0.01707616477307
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.242786157082325,0.0221729138226298,0.534349967270414,0,0.107798732733817,0,0,0,-0.49261371985812,0,0,0.0389577349970708,-0.0401030938999544,0,0,0,0,0,0,0,0,0,0,0,0,0.333796853415383,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0706970342300424,0.186983498345923,0,0
