,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.311728359225003,0,0,0,0.118344307161605,0.287429524655451,0,0.257213814447857,0,0,0,-0.0210799805678034,0,0,0,0,0,0,0,0,0,0,0,-0.0523003188279765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708576670213212,0,0,0,0.0253817827610184,0,0,0,-0.120942978870757,6.93889390390723e-18,-0.176387390573133,0.212673360284985
X002142.CH.EQUITY,0,0,0,0,0,0.146300558209082,0.0970303087526407,0,0.0489681314229584,0,0.018597886455182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20747616294491,0,0,0,0,0,0,0,0.0113237689844416,0,0,0,0.17207701647677,0,0,0,0,0,-0.0773116720342674,-0.0465045272900045,0,-0.0747473481228942
X600000.CH.EQUITY,0,0,0,0,0,0.107065492823525,0,0.0338772550125257,3.46944695195361e-18,0,0.0164120203016175,0,0.515785437399471,0,0,0,0,0.042425494557534,0.0154657824608818,0,0,0,0,0,0,0,0,0.0430988876277133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160999641165203,0,0,0
X600015.CH.EQUITY,0,0.021255098032524,0,0,0,0,0,0.31065828374016,0,0,0,0,0,0,0,0.0477882228532687,0.132344303050843,0,0.183212608010682,0,0,0,0,0,0,0,0,0,0,0.171615842522453,0.0202950305215093,0,0,0,0,0,0,0,0,0.104115298820962,0,0,0,0.0767222136460124,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.475965321981445,0,0,0.163508081265222,0,0.00961606808458182,0.132279368661295,0,0.0940332208594221,-0.00403914505044663,-0.0013336595850441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497195675970981,0,-0.528172940516596,0,0,0,0,0,0,0.119454393410697,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.112581887208346,0,0,0,0,0,0,0,0,0.35503742114916,0,0,0,0,0.0673611910819262,0,0.0823770223694346,0.100423565958501,0,0.0133553479701389,0,0.0056470650332274,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113215470663645,0,0,0,0,0.0836004951258536,0,0,0.0462835671047754,-0.218331281080767,0,0
X600926.CH.EQUITY,0.240864681658605,0.105598903278888,0.245623535711097,0,0,0,0,0,0,0,0.013030880720546,0,0,0,0,0,0,0,0,0,0,0,-0.0605926074402625,0,-0.2342225949978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384679006431094,0,0,0,0,0.0202086783525016,0,0,0,0,-0.000797374797954235,0,0
X601009.CH.EQUITY,0,0,0,0.357276125640125,0,0,0,0,0,0,0.287383122488389,0.211860767440781,0,0.0340447062150523,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108447363071488,0,0.0224685135249735,0,0,0,0,0,0,0.038025468811223,0,0.0249492716294148,0.0908428701985499,0.0321576730012607,0,0,0,0.0910669753081712,0,0
X601166.CH.EQUITY,0.326192816610602,0.185868058375012,0,0,0,0,0,0,0,0,0,0,0,0,0.254182757928614,0.0426529912722765,0,0,0.0797948444962833,0,0.0518266231858094,0,0.0188814289143838,0,0,0,0,0,0,0,0.00934122643776981,0,0,0,0,0,0,-0.0155544703505357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0780339822325277
X601169.CH.EQUITY,0,0,0,0,0.611570751266863,0.320041847413228,0,0,0,0,0,0,0,0,0,0.0746336076729935,0,0,0,0,0.0480248515624547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189945383500648,0,0,0,0,-0.0812555700550633,0,0,0,0,0
