,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.192730270271909,0,0,0,0.0684884470068318,0,0,0.232640479297757,1.38777878078145e-17,0,0,0,0,0,0,0,0.207371465127478,0,0,0,0,0,0,0,0,0,0,0,0.0777137839312488,0.00203653003650472,0,0,0,0,0,0,0,0,0.0170966647955788,0.118487416063419,0.0432157167002006,0.105780340255075,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.345960119504936,0,0.0384779293139851,0,0,0,0,0,-0.0139506001651294,0,0,0,0,0,0,0,0,0,0,0,0,-0.320980812121107,0,0,0,0,0,0,0,-0.0917458731604002,-0.0305775086202466,0,0,-0.19017722824832,0,0.0193156259595176,0.24631434132954,0,0.645892327181049,0,0,-0.0144332141636176,0,0,0,-4.33680868994202e-19
X600000.CH.EQUITY,0.0839806846647625,0,0,0.115009341780346,0,0,0,0,0.0701787495538893,0,0.129305251372471,0,0.342240764820309,0,0,0,0,6.93889390390723e-18,0,0.0959161990322355,0,0,0,0,0,0,0.0872071998465106,0.106461365138051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.444394558617772,0,0,0,0,0.0401973146058348,-3.46944695195361e-18,-1.0842021724855e-19,0,0,0.0378214060658142,0,0.00973278494663377,0.0126234513955932,0,0.103749317932595,0,0.0609884466146627,0,0,0,0,0,0,0,0,0,0.183826982230321,0,0,0,-3.46944695195361e-18,0,0,0.0183065729078483,0,0,0,0,0,0,0,0.0449078757358236,0.00550286817632852,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.00668154009686102,0,0,0,0.269933608906979,0,0,0.320949027179438,0,0,0.309892214277945,0,0,0.0546728444646964,0,0,0,0,0,0,0,0.0159317556676755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0169665042076733,-3.46944695195361e-18,0
X600036.CH.EQUITY,0.155929750667761,0.0534556912139858,0,0,0,0,0,0,0.288842074809218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821710345238283,0,0,0,0,0,0,0,0,0,0,0.0687030744238294,0,0,0.116704180906603,0,0,0,0,0,0,0,0.219920902070078,0,-4.33680868994202e-19,0,0
X600919.CH.EQUITY,0,0,0.436102776977548,0,0,0,0,0,0.0656709555135709,0,-6.93889390390723e-18,0,0,0,0,0.301106679741227,0,0,0.0136529859769642,0,0,0,0,0.0616490964983181,0,0,0,0,0.0206207346632982,0,0,0,0,0,0,-0.029828451616719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14389460231959
X601009.CH.EQUITY,0.00631904426998098,0,0,0.121688422353024,0,0,0,0,0.166287178486478,0.052548797363273,0,0.0620752697901591,0.281035257684901,0,0.127620932287515,0,0,0,0.0152092194022601,0,0,0,0,0,0,0.043584361710252,0,0,0.0198949488933304,0,0.0774501788558442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.386692275390059,0,0.476940044361381,0,0,0,0,0,0,0.0392460535872961,0.0754512097119754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0751720032567293,0,0,0.0333675437967683,0.149872816914928,0,0,0.000242006454877988,0,0,0,0,0.285066228059572,0.131209279298761,0,0,0,0.0279352971838287,0,0,0,0,0.0544555178594078,0,0,0,0,0.0547161168830839,0.207566307130904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.193933332902241,0,0,0,0.0900171565400466,0,0,0.242114981923685,0,0.138018001364723,0.117551628691144,0,0.14759500456781,0,0,0,-0.236080190834323,0,0,0,0.0924109275409472,0,0,0,0,0,0,0,0,0,0.132815111937791,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0193458938332716,0,0,0,0,0.0301238134002043,0,0,0,0,0,0,0,0.349789930901422,0,0.0346783267345627,0.466289629824846,0,0,0,0,0,0,0,0,0,0.0389253290973234,0,0,0,0,-0.0278036928095527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776033598411629,0,0,0
X601328.CH.EQUITY,0,0,0.401197064544314,0,0.34453425966941,0,0,0.060552645118549,0,0.0436222988225976,0,0,0,0,0,0,0.0518995792638633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863408744261688,0
X601398.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0.0822661665724056,0,0,0,0,0,0.335046815980848,0.0048186412066185,0,0,0,0,0,0,0.0510167418372992,0,0,0,0,0.0261294415860441,0,0.0681074373960426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216518991681927,0,0,0,0,0.385107534542783,0,0,0,0,-0.0604709575577896
X601818.CH.EQUITY,0,0.0745243430880842,0,0,0,0,0,0.390500501933361,0,0,0,0.102967606716324,0,0,0,0,0,0.311459535035495,0,0,0,0,0,0,0.0333419318553389,0,0,0,0,0,0,-0.0118820047876555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.145395192797804,0.480610272201295,0,0,0,0.00940957333005005,0,0,0,0,0,0,0.22860041502559,0,0,0,0,0,0,0,0,0,0,0,0.0433088605702968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754807642554055,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.14806006818409,0,0.108903621180565,0,0.0708096478609438,0,6.93889390390723e-18,0,0,0,0,0.175371984365757,0,0,0,0,0,0,0.178182731502137,0,0,0,0,0,0,0.0272700592752348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103373503900109,0,0,0.0463357740667107,0.104146246434334,0,0,0,0,0
X601998.CH.EQUITY,0,0.0600595573924402,0,0.300493735543577,6.93889390390723e-18,0,0,0,0,0,0,0,0.0721612496212053,0,0.184929160022175,0,0,0,0,0.175224940042304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141790297087542,0,0,0,0.0222614562133608,0,0.0814368337570885,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.599346833979997,0,-0.219828465547199,0,0.236875801037664,0,0,0,0,0,0,0,0,0,0,0,0.437585748229381,0,0,0,0,0.0562216232867234,0,-0.493311244232418,0,0,0,0,0,0,0,0,0,0,-0.0676520524221216,0,0.226471225616698,-0.155504971097485,0,0,0,0,0,0,0,0,0,0.198377592868062
X601916.CH.Equity,0.261489744147396,0,0,0.281060651361243,0,-0.348938559836695,-0.0478544178369944,0,-0.0292238388791931,0,0,0,0,-0.237880267558708,0,0,0,0.771498114394577,0,0,-8.67361737988404e-19,0,0,0,0,-0.0540114266260738,0,0,0,0,0,0,0,0,0,0.0724126840848445,0,0,0,0,0,0,0,0,0,0,0,0.205745118766856,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554937471868933,0,0,0,0,0,0,0,0.0938780061175347,0,0,0,0,0,0,0,0,0.00276279100647431,0,0,0,0,0,0,0,0.267672460987121,0,0,0,-0.0365733746263697
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.208855094019843,0,0,0,0,0,0,0,0.31152119300087,0,0.024962165323566,0,0,0,0.0365415541870055,0.0247032235273013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922078452515794,0.264219886974423,0
