,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.20075843000227,0,0,0,0,0,0,0,0,0,0,0,0,0.102280737671751,0,0,0,0.0726774732308261,0.0325348950841187,0,0,0,0.0268506144311051,0.0516962888778094,0,0,0,0,0,0,0.00432760411185074,0,0,0,0,0,0,0,0,0,0.122154060687238,0,0.153954138233417,0.102702168900236,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.128769836397736,0.555758345782572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742064188821841,0,0,0,0,0,0,0,0,0,0,0.0219011707162299,0,0,-0.106285880788602,0,0,0,0,0,0.0627594199519039,0,0,0.153246500032079,0,0,-0.0501531073983139,-0.0231833582720255,0,0,-0.0977453974153458
X600000.CH.EQUITY,0,0,0,0,0,0.0523168979274965,0.52107886140952,0,0,0.0357756177652247,0.175242636442762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623271920624695,0,0,0.0163254060122002,0.0295117217592539
X600015.CH.EQUITY,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.214609256029612,0.0511022220558144,0,0,0.0133626043203304,0,0.331703446129074,0.0235130443115269,0,0,0,0,0.0102816795415932,0.236729933772498,0,0,0.120010429803919,0,0,0,0,0.0738068996308557,0,-0.195173957601256,0,0,0,-0.103228578350796,-0.315148290153333,-0.00513548516771328,0,0,0,0,0,0,0,0,0,0,0,-0.0276730588805615
X600016.CH.EQUITY,0,0.473382699502725,0,0,0,0,0,0,0,0,0,0,0,0.163255974916086,0,0,0,1.38777878078145e-17,0,0.0434092890139753,-0.276836724506969,0,0,0.263369405221428,0,0.281227453929326,-0.33593906181776,-0.151145614695243,0,0,0,0,0,0,0,0,0,0,0,0.110146616313094,0.129942046911009,0,0,0,0,0,0,0,-0.147172222230517,0,0
X600036.CH.EQUITY,0,0.273537777347778,0,0,0,0,0,0,0.0389904294573544,0.17074668081082,0,0,0,0.260578390775498,0,0,0,-0.0131685691673331,0,0.143310899712543,0,0,0.0919537485455277,0,0,0,0,-0.0474491972054849,0,0,0,0,0,0,0,0,0,0,-0.0368724666644133,0,2.16840434497101e-19,0,0,0.0152740993923076,0,0,0.0782484036579843,0,0,0,0
X601166.CH.EQUITY,0.0694563521149743,0,0.100843280875311,0,0.0417438205154985,0,0,0.26515592809354,0,0,0,0,0,0.0475840034919837,0.326379449309287,0,0.0211469373204354,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131768058420343,0,0,0,0.0453418601448512,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,-0.0547535479243112,0,0,0,0,0,0.511212036743166,0,0,0,0,0,0,0,0.449820728021845,0.0457391061407343,0,0,0,0,0,0,0,-0.121452613293107,0,0,0.0586823016513471,0,0,0,0,0,0,0,0.0125935751618402,0.0128845003668373,0,0.0335525171400575,0,-8.67361737988404e-19,0,0,0,0,0,-0.0895333557147658,0,0,0,0.0220900038028517,0
X601229.CH.EQUITY,-0.0475781539499166,0,0,0,0,0.0480051792878942,0,0,0,0,0.085005165225197,0.332911008707558,0,0.57175620924513,0,0,0,-0.511148785239995,0,0,0,-0.0705970600067386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486789421336046,0,0,0,-0.0559545605136903,-0.041850452496002,0,0,0,0,-0.0375984481252319,0,0,0,-0.098772613524079,0
X601288.CH.EQUITY,0,-0.010185141503691,0,0,0,0,0,0,0,0,0,0.0645485294917334,0,0.8214187367854,0,0,0,0.120384687867017,0,0.0757717966365075,0,0,-0.039193890753262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032880091153004,0,0,0.0821584323178195,0,0,-0.0833245618831672,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.080300874346357,0,0.242464451019908,8.67361737988404e-19,0,0,0,0.134363536984968,0,0.198025648922329,0,0,0.0242086581467507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.299844313734363,0,0,0,0,0,0,0,0.217024274759311,0,0,0,0,0,0.0751482478686076,0,0,0,0,0,0,0,0.0541281620118732,0,0,0,-0.139250647318712,0,0,0,-0.116171246163241,0,0,0,0,-0.0912389658741974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.115999202477425,0.0308544545939884,0,0,0.0843500260259386,0.0642264710303102,0,0,0.159308165178698,0,0,0,0.0181975325307968,0,0,0.119836920939961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,-0.0307322726568909,0.0279186117907271,0,0,0.0566321514410986,0,0,0.0319777149477909,0,0.791715068267981,0,0,0,0,0,0,0,0.0964467172588701,0,0,0,0,0.0986762734974063,-0.0948549512368792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126088845317101,0,0.0457885007696966,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.912230582716453,0.030595195626855,0,0,0,0,0,0,0,0.0962533118249706,0,0,-0.013943250549184,0,0,0,0,0,0,0,0,0,0,0,-0.328517596766586,0,0.149846386615353,0,0.143611194690435,0,0,0.135773443920994,0,0.0894071767051695,0,0,0,0,-0.200343585694268,0,0,0,0,-0.0621684846384573,0
X601998.CH.EQUITY,0,0,0,0.246127131324082,0,0,0,0.399765446403193,0,0,0,0.1638812501165,0,0,0.141987891119427,0,0,0,0,0,0,0,0,-0.054688993099447,0,0.161573754549963,0,0,0,0,0,0.00853860299708752,0,0,0,0,-0.175705096339368,0,0,-0.00830263886814273,0.0256493648897426,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0
X601658.CH.Equity,0.121627234080583,0,0,0,0,0,0,0,0,0.219275715730713,0,0,0,0,0,0,0,0,0,0,0,0,-0.014609149063101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863631558094506,0.213706705270375,3.46944695195361e-18,0,0,0,0,0,0
X601916.CH.Equity,0.0432944985815694,0,0,0,0,0,0,0,0,0.647283640733964,0,0,0,0,0.057457756347071,0,0,0,0,0.0640309689102539,-0.11723374055309,0,0,0,6.93889390390723e-18,0,0.114098382642725,0,0,0,0,0,0,0,0,0,0,0,0.105778226781154,0,0.18044079307352,0,0,0,0,0.0533638384083381,-0.225957351361195,0,-0.0646083440471425,0,-0.213535998755667
X11.HK.EQUITY,0,0.105903594282041,-0.112315006956504,0,0,0,0,0,0,0,0,-0.103265664933948,0,0,0,0,0,0,0,0.261584936773848,0.304214204879089,0,0.051680580741364,-0.0478016115800174,0,0,0,0,0,0,0,0,0.051975248817228,0,0,0,0,0,0,0.0920215241717543,-0.0993318631710099,0,0,0.0711452263146706,0.040738336691968,0,0.192945450366055,0,0,0,0
X2388.HK.EQUITY,0,0.0320619270062672,0,0,0.0431317272952738,0.058344036179368,0,0,0,0,0,0,0,0,0,0,0,0,0.4593725437952,0,0,0,0,0,0,0,0,0,0,0.0784529122742916,0,0,0,0,0.153749651473547,0,-0.0142504023094619,0.0460732137262178,0,0,0,0,0,0,0,-0.170248309927537,0.373556791458419,0,0,0.102810011840541,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.176308151684585,0,0,0,0.115589435373264,0,0,0,0,-0.12456430310968,0.644929285299397,0.031077060012482,0,0,0,0.127159334631062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0882776249298072,0,0.164134342479891,0,0,0,0,-0.0948892997252376,0,0,0,0.0648447921009852,0.177001488585309
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0286477674370466,0,0,0,0,0,0,0,0,0,0,0.0869088648455137,0.281134941699508,-0.312071643156212,0,0,0,0,0,0,0.900997203220309,0,-0.0991916145727818,0,0,0,0,0,0,0,0,-0.138254565530628,0,-0.00677594689400672,0,0,0,-1.0842021724855e-19,0.357936449189907,0
X2886.TT.EQUITY,-0.0663285172050645,0,0,0.084916537149636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275424548384813,0,0,0,0,0,0,0,0,0,0,-0.124079776289263,0,-0.120930953888776,0,0,0,0.0681020480966839,0,0,0,0,0.296622999165087,0,0,0.0621837151810123,0.0547750937235914,0.337257089748634,0.113092198442565,0
